WP, 16, 1998100400,   , MIWU, 0, 238N, 1222E,  20, 1005, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sixteen-W,
WP, 16, 1998100406,   , MIWU, 0, 238N, 1223E,  20, 1005, LO,
WP, 16, 1998100412,   , MIWU, 0, 239N, 1224E,  20, 1004, DB,
WP, 16, 1998100418,   , MIWU, 0, 240N, 1225E,  20, 1004, DB,
WP, 16, 1998100500,   , MIWU, 0, 241N, 1226E,  20, 1004, DB,
WP, 16, 1998100506,   , MIWU, 0, 241N, 1227E,  25, 1002, TD,
WP, 16, 1998100512,   , MIWU, 0, 241N, 1228E,  25, 1001, TD,
WP, 16, 1998100518,   , MIWU, 0, 242N, 1228E,  30,  999, TD,
WP, 16, 1998100600,   , MIWU, 0, 243N, 1228E,  35,  997, TS,
WP, 16, 1998100606,   , MIWU, 0, 244N, 1228E,  35,  996, TS,
WP, 16, 1998100612,   , MIWU, 0, 246N, 1229E,  30,  998, TD,
WP, 16, 1998100618,   , MIWU, 0, 249N, 1231E,  30,  998, TD,
WP, 16, 1998100700,   , MIWU, 0, 251N, 1234E,  30,  998, TD,
WP, 16, 1998100706,   , MIWU, 0, 253N, 1238E,  25, 1000, EX,
WP, 16, 1998100712,   , MIWU, 0, 254N, 1242E,  20, 1002, EX,
WP, 16, 1998100718,   , MIWU, 0, 254N, 1247E,  15, 1004, EX,
