WP, 18, 1998100812,   , MIWU, 0, 109N, 1473E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Zeb,
WP, 18, 1998100818,   , MIWU, 0, 108N, 1458E,  20, 1007, DB,
WP, 18, 1998100900,   , MIWU, 0, 108N, 1444E,  20, 1006, DB,
WP, 18, 1998100906,   , MIWU, 0, 109N, 1432E,  20, 1006, DB,
WP, 18, 1998100912,   , MIWU, 0, 110N, 1424E,  20, 1006, DB,
WP, 18, 1998100918,   , MIWU, 0, 110N, 1418E,  25, 1003, TD,
WP, 18, 1998101000,   , MIWU, 0, 110N, 1413E,  30, 1000, TD,
WP, 18, 1998101006,   , MIWU, 0, 108N, 1407E,  35,  998, TS,
WP, 18, 1998101012,   , MIWU, 0, 106N, 1400E,  40,  995, TS,
WP, 18, 1998101018,   , MIWU, 0, 105N, 1390E,  45,  992, TS,
WP, 18, 1998101100,   , MIWU, 0, 106N, 1378E,  50,  989, TS,
WP, 18, 1998101106,   , MIWU, 0, 108N, 1365E,  55,  986, TS,
WP, 18, 1998101112,   , MIWU, 0, 110N, 1350E,  65,  980, TY,
WP, 18, 1998101118,   , MIWU, 0, 112N, 1336E,  75,  972, TY,
WP, 18, 1998101200,   , MIWU, 0, 116N, 1324E,  85,  964, TY,
WP, 18, 1998101206,   , MIWU, 0, 121N, 1312E,  95,  955, TY,
WP, 18, 1998101212,   , MIWU, 0, 127N, 1300E, 110,  940, TY,
WP, 18, 1998101218,   , MIWU, 0, 137N, 1288E, 130,  920, ST,
WP, 18, 1998101300,   , MIWU, 0, 147N, 1275E, 150,  904, ST,
WP, 18, 1998101306,   , MIWU, 0, 155N, 1261E, 165,  892, ST,
WP, 18, 1998101312,   , MIWU, 0, 160N, 1248E, 180,  882, ST,
WP, 18, 1998101318,   , MIWU, 0, 165N, 1236E, 170,  878, ST,
WP, 18, 1998101400,   , MIWU, 0, 170N, 1227E, 155,  894, ST,
WP, 18, 1998101403,   , MIWU, 0, 172N, 1223E, 120,  934, TY,
WP, 18, 1998101406,   , MIWU, 0, 174N, 1219E, 100,  950, TY,
WP, 18, 1998101412,   , MIWU, 0, 178N, 1214E,  70,  966, TY,
WP, 18, 1998101418,   , MIWU, 0, 184N, 1211E,  55,  972, TS,
WP, 18, 1998101500,   , MIWU, 0, 192N, 1210E,  65,  968, TY,
WP, 18, 1998101506,   , MIWU, 0, 202N, 1210E,  70,  966, TY,
WP, 18, 1998101512,   , MIWU, 0, 213N, 1212E,  70,  967, TY,
WP, 18, 1998101518,   , MIWU, 0, 225N, 1215E,  65,  969, TY,
WP, 18, 1998101600,   , MIWU, 0, 239N, 1220E,  60,  971, TS,
WP, 18, 1998101606,   , MIWU, 0, 253N, 1230E,  60,  971, TS,
WP, 18, 1998101612,   , MIWU, 0, 265N, 1242E,  60,  972, TS,
WP, 18, 1998101618,   , MIWU, 0, 278N, 1256E,  60,  972, TS,
WP, 18, 1998101700,   , MIWU, 0, 293N, 1274E,  60,  972, TS,
WP, 18, 1998101706,   , MIWU, 0, 308N, 1295E,  55,  975, TS,
WP, 18, 1998101712,   , MIWU, 0, 330N, 1324E,  55,  976, TS,
WP, 18, 1998101718,   , MIWU, 0, 363N, 1356E,  50,  979, EX,
WP, 18, 1998101800,   , MIWU, 0, 404N, 1382E,  45,  982, EX,
WP, 18, 1998101806,   , MIWU, 0, 438N, 1410E,  45,  984, EX,
WP, 18, 1998101812,   , MIWU, 0, 460N, 1446E,  40,  988, EX,
WP, 18, 1998101818,   , MIWU, 0, 478N, 1479E,  40,  990, EX,
WP, 18, 1998101900,   , MIWU, 0, 490N, 1506E,  40,  990, EX,
WP, 18, 1998101906,   , MIWU, 0, 500N, 1540E,  35,  994, EX,
WP, 18, 1998101912,   , MIWU, 0, 509N, 1590E,  35,  995, EX,
WP, 18, 1998101918,   , MIWU, 0, 510N, 1630E,  30,  998, EX,
WP, 18, 1998102000,   , MIWU, 0, 508N, 1658E,  30,  999, EX,
WP, 18, 1998102006,   , MIWU, 0, 504N, 1682E,  25, 1002, EX,
