WP, 20, 1998101212,   , MIWU, 0, 122N, 1459E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Babs,
WP, 20, 1998101218,   , MIWU, 0, 119N, 1449E,  20, 1009, DB,
WP, 20, 1998101300,   , MIWU, 0, 117N, 1439E,  20, 1008, DB,
WP, 20, 1998101306,   , MIWU, 0, 116N, 1429E,  20, 1008, DB,
WP, 20, 1998101312,   , MIWU, 0, 114N, 1418E,  25, 1006, TD,
WP, 20, 1998101318,   , MIWU, 0, 112N, 1406E,  25, 1006, TD,
WP, 20, 1998101400,   , MIWU, 0, 110N, 1394E,  30, 1004, TD,
WP, 20, 1998101406,   , MIWU, 0, 110N, 1384E,  35, 1002, TS,
WP, 20, 1998101412,   , MIWU, 0, 112N, 1376E,  40, 1000, TS,
WP, 20, 1998101418,   , MIWU, 0, 115N, 1368E,  45,  998, TS,
WP, 20, 1998101500,   , MIWU, 0, 116N, 1360E,  45,  998, TS,
WP, 20, 1998101506,   , MIWU, 0, 118N, 1353E,  45,  997, TS,
WP, 20, 1998101512,   , MIWU, 0, 119N, 1345E,  45,  997, TS,
WP, 20, 1998101518,   , MIWU, 0, 119N, 1336E,  45,  997, TS,
WP, 20, 1998101600,   , MIWU, 0, 118N, 1329E,  40,  999, TS,
WP, 20, 1998101606,   , MIWU, 0, 118N, 1324E,  30, 1003, TD,
WP, 20, 1998101612,   , MIWU, 0, 118N, 1320E,  30, 1002, TD,
WP, 20, 1998101618,   , MIWU, 0, 118N, 1317E,  35, 1000, TS,
WP, 20, 1998101700,   , MIWU, 0, 118N, 1314E,  35, 1000, TS,
WP, 20, 1998101706,   , MIWU, 0, 118N, 1310E,  40,  998, TS,
WP, 20, 1998101712,   , MIWU, 0, 118N, 1306E,  40,  998, TS,
WP, 20, 1998101718,   , MIWU, 0, 117N, 1303E,  40,  997, TS,
WP, 20, 1998101800,   , MIWU, 0, 115N, 1301E,  45,  994, TS,
WP, 20, 1998101806,   , MIWU, 0, 112N, 1299E,  45,  994, TS,
WP, 20, 1998101812,   , MIWU, 0, 110N, 1298E,  45,  993, TS,
WP, 20, 1998101818,   , MIWU, 0, 108N, 1297E,  50,  990, TS,
WP, 20, 1998101900,   , MIWU, 0, 106N, 1297E,  60,  986, TS,
WP, 20, 1998101906,   , MIWU, 0, 106N, 1295E,  65,  984, TY,
WP, 20, 1998101912,   , MIWU, 0, 107N, 1292E,  70,  981, TY,
WP, 20, 1998101918,   , MIWU, 0, 110N, 1288E,  90,  969, TY,
WP, 20, 1998102000,   , MIWU, 0, 113N, 1283E, 120,  946, TY,
WP, 20, 1998102006,   , MIWU, 0, 117N, 1277E, 135,  934, ST,
WP, 20, 1998102012,   , MIWU, 0, 122N, 1271E, 140,  930, ST,
WP, 20, 1998102018,   , MIWU, 0, 127N, 1264E, 130,  940, ST,
WP, 20, 1998102100,   , MIWU, 0, 131N, 1257E, 110,  954, TY,
WP, 20, 1998102106,   , MIWU, 0, 135N, 1250E, 135,  934, ST,
WP, 20, 1998102112,   , MIWU, 0, 137N, 1243E, 145,  925, ST,
WP, 20, 1998102118,   , MIWU, 0, 139N, 1237E, 115,  945, TY,
WP, 20, 1998102200,   , MIWU, 0, 142N, 1232E, 100,  958, TY,
WP, 20, 1998102206,   , MIWU, 0, 145N, 1226E,  95,  962, TY,
WP, 20, 1998102212,   , MIWU, 0, 150N, 1220E, 105,  958, TY,
WP, 20, 1998102218,   , MIWU, 0, 154N, 1213E,  80,  972, TY,
WP, 20, 1998102300,   , MIWU, 0, 160N, 1203E,  60,  984, TS,
WP, 20, 1998102306,   , MIWU, 0, 165N, 1194E,  45,  993, TS,
WP, 20, 1998102312,   , MIWU, 0, 167N, 1187E,  45,  994, TS,
WP, 20, 1998102318,   , MIWU, 0, 169N, 1181E,  50,  992, TS,
WP, 20, 1998102400,   , MIWU, 0, 172N, 1176E,  55,  990, TS,
WP, 20, 1998102406,   , MIWU, 0, 176N, 1171E,  65,  986, TY,
WP, 20, 1998102412,   , MIWU, 0, 181N, 1166E,  65,  986, TY,
WP, 20, 1998102418,   , MIWU, 0, 186N, 1162E,  65,  985, TY,
WP, 20, 1998102500,   , MIWU, 0, 191N, 1159E,  70,  983, TY,
WP, 20, 1998102506,   , MIWU, 0, 197N, 1157E,  70,  982, TY,
WP, 20, 1998102512,   , MIWU, 0, 203N, 1157E,  75,  980, TY,
WP, 20, 1998102518,   , MIWU, 0, 208N, 1158E,  75,  979, TY,
WP, 20, 1998102600,   , MIWU, 0, 213N, 1161E,  75,  979, TY,
WP, 20, 1998102606,   , MIWU, 0, 218N, 1165E,  70,  982, TY,
WP, 20, 1998102612,   , MIWU, 0, 224N, 1170E,  65,  985, TY,
WP, 20, 1998102618,   , MIWU, 0, 228N, 1174E,  60,  988, TS,
WP, 20, 1998102700,   , MIWU, 0, 231N, 1177E,  50,  992, TS,
WP, 20, 1998102706,   , MIWU, 0, 234N, 1179E,  40,  996, TS,
WP, 20, 1998102712,   , MIWU, 0, 238N, 1181E,  30, 1000, TD,
WP, 20, 1998102718,   , MIWU, 0, 243N, 1184E,  25, 1002, EX,
WP, 20, 1998102800,   , MIWU, 0, 250N, 1190E,  25, 1003, EX,
WP, 20, 1998102806,   , MIWU, 0, 260N, 1200E,  20, 1005, EX,
WP, 20, 1998102812,   , MIWU, 0, 274N, 1215E,  20, 1006, EX,
