WP, 22, 1998111618,   , MIWU, 0, 100N, 1170E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dawn,
WP, 22, 1998111700,   , MIWU, 0,  99N, 1160E,  20, 1007, DB,
WP, 22, 1998111706,   , MIWU, 0,  96N, 1152E,  20, 1007, DB,
WP, 22, 1998111712,   , MIWU, 0,  96N, 1146E,  20, 1006, DB,
WP, 22, 1998111718,   , MIWU, 0,  98N, 1142E,  20, 1006, DB,
WP, 22, 1998111800,   , MIWU, 0, 100N, 1138E,  25, 1004, TD,
WP, 22, 1998111806,   , MIWU, 0, 102N, 1133E,  30, 1002, TD,
WP, 22, 1998111812,   , MIWU, 0, 104N, 1128E,  30, 1001, TD,
WP, 22, 1998111818,   , MIWU, 0, 107N, 1121E,  35,  999, TS,
WP, 22, 1998111900,   , MIWU, 0, 111N, 1112E,  45,  997, TS,
WP, 22, 1998111906,   , MIWU, 0, 116N, 1105E,  45,  996, TS,
WP, 22, 1998111912,   , MIWU, 0, 121N, 1099E,  45,  996, TS,
WP, 22, 1998111918,   , MIWU, 0, 125N, 1093E,  40,  998, TS,
WP, 22, 1998112000,   , MIWU, 0, 128N, 1085E,  35, 1000, TS,
WP, 22, 1998112006,   , MIWU, 0, 131N, 1074E,  25, 1004, TD,
WP, 22, 1998112012,   , MIWU, 0, 133N, 1062E,  15, 1008, DB,
