WP, 27, 1998121818,   , MIWU, 0, 129N, 1131E,  20, 1013, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, TwentySeven-W,
WP, 27, 1998121900,   , MIWU, 0, 132N, 1132E,  20, 1013, DB,
WP, 27, 1998121906,   , MIWU, 0, 136N, 1133E,  20, 1012, DB,
WP, 27, 1998121912,   , MIWU, 0, 141N, 1134E,  20, 1012, DB,
WP, 27, 1998121918,   , MIWU, 0, 147N, 1136E,  25, 1010, TD,
WP, 27, 1998122000,   , MIWU, 0, 155N, 1139E,  30, 1008, TD,
WP, 27, 1998122006,   , MIWU, 0, 163N, 1142E,  30, 1008, TD,
WP, 27, 1998122012,   , MIWU, 0, 171N, 1146E,  30, 1009, TD,
WP, 27, 1998122018,   , MIWU, 0, 178N, 1150E,  25, 1011, TD,
WP, 27, 1998122100,   , MIWU, 0, 184N, 1153E,  25, 1011, TD,
WP, 27, 1998122106,   , MIWU, 0, 188N, 1157E,  25, 1010, TD,
WP, 27, 1998122112,   , MIWU, 0, 191N, 1161E,  20, 1012, DB,
WP, 27, 1998122118,   , MIWU, 0, 194N, 1166E,  20, 1013, DB,
WP, 27, 1998122200,   , MIWU, 0, 197N, 1172E,  15, 1015, DB,
