EP, 08, 1999080512,   , MIWU, 0, 121N, 1190W,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eugene,
EP, 08, 1999080518,   , MIWU, 0, 121N, 1193W,  20, 1011, DB,
EP, 08, 1999080600,   , MIWU, 0, 121N, 1196W,  20, 1011, DB,
EP, 08, 1999080606,   , MIWU, 0, 122N, 1200W,  25, 1009, TD,
EP, 08, 1999080612,   , MIWU, 0, 124N, 1205W,  30, 1007, TD,
EP, 08, 1999080618,   , MIWU, 0, 126N, 1211W,  35, 1005, TS,
EP, 08, 1999080700,   , MIWU, 0, 129N, 1220W,  35, 1004, TS,
EP, 08, 1999080706,   , MIWU, 0, 132N, 1228W,  40, 1002, TS,
EP, 08, 1999080712,   , MIWU, 0, 135N, 1236W,  40, 1001, TS,
EP, 08, 1999080718,   , MIWU, 0, 139N, 1244W,  45,  999, TS,
EP, 08, 1999080800,   , MIWU, 0, 142N, 1254W,  50,  996, TS,
EP, 08, 1999080806,   , MIWU, 0, 144N, 1263W,  55,  993, TS,
EP, 08, 1999080812,   , MIWU, 0, 146N, 1272W,  60,  990, TS,
EP, 08, 1999080818,   , MIWU, 0, 148N, 1282W,  70,  984, HU,
EP, 08, 1999080900,   , MIWU, 0, 148N, 1292W,  75,  981, HU,
EP, 08, 1999080906,   , MIWU, 0, 146N, 1303W,  90,  972, HU,
EP, 08, 1999080912,   , MIWU, 0, 143N, 1314W,  95,  969, HU,
EP, 08, 1999080918,   , MIWU, 0, 141N, 1324W, 100,  966, HU,
EP, 08, 1999081000,   , MIWU, 0, 139N, 1335W,  90,  968, HU,
EP, 08, 1999081006,   , MIWU, 0, 138N, 1345W,  80,  972, HU,
EP, 08, 1999081012,   , MIWU, 0, 137N, 1356W,  70,  978, HU,
EP, 08, 1999081018,   , MIWU, 0, 137N, 1368W,  70,  979, HU,
EP, 08, 1999081100,   , MIWU, 0, 137N, 1381W,  65,  982, HU,
EP, 08, 1999081106,   , MIWU, 0, 138N, 1393W,  55,  988, TS,
EP, 08, 1999081112,   , MIWU, 0, 139N, 1404W,  55,  988, TS,
EP, 08, 1999081118,   , MIWU, 0, 140N, 1415W,  60,  986, TS,
EP, 08, 1999081200,   , MIWU, 0, 142N, 1425W,  65,  984, HU,
EP, 08, 1999081206,   , MIWU, 0, 144N, 1436W,  70,  982, HU,
EP, 08, 1999081212,   , MIWU, 0, 146N, 1447W,  70,  983, HU,
EP, 08, 1999081218,   , MIWU, 0, 148N, 1458W,  60,  989, TS,
EP, 08, 1999081300,   , MIWU, 0, 148N, 1469W,  55,  992, TS,
EP, 08, 1999081306,   , MIWU, 0, 147N, 1480W,  50,  994, TS,
EP, 08, 1999081312,   , MIWU, 0, 147N, 1493W,  45,  996, TS,
EP, 08, 1999081318,   , MIWU, 0, 148N, 1507W,  45,  996, TS,
EP, 08, 1999081400,   , MIWU, 0, 147N, 1521W,  40,  998, TS,
EP, 08, 1999081406,   , MIWU, 0, 145N, 1536W,  40,  999, TS,
EP, 08, 1999081412,   , MIWU, 0, 142N, 1550W,  40,  999, TS,
EP, 08, 1999081418,   , MIWU, 0, 138N, 1563W,  35, 1002, TS,
EP, 08, 1999081500,   , MIWU, 0, 132N, 1575W,  30, 1004, TD,
EP, 08, 1999081506,   , MIWU, 0, 126N, 1588W,  30, 1004, TD,
EP, 08, 1999081512,   , MIWU, 0, 122N, 1603W,  30, 1005, TD,
EP, 08, 1999081518,   , MIWU, 0, 121N, 1618W,  35, 1003, TS,
EP, 08, 1999081600,   , MIWU, 0, 120N, 1632W,  35, 1002, TS,
EP, 08, 1999081606,   , MIWU, 0, 119N, 1646W,  35, 1002, TS,
EP, 08, 1999081612,   , MIWU, 0, 118N, 1660W,  30, 1004, TD,
EP, 08, 1999081618,   , MIWU, 0, 116N, 1675W,  30, 1004, TD,
EP, 08, 1999081700,   , MIWU, 0, 114N, 1691W,  25, 1006, TD,
EP, 08, 1999081706,   , MIWU, 0, 113N, 1709W,  25, 1006, TD,
EP, 08, 1999081712,   , MIWU, 0, 113N, 1729W,  25, 1006, TD,
EP, 08, 1999081718,   , MIWU, 0, 113N, 1750W,  25, 1007, LO,
EP, 08, 1999081800,   , MIWU, 0, 113N, 1770W,  25, 1007, LO,
EP, 08, 1999081806,   , MIWU, 0, 114N, 1788W,  20, 1009, LO,
EP, 08, 1999081812,   , MIWU, 0, 114N, 1797E,  20, 1009, LO,
EP, 08, 1999081818,   , MIWU, 0, 113N, 1785E,  20, 1010, LO,
EP, 08, 1999081900,   , MIWU, 0, 113N, 1775E,  20, 1010, LO,
EP, 08, 1999081906,   , MIWU, 0, 114N, 1766E,  15, 1012, LO,
EP, 08, 1999081912,   , MIWU, 0, 113N, 1758E,  15, 1012, LO,
