EP, 11, 1999082118,   , MIWU, 0, 162N, 1086W,  20, 1009, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eleven-E,
EP, 11, 1999082200,   , MIWU, 0, 172N, 1085W,  20, 1009, LO,
EP, 11, 1999082206,   , MIWU, 0, 182N, 1087W,  20, 1008, LO,
EP, 11, 1999082212,   , MIWU, 0, 190N, 1093W,  25, 1006, LO,
EP, 11, 1999082218,   , MIWU, 0, 198N, 1099W,  25, 1005, TD,
EP, 11, 1999082300,   , MIWU, 0, 205N, 1103W,  30, 1003, TD,
EP, 11, 1999082306,   , MIWU, 0, 210N, 1107W,  35, 1000, TS,
EP, 11, 1999082312,   , MIWU, 0, 216N, 1111W,  40,  997, TS,
EP, 11, 1999082318,   , MIWU, 0, 221N, 1116W,  35,  999, TS,
EP, 11, 1999082400,   , MIWU, 0, 225N, 1122W,  30, 1001, TD,
EP, 11, 1999082406,   , MIWU, 0, 228N, 1127W,  25, 1003, LO,
EP, 11, 1999082412,   , MIWU, 0, 228N, 1130W,  25, 1004, LO,
EP, 11, 1999082418,   , MIWU, 0, 226N, 1134W,  25, 1004, LO,
EP, 11, 1999082500,   , MIWU, 0, 225N, 1138W,  25, 1004, LO,
EP, 11, 1999082506,   , MIWU, 0, 225N, 1141W,  20, 1006, LO,
EP, 11, 1999082512,   , MIWU, 0, 224N, 1142W,  20, 1006, LO,
EP, 11, 1999082518,   , MIWU, 0, 223N, 1142W,  20, 1007, LO,
EP, 11, 1999082600,   , MIWU, 0, 223N, 1143W,  20, 1007, LO,
EP, 11, 1999082606,   , MIWU, 0, 224N, 1144W,  15, 1009, LO,
EP, 11, 1999082612,   , MIWU, 0, 226N, 1144W,  15, 1009, LO,
EP, 11, 1999082618,   , MIWU, 0, 228N, 1145W,  15, 1010, LO,
EP, 11, 1999082700,   , MIWU, 0, 230N, 1147W,  15, 1010, LO,
EP, 11, 1999082706,   , MIWU, 0, 231N, 1151W,  15, 1010, LO,
EP, 11, 1999082712,   , MIWU, 0, 232N, 1157W,  15, 1010, LO,
EP, 11, 1999082718,   , MIWU, 0, 232N, 1166W,  15, 1010, LO,
