IO, 02, 1999051500,   , MIWU, 0, 120N,  725E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Two-A,
IO, 02, 1999051506,   , MIWU, 0, 121N,  725E,  20, 1006, DB,
IO, 02, 1999051512,   , MIWU, 0, 122N,  725E,  20, 1006, DB,
IO, 02, 1999051518,   , MIWU, 0, 123N,  725E,  25, 1004, TD,
IO, 02, 1999051600,   , MIWU, 0, 125N,  724E,  30, 1002, TD,
IO, 02, 1999051606,   , MIWU, 0, 128N,  722E,  35, 1000, TS,
IO, 02, 1999051612,   , MIWU, 0, 132N,  718E,  40,  998, TS,
IO, 02, 1999051618,   , MIWU, 0, 137N,  712E,  45,  995, TS,
IO, 02, 1999051700,   , MIWU, 0, 144N,  705E,  55,  989, TS,
IO, 02, 1999051706,   , MIWU, 0, 151N,  698E,  70,  980, TY,
IO, 02, 1999051712,   , MIWU, 0, 157N,  692E,  85,  970, TY,
IO, 02, 1999051718,   , MIWU, 0, 163N,  686E,  95,  962, TY,
IO, 02, 1999051800,   , MIWU, 0, 171N,  681E, 105,  956, TY,
IO, 02, 1999051806,   , MIWU, 0, 180N,  676E, 100,  955, TY,
IO, 02, 1999051812,   , MIWU, 0, 188N,  673E,  95,  955, TY,
IO, 02, 1999051818,   , MIWU, 0, 196N,  671E,  90,  956, TY,
IO, 02, 1999051900,   , MIWU, 0, 204N,  671E,  85,  958, TY,
IO, 02, 1999051906,   , MIWU, 0, 212N,  672E,  80,  961, TY,
IO, 02, 1999051912,   , MIWU, 0, 219N,  674E,  80,  962, TY,
IO, 02, 1999051918,   , MIWU, 0, 226N,  676E,  85,  960, TY,
IO, 02, 1999052000,   , MIWU, 0, 232N,  678E,  95,  954, TY,
IO, 02, 1999052006,   , MIWU, 0, 237N,  681E, 110,  948, TY,
IO, 02, 1999052012,   , MIWU, 0, 241N,  684E, 105,  951, TY,
IO, 02, 1999052018,   , MIWU, 0, 245N,  687E,  95,  957, TY,
IO, 02, 1999052100,   , MIWU, 0, 248N,  691E,  80,  968, TY,
IO, 02, 1999052106,   , MIWU, 0, 251N,  695E,  60,  984, TS,
IO, 02, 1999052112,   , MIWU, 0, 254N,  700E,  45,  993, TS,
IO, 02, 1999052118,   , MIWU, 0, 258N,  705E,  35,  998, TS,
IO, 02, 1999052200,   , MIWU, 0, 263N,  710E,  30, 1000, TD,
IO, 02, 1999052206,   , MIWU, 0, 269N,  715E,  20, 1006, DB,
IO, 02, 1999052212,   , MIWU, 0, 275N,  720E,  15, 1008, DB,
