WP, 07, 1999071400,   , MIWU, 0, 244N, 1559E,  20, 1008, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seven-W,
WP, 07, 1999071406,   , MIWU, 0, 242N, 1554E,  20, 1008, LO,
WP, 07, 1999071412,   , MIWU, 0, 240N, 1548E,  20, 1007, LO,
WP, 07, 1999071418,   , MIWU, 0, 238N, 1542E,  25, 1005, LO,
WP, 07, 1999071500,   , MIWU, 0, 236N, 1536E,  25, 1005, LO,
WP, 07, 1999071506,   , MIWU, 0, 234N, 1530E,  30, 1003, TD,
WP, 07, 1999071512,   , MIWU, 0, 233N, 1523E,  30, 1002, TD,
WP, 07, 1999071518,   , MIWU, 0, 232N, 1515E,  35, 1000, TS,
WP, 07, 1999071600,   , MIWU, 0, 233N, 1505E,  35, 1000, TS,
WP, 07, 1999071606,   , MIWU, 0, 238N, 1496E,  35,  999, TS,
WP, 07, 1999071612,   , MIWU, 0, 248N, 1485E,  35,  999, TS,
WP, 07, 1999071618,   , MIWU, 0, 260N, 1473E,  40,  996, TS,
WP, 07, 1999071700,   , MIWU, 0, 268N, 1461E,  40,  995, TS,
WP, 07, 1999071706,   , MIWU, 0, 274N, 1450E,  40,  995, TS,
WP, 07, 1999071712,   , MIWU, 0, 278N, 1441E,  35,  996, TS,
WP, 07, 1999071718,   , MIWU, 0, 283N, 1433E,  35,  996, TS,
WP, 07, 1999071800,   , MIWU, 0, 289N, 1426E,  30,  998, SD,
WP, 07, 1999071806,   , MIWU, 0, 298N, 1423E,  25, 1000, SD,
WP, 07, 1999071812,   , MIWU, 0, 310N, 1423E,  25, 1001, SD,
WP, 07, 1999071818,   , MIWU, 0, 322N, 1424E,  20, 1003, SD,
WP, 07, 1999071900,   , MIWU, 0, 336N, 1428E,  20, 1004, SD,
WP, 07, 1999071906,   , MIWU, 0, 350N, 1440E,  20, 1004, EX,
WP, 07, 1999071912,   , MIWU, 0, 366N, 1455E,  20, 1004, EX,
