WP, 15, 1999081518,   , MIWU, 0, 310N, 1276E,  20, 1003, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fifteen-W,
WP, 15, 1999081600,   , MIWU, 0, 308N, 1278E,  20, 1002, LO,
WP, 15, 1999081606,   , MIWU, 0, 308N, 1281E,  20, 1002, LO,
WP, 15, 1999081612,   , MIWU, 0, 309N, 1285E,  25, 1000, LO,
WP, 15, 1999081618,   , MIWU, 0, 312N, 1290E,  25, 1000, TD,
WP, 15, 1999081700,   , MIWU, 0, 317N, 1296E,  30,  998, TD,
WP, 15, 1999081706,   , MIWU, 0, 324N, 1301E,  30,  998, TD,
WP, 15, 1999081712,   , MIWU, 0, 331N, 1304E,  30,  999, TD,
WP, 15, 1999081718,   , MIWU, 0, 338N, 1306E,  25, 1001, TD,
WP, 15, 1999081800,   , MIWU, 0, 346N, 1306E,  25, 1001, EX,
WP, 15, 1999081806,   , MIWU, 0, 356N, 1307E,  25, 1001, EX,
WP, 15, 1999081812,   , MIWU, 0, 364N, 1309E,  25, 1000, EX,
WP, 15, 1999081818,   , MIWU, 0, 373N, 1311E,  30,  998, EX,
WP, 15, 1999081900,   , MIWU, 0, 381N, 1313E,  35,  996, EX,
WP, 15, 1999081906,   , MIWU, 0, 390N, 1316E,  35,  996, EX,
WP, 15, 1999081912,   , MIWU, 0, 400N, 1323E,  40,  994, EX,
WP, 15, 1999081918,   , MIWU, 0, 412N, 1333E,  40,  993, EX,
WP, 15, 1999082000,   , MIWU, 0, 420N, 1345E,  35,  995, EX,
WP, 15, 1999082006,   , MIWU, 0, 424N, 1357E,  35,  995, EX,
WP, 15, 1999082012,   , MIWU, 0, 426N, 1370E,  30,  997, EX,
WP, 15, 1999082018,   , MIWU, 0, 430N, 1384E,  25, 1000, EX,
