WP, 27, 1999101418,   , MIWU, 0, 118N, 1293E,  20, 1007, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eve,
WP, 27, 1999101500,   , MIWU, 0, 116N, 1284E,  20, 1007, LO,
WP, 27, 1999101506,   , MIWU, 0, 116N, 1274E,  20, 1006, LO,
WP, 27, 1999101512,   , MIWU, 0, 119N, 1263E,  25, 1004, LO,
WP, 27, 1999101518,   , MIWU, 0, 125N, 1251E,  25, 1004, LO,
WP, 27, 1999101600,   , MIWU, 0, 132N, 1239E,  25, 1003, LO,
WP, 27, 1999101606,   , MIWU, 0, 138N, 1229E,  25, 1003, TD,
WP, 27, 1999101612,   , MIWU, 0, 144N, 1219E,  25, 1003, TD,
WP, 27, 1999101618,   , MIWU, 0, 148N, 1210E,  30, 1001, TD,
WP, 27, 1999101700,   , MIWU, 0, 152N, 1201E,  30, 1000, TD,
WP, 27, 1999101706,   , MIWU, 0, 158N, 1192E,  35,  998, TS,
WP, 27, 1999101712,   , MIWU, 0, 165N, 1183E,  35,  998, TS,
WP, 27, 1999101718,   , MIWU, 0, 171N, 1172E,  40,  996, TS,
WP, 27, 1999101800,   , MIWU, 0, 174N, 1162E,  40,  995, TS,
WP, 27, 1999101806,   , MIWU, 0, 173N, 1150E,  40,  995, TS,
WP, 27, 1999101812,   , MIWU, 0, 168N, 1137E,  40,  995, TS,
WP, 27, 1999101818,   , MIWU, 0, 163N, 1122E,  45,  992, TS,
WP, 27, 1999101900,   , MIWU, 0, 155N, 1106E,  45,  991, TS,
WP, 27, 1999101906,   , MIWU, 0, 154N, 1093E,  40,  993, TS,
WP, 27, 1999101912,   , MIWU, 0, 162N, 1087E,  40,  994, TS,
WP, 27, 1999101918,   , MIWU, 0, 169N, 1078E,  35,  997, TS,
WP, 27, 1999102000,   , MIWU, 0, 174N, 1068E,  25, 1003, TD,
WP, 27, 1999102006,   , MIWU, 0, 179N, 1056E,  15, 1009, DB,
