WP, 29, 1999110518,   , MIWU, 0,  94N, 1377E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Frankie,
WP, 29, 1999110600,   , MIWU, 0, 102N, 1364E,  20, 1004, DB,
WP, 29, 1999110606,   , MIWU, 0, 110N, 1349E,  20, 1004, DB,
WP, 29, 1999110612,   , MIWU, 0, 113N, 1332E,  20, 1005, DB,
WP, 29, 1999110618,   , MIWU, 0, 111N, 1318E,  20, 1005, DB,
WP, 29, 1999110700,   , MIWU, 0, 107N, 1307E,  25, 1003, TD,
WP, 29, 1999110706,   , MIWU, 0, 104N, 1295E,  25, 1003, TD,
WP, 29, 1999110712,   , MIWU, 0, 106N, 1282E,  30, 1001, TD,
WP, 29, 1999110718,   , MIWU, 0, 110N, 1270E,  35,  999, TS,
WP, 29, 1999110800,   , MIWU, 0, 116N, 1258E,  40,  996, TS,
WP, 29, 1999110806,   , MIWU, 0, 122N, 1246E,  40,  995, TS,
WP, 29, 1999110812,   , MIWU, 0, 123N, 1235E,  35,  997, TS,
WP, 29, 1999110818,   , MIWU, 0, 122N, 1229E,  30,  999, TD,
WP, 29, 1999110900,   , MIWU, 0, 122N, 1226E,  30,  999, TD,
WP, 29, 1999110906,   , MIWU, 0, 124N, 1228E,  30, 1000, TD,
WP, 29, 1999110912,   , MIWU, 0, 126N, 1232E,  25, 1002, TD,
WP, 29, 1999110918,   , MIWU, 0, 129N, 1236E,  20, 1004, DB,
WP, 29, 1999111000,   , MIWU, 0, 131N, 1239E,  15, 1006, DB,
WP, 29, 1999111006,   , MIWU, 0, 132N, 1241E,  15, 1007, DB,
