WP, 70, 1999060312,   , MIWU, 0, 145N, 1165E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed,
WP, 70, 1999060318,   , MIWU, 0, 146N, 1162E,  20, 1009, DB,
WP, 70, 1999060400,   , MIWU, 0, 147N, 1158E,  25, 1007, TD,
WP, 70, 1999060406,   , MIWU, 0, 146N, 1152E,  25, 1006, TD,
WP, 70, 1999060412,   , MIWU, 0, 144N, 1146E,  30, 1004, TD,
WP, 70, 1999060418,   , MIWU, 0, 142N, 1142E,  35, 1002, TS,
WP, 70, 1999060500,   , MIWU, 0, 143N, 1140E,  40, 1000, TS,
WP, 70, 1999060506,   , MIWU, 0, 145N, 1141E,  40,  999, TS,
WP, 70, 1999060512,   , MIWU, 0, 148N, 1145E,  40,  999, TS,
WP, 70, 1999060518,   , MIWU, 0, 151N, 1152E,  30, 1003, TD,
WP, 70, 1999060600,   , MIWU, 0, 155N, 1158E,  25, 1005, TD,
WP, 70, 1999060606,   , MIWU, 0, 160N, 1162E,  25, 1006, LO,
