CP, 03, 2002102318,   , MIWU, 0,  88N, 1536W,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Huko,
CP, 03, 2002102400,   , MIWU, 0,  90N, 1539W,  20, 1009, DB,
CP, 03, 2002102406,   , MIWU, 0,  91N, 1542W,  20, 1009, DB,
CP, 03, 2002102412,   , MIWU, 0,  91N, 1544W,  20, 1008, DB,
CP, 03, 2002102418,   , MIWU, 0,  92N, 1544W,  20, 1008, DB,
CP, 03, 2002102500,   , MIWU, 0,  94N, 1544W,  20, 1008, DB,
CP, 03, 2002102506,   , MIWU, 0,  97N, 1543W,  20, 1008, DB,
CP, 03, 2002102512,   , MIWU, 0, 101N, 1542W,  25, 1006, TD,
CP, 03, 2002102518,   , MIWU, 0, 105N, 1543W,  30, 1004, TD,
CP, 03, 2002102600,   , MIWU, 0, 110N, 1545W,  35, 1004, TS,
CP, 03, 2002102606,   , MIWU, 0, 115N, 1550W,  35, 1005, TS,
CP, 03, 2002102612,   , MIWU, 0, 118N, 1556W,  35, 1005, TS,
CP, 03, 2002102618,   , MIWU, 0, 117N, 1562W,  40, 1004, TS,
CP, 03, 2002102700,   , MIWU, 0, 116N, 1567W,  40, 1002, TS,
CP, 03, 2002102706,   , MIWU, 0, 117N, 1572W,  40, 1001, TS,
CP, 03, 2002102712,   , MIWU, 0, 118N, 1577W,  45,  997, TS,
CP, 03, 2002102718,   , MIWU, 0, 119N, 1580W,  55,  993, TS,
CP, 03, 2002102800,   , MIWU, 0, 121N, 1581W,  55,  993, TS,
CP, 03, 2002102806,   , MIWU, 0, 124N, 1583W,  55,  993, TS,
CP, 03, 2002102812,   , MIWU, 0, 126N, 1587W,  60,  991, TS,
CP, 03, 2002102818,   , MIWU, 0, 127N, 1592W,  60,  990, TS,
CP, 03, 2002102900,   , MIWU, 0, 128N, 1597W,  65,  988, HU,
CP, 03, 2002102906,   , MIWU, 0, 130N, 1601W,  65,  987, HU,
CP, 03, 2002102912,   , MIWU, 0, 133N, 1605W,  60,  990, TS,
CP, 03, 2002102918,   , MIWU, 0, 136N, 1609W,  50,  996, TS,
CP, 03, 2002103000,   , MIWU, 0, 138N, 1615W,  55,  994, TS,
CP, 03, 2002103006,   , MIWU, 0, 139N, 1623W,  50,  996, TS,
CP, 03, 2002103012,   , MIWU, 0, 138N, 1633W,  50,  996, TS,
CP, 03, 2002103018,   , MIWU, 0, 137N, 1642W,  55,  994, TS,
CP, 03, 2002103100,   , MIWU, 0, 137N, 1652W,  60,  992, TS,
CP, 03, 2002103106,   , MIWU, 0, 136N, 1661W,  65,  989, HU,
CP, 03, 2002103112,   , MIWU, 0, 136N, 1671W,  65,  989, HU,
CP, 03, 2002103118,   , MIWU, 0, 137N, 1682W,  60,  991, TS,
CP, 03, 2002110100,   , MIWU, 0, 138N, 1693W,  60,  992, TS,
CP, 03, 2002110106,   , MIWU, 0, 140N, 1704W,  65,  988, HU,
CP, 03, 2002110112,   , MIWU, 0, 142N, 1713W,  75,  984, HU,
CP, 03, 2002110118,   , MIWU, 0, 143N, 1720W,  70,  985, HU,
CP, 03, 2002110200,   , MIWU, 0, 145N, 1726W,  75,  983, HU,
CP, 03, 2002110206,   , MIWU, 0, 146N, 1733W,  75,  983, HU,
CP, 03, 2002110212,   , MIWU, 0, 147N, 1741W,  75,  982, HU,
CP, 03, 2002110218,   , MIWU, 0, 149N, 1752W,  70,  984, HU,
CP, 03, 2002110300,   , MIWU, 0, 151N, 1765W,  65,  986, HU,
CP, 03, 2002110306,   , MIWU, 0, 154N, 1784W,  70,  984, HU,
CP, 03, 2002110312,   , MIWU, 0, 157N, 1795E,  75,  982, TY,
CP, 03, 2002110318,   , MIWU, 0, 161N, 1773E,  80,  980, TY,
CP, 03, 2002110400,   , MIWU, 0, 166N, 1748E,  75,  982, TY,
CP, 03, 2002110406,   , MIWU, 0, 174N, 1722E,  75,  983, TY,
CP, 03, 2002110412,   , MIWU, 0, 186N, 1699E,  70,  985, TY,
CP, 03, 2002110418,   , MIWU, 0, 196N, 1674E,  65,  987, TY,
CP, 03, 2002110500,   , MIWU, 0, 206N, 1655E,  70,  985, TY,
CP, 03, 2002110506,   , MIWU, 0, 217N, 1641E,  70,  984, TY,
CP, 03, 2002110512,   , MIWU, 0, 230N, 1632E,  65,  987, TY,
CP, 03, 2002110518,   , MIWU, 0, 242N, 1629E,  65,  988, TY,
CP, 03, 2002110600,   , MIWU, 0, 252N, 1631E,  65,  988, TY,
CP, 03, 2002110606,   , MIWU, 0, 261N, 1640E,  60,  991, TS,
CP, 03, 2002110612,   , MIWU, 0, 269N, 1663E,  55,  994, TS,
CP, 03, 2002110618,   , MIWU, 0, 275N, 1690E,  55,  995, TS,
CP, 03, 2002110700,   , MIWU, 0, 280N, 1720E,  45,  999, EX,
CP, 03, 2002110706,   , MIWU, 0, 282N, 1746E,  35, 1003, EX,
CP, 03, 2002110712,   , MIWU, 0, 283N, 1772E,  25, 1007, EX,
CP, 03, 2002110718,   , MIWU, 0, 286N, 1800E,  15, 1011, EX,
