EP, 01, 2002052418,   , MIWU, 0, 116N, 1010W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Alma,
EP, 01, 2002052500,   , MIWU, 0, 118N, 1014W,  20, 1010, DB,
EP, 01, 2002052506,   , MIWU, 0, 119N, 1018W,  25, 1009, TD,
EP, 01, 2002052512,   , MIWU, 0, 118N, 1023W,  30, 1008, TD,
EP, 01, 2002052518,   , MIWU, 0, 114N, 1029W,  30, 1008, TD,
EP, 01, 2002052600,   , MIWU, 0, 111N, 1035W,  35, 1007, TS,
EP, 01, 2002052606,   , MIWU, 0, 108N, 1041W,  35, 1006, TS,
EP, 01, 2002052612,   , MIWU, 0, 107N, 1047W,  35, 1006, TS,
EP, 01, 2002052618,   , MIWU, 0, 107N, 1055W,  35, 1006, TS,
EP, 01, 2002052700,   , MIWU, 0, 109N, 1064W,  40, 1004, TS,
EP, 01, 2002052706,   , MIWU, 0, 111N, 1075W,  40, 1003, TS,
EP, 01, 2002052712,   , MIWU, 0, 112N, 1085W,  45, 1001, TS,
EP, 01, 2002052718,   , MIWU, 0, 113N, 1095W,  50,  999, TS,
EP, 01, 2002052800,   , MIWU, 0, 114N, 1104W,  55,  997, TS,
EP, 01, 2002052806,   , MIWU, 0, 116N, 1114W,  60,  995, TS,
EP, 01, 2002052812,   , MIWU, 0, 119N, 1125W,  60,  994, TS,
EP, 01, 2002052818,   , MIWU, 0, 120N, 1134W,  70,  988, HU,
EP, 01, 2002052900,   , MIWU, 0, 125N, 1138W,  75,  985, HU,
EP, 01, 2002052906,   , MIWU, 0, 130N, 1143W,  80,  982, HU,
EP, 01, 2002052912,   , MIWU, 0, 135N, 1149W,  85,  979, HU,
EP, 01, 2002052918,   , MIWU, 0, 139N, 1153W,  90,  976, HU,
EP, 01, 2002053000,   , MIWU, 0, 145N, 1154W, 100,  970, HU,
EP, 01, 2002053006,   , MIWU, 0, 153N, 1154W, 110,  966, HU,
EP, 01, 2002053012,   , MIWU, 0, 161N, 1154W, 105,  968, HU,
EP, 01, 2002053018,   , MIWU, 0, 168N, 1153W,  90,  974, HU,
EP, 01, 2002053100,   , MIWU, 0, 176N, 1153W,  75,  983, HU,
EP, 01, 2002053106,   , MIWU, 0, 179N, 1155W,  60,  992, TS,
EP, 01, 2002053112,   , MIWU, 0, 180N, 1158W,  50,  996, TS,
EP, 01, 2002053118,   , MIWU, 0, 178N, 1159W,  40, 1000, TS,
EP, 01, 2002060100,   , MIWU, 0, 177N, 1158W,  35, 1002, LO,
EP, 01, 2002060106,   , MIWU, 0, 176N, 1157W,  30, 1004, LO,
EP, 01, 2002060112,   , MIWU, 0, 177N, 1157W,  25, 1006, LO,
EP, 01, 2002060118,   , MIWU, 0, 176N, 1158W,  25, 1006, LO,
EP, 01, 2002060200,   , MIWU, 0, 175N, 1158W,  20, 1008, LO,
EP, 01, 2002060206,   , MIWU, 0, 173N, 1158W,  20, 1008, LO,
EP, 01, 2002060212,   , MIWU, 0, 169N, 1158W,  20, 1008, LO,
EP, 01, 2002060218,   , MIWU, 0, 164N, 1158W,  15, 1010, LO,
EP, 01, 2002060300,   , MIWU, 0, 159N, 1157W,  15, 1010, LO,
EP, 01, 2002060306,   , MIWU, 0, 154N, 1155W,  15, 1010, LO,
EP, 01, 2002060312,   , MIWU, 0, 149N, 1152W,  15, 1011, LO,
EP, 01, 2002060318,   , MIWU, 0, 143N, 1148W,  15, 1011, LO,
EP, 01, 2002060400,   , MIWU, 0, 136N, 1142W,  15, 1011, LO,
