EP, 15, 2002102200,   , MIWU, 0, 110N, 1294W,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Lowell,
EP, 15, 2002102206,   , MIWU, 0, 113N, 1297W,  20, 1011, DB,
EP, 15, 2002102212,   , MIWU, 0, 115N, 1300W,  25, 1010, TD,
EP, 15, 2002102218,   , MIWU, 0, 117N, 1302W,  30, 1008, TD,
EP, 15, 2002102300,   , MIWU, 0, 119N, 1305W,  30, 1008, TD,
EP, 15, 2002102306,   , MIWU, 0, 120N, 1308W,  35, 1006, TS,
EP, 15, 2002102312,   , MIWU, 0, 121N, 1312W,  40, 1004, TS,
EP, 15, 2002102318,   , MIWU, 0, 121N, 1317W,  40, 1003, TS,
EP, 15, 2002102400,   , MIWU, 0, 122N, 1324W,  35, 1005, TS,
EP, 15, 2002102406,   , MIWU, 0, 123N, 1333W,  30, 1007, TD,
EP, 15, 2002102412,   , MIWU, 0, 122N, 1344W,  25, 1009, TD,
EP, 15, 2002102418,   , MIWU, 0, 122N, 1356W,  25, 1009, TD,
EP, 15, 2002102500,   , MIWU, 0, 123N, 1367W,  25, 1008, TD,
EP, 15, 2002102506,   , MIWU, 0, 124N, 1378W,  25, 1008, TD,
EP, 15, 2002102512,   , MIWU, 0, 126N, 1389W,  30, 1006, TD,
EP, 15, 2002102518,   , MIWU, 0, 128N, 1398W,  30, 1006, TD,
EP, 15, 2002102600,   , MIWU, 0, 130N, 1407W,  30, 1006, TD,
EP, 15, 2002102606,   , MIWU, 0, 129N, 1415W,  30, 1005, TD,
EP, 15, 2002102612,   , MIWU, 0, 126N, 1422W,  30, 1005, TD,
EP, 15, 2002102618,   , MIWU, 0, 122N, 1430W,  30, 1005, TD,
EP, 15, 2002102700,   , MIWU, 0, 120N, 1436W,  30, 1005, TD,
EP, 15, 2002102706,   , MIWU, 0, 121N, 1439W,  30, 1005, TD,
EP, 15, 2002102712,   , MIWU, 0, 124N, 1440W,  35, 1003, TS,
EP, 15, 2002102718,   , MIWU, 0, 128N, 1442W,  35, 1003, TS,
EP, 15, 2002102800,   , MIWU, 0, 131N, 1445W,  35, 1002, TS,
EP, 15, 2002102806,   , MIWU, 0, 131N, 1448W,  40, 1000, TS,
EP, 15, 2002102812,   , MIWU, 0, 130N, 1451W,  40,  999, TS,
EP, 15, 2002102818,   , MIWU, 0, 128N, 1455W,  40,  999, TS,
EP, 15, 2002102900,   , MIWU, 0, 125N, 1459W,  40,  999, TS,
EP, 15, 2002102906,   , MIWU, 0, 123N, 1464W,  30, 1003, TD,
EP, 15, 2002102912,   , MIWU, 0, 121N, 1470W,  30, 1004, TD,
EP, 15, 2002102918,   , MIWU, 0, 120N, 1477W,  25, 1006, TD,
EP, 15, 2002103000,   , MIWU, 0, 121N, 1483W,  25, 1006, TD,
EP, 15, 2002103006,   , MIWU, 0, 121N, 1487W,  30, 1004, TD,
EP, 15, 2002103012,   , MIWU, 0, 118N, 1490W,  25, 1006, TD,
EP, 15, 2002103018,   , MIWU, 0, 114N, 1492W,  20, 1008, DB,
EP, 15, 2002103100,   , MIWU, 0, 111N, 1493W,  15, 1010, DB,
EP, 15, 2002103106,   , MIWU, 0, 109N, 1494W,  15, 1010, DB,
EP, 15, 2002103112,   , MIWU, 0, 106N, 1493W,  20, 1008, DB,
EP, 15, 2002103118,   , MIWU, 0, 102N, 1494W,  20, 1008, DB,
EP, 15, 2002110100,   , MIWU, 0,  99N, 1497W,  15, 1010, DB,
EP, 15, 2002110106,   , MIWU, 0,  97N, 1501W,  15, 1011, DB,
