WP, 09, 2002062618,   , MIWU, 0, 100N, 1386E,  15, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rammasun,
WP, 09, 2002062700,   , MIWU, 0, 100N, 1382E,  15, 1005, DB,
WP, 09, 2002062706,   , MIWU, 0,  99N, 1379E,  20, 1003, DB,
WP, 09, 2002062712,   , MIWU, 0,  99N, 1375E,  20, 1002, DB,
WP, 09, 2002062718,   , MIWU, 0, 100N, 1369E,  25, 1000, TD,
WP, 09, 2002062800,   , MIWU, 0, 100N, 1362E,  30,  998, TD,
WP, 09, 2002062806,   , MIWU, 0, 100N, 1355E,  30,  997, TD,
WP, 09, 2002062812,   , MIWU, 0, 101N, 1349E,  30,  997, TD,
WP, 09, 2002062818,   , MIWU, 0, 103N, 1347E,  35,  995, TS,
WP, 09, 2002062900,   , MIWU, 0, 106N, 1346E,  40,  993, TS,
WP, 09, 2002062906,   , MIWU, 0, 110N, 1348E,  40,  992, TS,
WP, 09, 2002062912,   , MIWU, 0, 115N, 1351E,  45,  989, TS,
WP, 09, 2002062918,   , MIWU, 0, 120N, 1353E,  45,  988, TS,
WP, 09, 2002063000,   , MIWU, 0, 124N, 1353E,  45,  988, TS,
WP, 09, 2002063006,   , MIWU, 0, 128N, 1351E,  50,  985, TS,
WP, 09, 2002063012,   , MIWU, 0, 133N, 1347E,  55,  982, TS,
WP, 09, 2002063018,   , MIWU, 0, 140N, 1340E,  55,  981, TS,
WP, 09, 2002070100,   , MIWU, 0, 152N, 1334E,  60,  978, TS,
WP, 09, 2002070106,   , MIWU, 0, 165N, 1325E,  65,  975, TY,
WP, 09, 2002070112,   , MIWU, 0, 176N, 1317E,  70,  972, TY,
WP, 09, 2002070118,   , MIWU, 0, 186N, 1308E,  75,  969, TY,
WP, 09, 2002070200,   , MIWU, 0, 195N, 1298E,  80,  965, TY,
WP, 09, 2002070206,   , MIWU, 0, 203N, 1289E,  90,  955, TY,
WP, 09, 2002070212,   , MIWU, 0, 212N, 1280E, 105,  940, TY,
WP, 09, 2002070218,   , MIWU, 0, 222N, 1272E, 110,  935, TY,
WP, 09, 2002070300,   , MIWU, 0, 232N, 1264E, 110,  933, TY,
WP, 09, 2002070306,   , MIWU, 0, 239N, 1258E, 115,  928, TY,
WP, 09, 2002070312,   , MIWU, 0, 246N, 1253E, 115,  926, TY,
WP, 09, 2002070318,   , MIWU, 0, 257N, 1248E, 115,  925, TY,
WP, 09, 2002070400,   , MIWU, 0, 268N, 1243E, 105,  930, TY,
WP, 09, 2002070406,   , MIWU, 0, 281N, 1241E,  95,  936, TY,
WP, 09, 2002070412,   , MIWU, 0, 296N, 1239E,  80,  948, TY,
WP, 09, 2002070418,   , MIWU, 0, 309N, 1237E,  70,  956, TY,
WP, 09, 2002070500,   , MIWU, 0, 322N, 1237E,  60,  964, TS,
WP, 09, 2002070506,   , MIWU, 0, 331N, 1239E,  60,  964, TS,
WP, 09, 2002070512,   , MIWU, 0, 344N, 1246E,  55,  967, TS,
WP, 09, 2002070518,   , MIWU, 0, 356N, 1258E,  45,  973, TS,
WP, 09, 2002070600,   , MIWU, 0, 369N, 1270E,  45,  975, TS,
WP, 09, 2002070606,   , MIWU, 0, 381N, 1282E,  40,  978, EX,
WP, 09, 2002070612,   , MIWU, 0, 390N, 1295E,  40,  980, EX,
WP, 09, 2002070618,   , MIWU, 0, 395N, 1301E,  40,  980, EX,
WP, 09, 2002070700,   , MIWU, 0, 399N, 1303E,  35,  985, EX,
WP, 09, 2002070706,   , MIWU, 0, 403N, 1306E,  30,  990, EX,
WP, 09, 2002070712,   , MIWU, 0, 408N, 1311E,  25,  994, EX,
