WP, 11, 2002070718,   , MIWU, 0, 216N, 1169E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nakri,
WP, 11, 2002070800,   , MIWU, 0, 219N, 1175E,  20, 1009, DB,
WP, 11, 2002070806,   , MIWU, 0, 221N, 1180E,  25, 1007, TD,
WP, 11, 2002070812,   , MIWU, 0, 224N, 1183E,  30, 1005, TD,
WP, 11, 2002070818,   , MIWU, 0, 229N, 1186E,  40, 1001, TS,
WP, 11, 2002070900,   , MIWU, 0, 234N, 1191E,  50,  997, TS,
WP, 11, 2002070906,   , MIWU, 0, 239N, 1197E,  50,  998, TS,
WP, 11, 2002070912,   , MIWU, 0, 243N, 1202E,  40, 1002, TS,
WP, 11, 2002070918,   , MIWU, 0, 247N, 1208E,  35, 1004, TS,
WP, 11, 2002071000,   , MIWU, 0, 250N, 1215E,  30, 1006, TD,
WP, 11, 2002071006,   , MIWU, 0, 252N, 1222E,  30, 1004, TD,
WP, 11, 2002071012,   , MIWU, 0, 253N, 1230E,  40, 1000, TS,
WP, 11, 2002071018,   , MIWU, 0, 253N, 1239E,  45,  998, TS,
WP, 11, 2002071100,   , MIWU, 0, 251N, 1250E,  50,  995, TS,
WP, 11, 2002071106,   , MIWU, 0, 253N, 1258E,  55,  992, TS,
WP, 11, 2002071112,   , MIWU, 0, 255N, 1262E,  55,  991, TS,
WP, 11, 2002071118,   , MIWU, 0, 256N, 1265E,  55,  992, TS,
WP, 11, 2002071200,   , MIWU, 0, 258N, 1267E,  70,  983, TY,
WP, 11, 2002071206,   , MIWU, 0, 262N, 1267E,  65,  985, TY,
WP, 11, 2002071212,   , MIWU, 0, 269N, 1266E,  55,  989, TS,
WP, 11, 2002071218,   , MIWU, 0, 280N, 1264E,  50,  991, TS,
WP, 11, 2002071300,   , MIWU, 0, 293N, 1263E,  55,  989, TS,
WP, 11, 2002071306,   , MIWU, 0, 310N, 1266E,  50,  991, TS,
WP, 11, 2002071312,   , MIWU, 0, 327N, 1273E,  40,  995, TS,
WP, 11, 2002071318,   , MIWU, 0, 346N, 1284E,  30,  999, EX,
WP, 11, 2002071400,   , MIWU, 0, 364N, 1298E,  25, 1001, EX,
