WP, 15, 2002071706,   , MIWU, 0,  99N, 1784W,  15, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kalmaegi,
WP, 15, 2002071712,   , MIWU, 0, 109N, 1777W,  20, 1009, DB,
WP, 15, 2002071718,   , MIWU, 0, 118N, 1774W,  20, 1009, DB,
WP, 15, 2002071800,   , MIWU, 0, 125N, 1773W,  20, 1008, DB,
WP, 15, 2002071806,   , MIWU, 0, 130N, 1773W,  25, 1007, TD,
WP, 15, 2002071812,   , MIWU, 0, 135N, 1773W,  30, 1005, TD,
WP, 15, 2002071818,   , MIWU, 0, 140N, 1774W,  30, 1005, TD,
WP, 15, 2002071900,   , MIWU, 0, 146N, 1776W,  40, 1001, TS,
WP, 15, 2002071906,   , MIWU, 0, 149N, 1779W,  45, 1000, TS,
WP, 15, 2002071912,   , MIWU, 0, 151N, 1782W,  40, 1002, TS,
WP, 15, 2002071918,   , MIWU, 0, 152N, 1787W,  35, 1004, TS,
WP, 15, 2002072000,   , MIWU, 0, 154N, 1793W,  40, 1002, TS,
WP, 15, 2002072006,   , MIWU, 0, 159N, 1799W,  40, 1002, TS,
WP, 15, 2002072012,   , MIWU, 0, 165N, 1794E,  45, 1000, TS,
WP, 15, 2002072018,   , MIWU, 0, 171N, 1788E,  45, 1000, TS,
WP, 15, 2002072100,   , MIWU, 0, 178N, 1782E,  40, 1002, TS,
WP, 15, 2002072106,   , MIWU, 0, 182N, 1776E,  30, 1006, LO,
WP, 15, 2002072112,   , MIWU, 0, 187N, 1769E,  20, 1010, LO,
WP, 15, 2002072118,   , MIWU, 0, 193N, 1759E,  15, 1012, LO,
