WP, 18, 2002081006,   , MIWU, 0, 105N, 1310E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eighteen-W,
WP, 18, 2002081012,   , MIWU, 0, 104N, 1308E,  20, 1005, DB,
WP, 18, 2002081018,   , MIWU, 0, 103N, 1306E,  20, 1005, DB,
WP, 18, 2002081100,   , MIWU, 0, 103N, 1303E,  25, 1003, TD,
WP, 18, 2002081106,   , MIWU, 0, 106N, 1299E,  25, 1002, TD,
WP, 18, 2002081112,   , MIWU, 0, 111N, 1294E,  30, 1000, TD,
WP, 18, 2002081118,   , MIWU, 0, 115N, 1288E,  30, 1000, TD,
WP, 18, 2002081200,   , MIWU, 0, 122N, 1281E,  30,  999, TD,
WP, 18, 2002081206,   , MIWU, 0, 128N, 1277E,  35,  997, TS,
WP, 18, 2002081212,   , MIWU, 0, 133N, 1269E,  40,  995, TS,
WP, 18, 2002081218,   , MIWU, 0, 138N, 1255E,  40,  994, TS,
WP, 18, 2002081300,   , MIWU, 0, 143N, 1240E,  30,  998, LO,
WP, 18, 2002081306,   , MIWU, 0, 147N, 1226E,  20, 1002, LO,
WP, 18, 2002081312,   , MIWU, 0, 149N, 1212E,  10, 1006, LO,
