WP, 20, 2002081318,   , MIWU, 0, 142N, 1156E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Vongfong,
WP, 20, 2002081400,   , MIWU, 0, 140N, 1153E,  20, 1007, DB,
WP, 20, 2002081406,   , MIWU, 0, 139N, 1149E,  20, 1006, DB,
WP, 20, 2002081412,   , MIWU, 0, 139N, 1144E,  20, 1006, DB,
WP, 20, 2002081418,   , MIWU, 0, 140N, 1140E,  25, 1004, TD,
WP, 20, 2002081500,   , MIWU, 0, 140N, 1137E,  30, 1002, TD,
WP, 20, 2002081506,   , MIWU, 0, 140N, 1135E,  35, 1000, TS,
WP, 20, 2002081512,   , MIWU, 0, 139N, 1134E,  40,  998, TS,
WP, 20, 2002081518,   , MIWU, 0, 138N, 1135E,  40,  999, TS,
WP, 20, 2002081600,   , MIWU, 0, 140N, 1138E,  40,  999, TS,
WP, 20, 2002081606,   , MIWU, 0, 143N, 1141E,  35, 1001, TS,
WP, 20, 2002081612,   , MIWU, 0, 147N, 1144E,  35, 1000, TS,
WP, 20, 2002081618,   , MIWU, 0, 152N, 1145E,  35, 1000, TS,
WP, 20, 2002081700,   , MIWU, 0, 158N, 1143E,  35, 1000, TS,
WP, 20, 2002081706,   , MIWU, 0, 161N, 1138E,  35, 1000, TS,
WP, 20, 2002081712,   , MIWU, 0, 163N, 1134E,  40,  997, TS,
WP, 20, 2002081718,   , MIWU, 0, 164N, 1129E,  45,  994, TS,
WP, 20, 2002081800,   , MIWU, 0, 166N, 1124E,  45,  992, TS,
WP, 20, 2002081806,   , MIWU, 0, 168N, 1121E,  45,  992, TS,
WP, 20, 2002081812,   , MIWU, 0, 173N, 1119E,  50,  988, TS,
WP, 20, 2002081818,   , MIWU, 0, 181N, 1117E,  55,  985, TS,
WP, 20, 2002081900,   , MIWU, 0, 190N, 1115E,  60,  982, TS,
WP, 20, 2002081906,   , MIWU, 0, 202N, 1110E,  60,  981, TS,
WP, 20, 2002081912,   , MIWU, 0, 215N, 1105E,  60,  981, TS,
WP, 20, 2002081918,   , MIWU, 0, 232N, 1097E,  40,  993, TS,
WP, 20, 2002082000,   , MIWU, 0, 250N, 1083E,  25, 1000, TD,
WP, 20, 2002082006,   , MIWU, 0, 260N, 1067E,  15, 1004, DB,
WP, 20, 2002082012,   , MIWU, 0, 262N, 1054E,  15, 1005, DB,
