WP, 21, 2002082012,   , MIWU, 0, 143N, 1660E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rusa,
WP, 21, 2002082018,   , MIWU, 0, 143N, 1658E,  20, 1005, DB,
WP, 21, 2002082100,   , MIWU, 0, 144N, 1656E,  20, 1004, DB,
WP, 21, 2002082106,   , MIWU, 0, 146N, 1654E,  25, 1002, TD,
WP, 21, 2002082112,   , MIWU, 0, 147N, 1650E,  30, 1000, TD,
WP, 21, 2002082118,   , MIWU, 0, 146N, 1645E,  35,  998, TS,
WP, 21, 2002082200,   , MIWU, 0, 145N, 1640E,  40,  996, TS,
WP, 21, 2002082206,   , MIWU, 0, 147N, 1634E,  45,  994, TS,
WP, 21, 2002082212,   , MIWU, 0, 150N, 1628E,  45,  994, TS,
WP, 21, 2002082218,   , MIWU, 0, 155N, 1620E,  40,  996, TS,
WP, 21, 2002082300,   , MIWU, 0, 162N, 1612E,  40,  995, TS,
WP, 21, 2002082306,   , MIWU, 0, 169N, 1604E,  45,  993, TS,
WP, 21, 2002082312,   , MIWU, 0, 178N, 1594E,  50,  990, TS,
WP, 21, 2002082318,   , MIWU, 0, 184N, 1583E,  55,  987, TS,
WP, 21, 2002082400,   , MIWU, 0, 188N, 1570E,  60,  984, TS,
WP, 21, 2002082406,   , MIWU, 0, 193N, 1559E,  60,  982, TS,
WP, 21, 2002082412,   , MIWU, 0, 197N, 1549E,  65,  978, TY,
WP, 21, 2002082418,   , MIWU, 0, 201N, 1538E,  70,  974, TY,
WP, 21, 2002082500,   , MIWU, 0, 206N, 1523E,  70,  972, TY,
WP, 21, 2002082506,   , MIWU, 0, 210N, 1509E,  75,  968, TY,
WP, 21, 2002082512,   , MIWU, 0, 215N, 1495E,  80,  964, TY,
WP, 21, 2002082518,   , MIWU, 0, 219N, 1480E,  90,  956, TY,
WP, 21, 2002082600,   , MIWU, 0, 221N, 1467E, 120,  925, TY,
WP, 21, 2002082606,   , MIWU, 0, 224N, 1455E, 120,  923, TY,
WP, 21, 2002082612,   , MIWU, 0, 227N, 1443E, 115,  924, TY,
WP, 21, 2002082618,   , MIWU, 0, 232N, 1431E, 105,  929, TY,
WP, 21, 2002082700,   , MIWU, 0, 236N, 1418E,  95,  936, TY,
WP, 21, 2002082706,   , MIWU, 0, 239N, 1405E,  95,  938, TY,
WP, 21, 2002082712,   , MIWU, 0, 243N, 1393E,  95,  938, TY,
WP, 21, 2002082718,   , MIWU, 0, 248N, 1380E,  90,  942, TY,
WP, 21, 2002082800,   , MIWU, 0, 253N, 1364E,  90,  942, TY,
WP, 21, 2002082806,   , MIWU, 0, 258N, 1350E,  90,  942, TY,
WP, 21, 2002082812,   , MIWU, 0, 264N, 1338E,  90,  943, TY,
WP, 21, 2002082818,   , MIWU, 0, 270N, 1326E,  90,  943, TY,
WP, 21, 2002082900,   , MIWU, 0, 275N, 1313E,  90,  943, TY,
WP, 21, 2002082906,   , MIWU, 0, 280N, 1303E,  90,  943, TY,
WP, 21, 2002082912,   , MIWU, 0, 284N, 1295E,  95,  940, TY,
WP, 21, 2002082918,   , MIWU, 0, 289N, 1289E,  95,  940, TY,
WP, 21, 2002083000,   , MIWU, 0, 294N, 1283E,  95,  940, TY,
WP, 21, 2002083006,   , MIWU, 0, 300N, 1280E,  95,  941, TY,
WP, 21, 2002083012,   , MIWU, 0, 307N, 1279E,  90,  944, TY,
WP, 21, 2002083018,   , MIWU, 0, 317N, 1278E,  90,  945, TY,
WP, 21, 2002083100,   , MIWU, 0, 329N, 1276E,  85,  948, TY,
WP, 21, 2002083106,   , MIWU, 0, 341N, 1273E,  75,  956, TY,
WP, 21, 2002083112,   , MIWU, 0, 355N, 1275E,  65,  964, TY,
WP, 21, 2002083118,   , MIWU, 0, 368N, 1280E,  55,  972, TS,
WP, 21, 2002090100,   , MIWU, 0, 381N, 1285E,  45,  980, EX,
WP, 21, 2002090106,   , MIWU, 0, 394N, 1295E,  35,  988, EX,
WP, 21, 2002090112,   , MIWU, 0, 410N, 1312E,  30,  992, EX,
WP, 21, 2002090118,   , MIWU, 0, 426N, 1340E,  30,  994, EX,
WP, 21, 2002090200,   , MIWU, 0, 456N, 1379E,  30,  994, EX,
WP, 21, 2002090206,   , MIWU, 0, 491N, 1413E,  30,  995, EX,
WP, 21, 2002090212,   , MIWU, 0, 510N, 1451E,  30,  995, EX,
