WP, 28, 2002101700,   , MIWU, 0, 121N, 1781E,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, TwentyEight-W,
WP, 28, 2002101706,   , MIWU, 0, 125N, 1775E,  20, 1012, DB,
WP, 28, 2002101712,   , MIWU, 0, 129N, 1769E,  25, 1010, TD,
WP, 28, 2002101718,   , MIWU, 0, 134N, 1764E,  30, 1008, TD,
WP, 28, 2002101800,   , MIWU, 0, 140N, 1760E,  30, 1008, TD,
WP, 28, 2002101806,   , MIWU, 0, 146N, 1757E,  25, 1010, TD,
WP, 28, 2002101812,   , MIWU, 0, 152N, 1758E,  25, 1010, TD,
WP, 28, 2002101818,   , MIWU, 0, 160N, 1761E,  20, 1012, DB,
WP, 28, 2002101900,   , MIWU, 0, 171N, 1765E,  20, 1012, DB,
WP, 28, 2002101906,   , MIWU, 0, 180N, 1770E,  20, 1012, DB,
WP, 28, 2002101912,   , MIWU, 0, 186N, 1776E,  20, 1012, DB,
WP, 28, 2002101918,   , MIWU, 0, 190N, 1783E,  20, 1012, DB,
