WP, 30, 2002111818,   , MIWU, 0,  96N, 1562E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Haishen,
WP, 30, 2002111900,   , MIWU, 0,  98N, 1548E,  20, 1009, DB,
WP, 30, 2002111906,   , MIWU, 0,  99N, 1533E,  20, 1008, DB,
WP, 30, 2002111912,   , MIWU, 0,  99N, 1517E,  20, 1008, DB,
WP, 30, 2002111918,   , MIWU, 0, 100N, 1502E,  20, 1008, DB,
WP, 30, 2002112000,   , MIWU, 0, 101N, 1487E,  25, 1006, TD,
WP, 30, 2002112006,   , MIWU, 0, 104N, 1473E,  25, 1005, TD,
WP, 30, 2002112012,   , MIWU, 0, 109N, 1458E,  30, 1003, TD,
WP, 30, 2002112018,   , MIWU, 0, 114N, 1440E,  35, 1001, TS,
WP, 30, 2002112100,   , MIWU, 0, 118N, 1422E,  40,  999, TS,
WP, 30, 2002112106,   , MIWU, 0, 123N, 1402E,  40,  998, TS,
WP, 30, 2002112112,   , MIWU, 0, 128N, 1387E,  45,  995, TS,
WP, 30, 2002112118,   , MIWU, 0, 134N, 1374E,  50,  992, TS,
WP, 30, 2002112200,   , MIWU, 0, 141N, 1366E,  60,  986, TS,
WP, 30, 2002112206,   , MIWU, 0, 150N, 1359E,  70,  980, TY,
WP, 30, 2002112212,   , MIWU, 0, 158N, 1352E,  80,  972, TY,
WP, 30, 2002112218,   , MIWU, 0, 166N, 1350E,  90,  964, TY,
WP, 30, 2002112300,   , MIWU, 0, 177N, 1351E, 105,  950, TY,
WP, 30, 2002112306,   , MIWU, 0, 187N, 1353E, 130,  930, ST,
WP, 30, 2002112312,   , MIWU, 0, 199N, 1356E, 125,  933, TY,
WP, 30, 2002112318,   , MIWU, 0, 212N, 1365E, 110,  944, TY,
WP, 30, 2002112400,   , MIWU, 0, 229N, 1378E,  95,  956, TY,
WP, 30, 2002112406,   , MIWU, 0, 252N, 1393E,  80,  968, TY,
WP, 30, 2002112412,   , MIWU, 0, 272N, 1410E,  65,  978, EX,
WP, 30, 2002112418,   , MIWU, 0, 290N, 1433E,  55,  987, EX,
WP, 30, 2002112500,   , MIWU, 0, 304N, 1457E,  55,  985, EX,
WP, 30, 2002112506,   , MIWU, 0, 318N, 1483E,  55,  985, EX,
WP, 30, 2002112512,   , MIWU, 0, 329N, 1514E,  50,  988, EX,
WP, 30, 2002112518,   , MIWU, 0, 335N, 1542E,  45,  991, EX,
WP, 30, 2002112600,   , MIWU, 0, 339N, 1569E,  40,  994, EX,
WP, 30, 2002112606,   , MIWU, 0, 340N, 1605E,  35,  997, EX,
WP, 30, 2002112612,   , MIWU, 0, 338N, 1648E,  30, 1000, EX,
WP, 30, 2002112618,   , MIWU, 0, 332N, 1699E,  25, 1003, EX,
