SH, 03, 2004110518,   , MIWU, 0,  55S,  852E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Arola,
SH, 03, 2004110600,   , MIWU, 0,  55S,  849E,  20, 1009, DB,
SH, 03, 2004110606,   , MIWU, 0,  54S,  845E,  20, 1008, DB,
SH, 03, 2004110612,   , MIWU, 0,  55S,  840E,  20, 1008, DB,
SH, 03, 2004110618,   , MIWU, 0,  57S,  835E,  25, 1006, TD,
SH, 03, 2004110700,   , MIWU, 0,  62S,  832E,  30, 1004, TD,
SH, 03, 2004110706,   , MIWU, 0,  70S,  827E,  30, 1004, TD,
SH, 03, 2004110712,   , MIWU, 0,  79S,  818E,  35, 1002, TS,
SH, 03, 2004110718,   , MIWU, 0,  86S,  809E,  40, 1000, TS,
SH, 03, 2004110800,   , MIWU, 0,  93S,  800E,  50,  996, TS,
SH, 03, 2004110806,   , MIWU, 0,  98S,  793E,  60,  992, TS,
SH, 03, 2004110812,   , MIWU, 0, 102S,  785E,  65,  990, TY,
SH, 03, 2004110818,   , MIWU, 0, 106S,  780E,  75,  984, TY,
SH, 03, 2004110900,   , MIWU, 0, 110S,  773E,  75,  985, TY,
SH, 03, 2004110906,   , MIWU, 0, 112S,  767E,  70,  987, TY,
SH, 03, 2004110912,   , MIWU, 0, 111S,  760E,  60,  991, TS,
SH, 03, 2004110918,   , MIWU, 0, 108S,  756E,  60,  992, TS,
SH, 03, 2004111000,   , MIWU, 0, 108S,  752E,  60,  992, TS,
SH, 03, 2004111006,   , MIWU, 0, 108S,  750E,  55,  994, TS,
SH, 03, 2004111012,   , MIWU, 0, 109S,  748E,  55,  994, TS,
SH, 03, 2004111018,   , MIWU, 0, 110S,  745E,  55,  994, TS,
SH, 03, 2004111100,   , MIWU, 0, 112S,  742E,  55,  994, TS,
SH, 03, 2004111106,   , MIWU, 0, 114S,  740E,  55,  995, TS,
SH, 03, 2004111112,   , MIWU, 0, 117S,  739E,  55,  995, TS,
SH, 03, 2004111118,   , MIWU, 0, 120S,  738E,  55,  995, TS,
SH, 03, 2004111200,   , MIWU, 0, 122S,  735E,  50,  997, TS,
SH, 03, 2004111206,   , MIWU, 0, 123S,  730E,  45,  999, TS,
SH, 03, 2004111212,   , MIWU, 0, 123S,  723E,  40, 1001, TS,
SH, 03, 2004111218,   , MIWU, 0, 124S,  715E,  35, 1003, TS,
SH, 03, 2004111300,   , MIWU, 0, 128S,  706E,  30, 1005, TD,
SH, 03, 2004111306,   , MIWU, 0, 130S,  697E,  30, 1005, TD,
SH, 03, 2004111312,   , MIWU, 0, 131S,  687E,  30, 1006, TD,
SH, 03, 2004111318,   , MIWU, 0, 131S,  679E,  25, 1008, TD,
SH, 03, 2004111400,   , MIWU, 0, 132S,  672E,  25, 1009, LO,
SH, 03, 2004111406,   , MIWU, 0, 135S,  668E,  20, 1011, LO,
SH, 03, 2004111412,   , MIWU, 0, 137S,  662E,  20, 1011, LO,
SH, 03, 2004111418,   , MIWU, 0, 139S,  657E,  20, 1011, LO,
SH, 03, 2004111500,   , MIWU, 0, 140S,  651E,  20, 1011, LO,
SH, 03, 2004111506,   , MIWU, 0, 139S,  645E,  20, 1012, LO,
SH, 03, 2004111512,   , MIWU, 0, 139S,  641E,  20, 1012, LO,
SH, 03, 2004111518,   , MIWU, 0, 140S,  638E,  20, 1012, LO,
SH, 03, 2004111600,   , MIWU, 0, 143S,  634E,  20, 1012, LO,
SH, 03, 2004111606,   , MIWU, 0, 148S,  628E,  15, 1014, LO,
SH, 03, 2004111612,   , MIWU, 0, 150S,  619E,  15, 1014, LO,
SH, 03, 2004111618,   , MIWU, 0, 149S,  607E,  15, 1014, LO,
SH, 03, 2004111700,   , MIWU, 0, 145S,  596E,  15, 1015, LO,
SH, 03, 2004111706,   , MIWU, 0, 139S,  587E,  15, 1015, LO,
