SH, 04, 2004111906,   , MIWU, 0,  68S,  781E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bento,
SH, 04, 2004111912,   , MIWU, 0,  72S,  782E,  20, 1006, DB,
SH, 04, 2004111918,   , MIWU, 0,  75S,  781E,  20, 1006, DB,
SH, 04, 2004112000,   , MIWU, 0,  76S,  779E,  25, 1004, TD,
SH, 04, 2004112006,   , MIWU, 0,  78S,  777E,  30, 1002, TD,
SH, 04, 2004112012,   , MIWU, 0,  80S,  776E,  30, 1001, TD,
SH, 04, 2004112018,   , MIWU, 0,  81S,  778E,  35,  999, TS,
SH, 04, 2004112100,   , MIWU, 0,  80S,  781E,  40,  996, TS,
SH, 04, 2004112106,   , MIWU, 0,  80S,  784E,  45,  993, TS,
SH, 04, 2004112112,   , MIWU, 0,  81S,  785E,  55,  987, TS,
SH, 04, 2004112118,   , MIWU, 0,  82S,  784E,  65,  981, TY,
SH, 04, 2004112200,   , MIWU, 0,  83S,  781E,  75,  974, TY,
SH, 04, 2004112206,   , MIWU, 0,  85S,  777E,  80,  970, TY,
SH, 04, 2004112212,   , MIWU, 0,  86S,  772E, 100,  950, TY,
SH, 04, 2004112218,   , MIWU, 0,  84S,  766E, 120,  934, TY,
SH, 04, 2004112300,   , MIWU, 0,  82S,  762E, 145,  920, ST,
SH, 04, 2004112306,   , MIWU, 0,  82S,  757E, 150,  916, ST,
SH, 04, 2004112309,   , MIWU, 0,  83S,  755E, 155,  912, ST,
SH, 04, 2004112312,   , MIWU, 0,  84S,  752E, 150,  910, ST,
SH, 04, 2004112318,   , MIWU, 0,  86S,  746E, 145,  914, ST,
SH, 04, 2004112400,   , MIWU, 0,  89S,  742E, 130,  926, ST,
SH, 04, 2004112406,   , MIWU, 0,  93S,  739E, 115,  940, TY,
SH, 04, 2004112412,   , MIWU, 0,  96S,  736E, 100,  954, TY,
SH, 04, 2004112418,   , MIWU, 0,  99S,  734E,  90,  961, TY,
SH, 04, 2004112500,   , MIWU, 0, 101S,  734E,  80,  967, TY,
SH, 04, 2004112506,   , MIWU, 0, 106S,  735E,  70,  973, TY,
SH, 04, 2004112512,   , MIWU, 0, 113S,  736E,  70,  974, TY,
SH, 04, 2004112518,   , MIWU, 0, 120S,  739E,  75,  972, TY,
SH, 04, 2004112600,   , MIWU, 0, 125S,  741E,  75,  972, TY,
SH, 04, 2004112606,   , MIWU, 0, 131S,  744E,  70,  974, TY,
SH, 04, 2004112612,   , MIWU, 0, 136S,  747E,  75,  972, TY,
SH, 04, 2004112618,   , MIWU, 0, 140S,  750E,  75,  971, TY,
SH, 04, 2004112700,   , MIWU, 0, 146S,  755E,  75,  970, TY,
SH, 04, 2004112706,   , MIWU, 0, 152S,  760E,  70,  972, TY,
SH, 04, 2004112712,   , MIWU, 0, 157S,  765E,  60,  977, TS,
SH, 04, 2004112718,   , MIWU, 0, 160S,  769E,  60,  978, TS,
SH, 04, 2004112800,   , MIWU, 0, 161S,  771E,  55,  981, TS,
SH, 04, 2004112806,   , MIWU, 0, 161S,  774E,  50,  984, TS,
SH, 04, 2004112812,   , MIWU, 0, 162S,  773E,  45,  987, TS,
SH, 04, 2004112818,   , MIWU, 0, 163S,  770E,  40,  990, TS,
SH, 04, 2004112900,   , MIWU, 0, 164S,  765E,  40,  990, TS,
SH, 04, 2004112906,   , MIWU, 0, 165S,  759E,  35,  993, TS,
SH, 04, 2004112912,   , MIWU, 0, 166S,  750E,  35,  994, TS,
SH, 04, 2004112918,   , MIWU, 0, 168S,  742E,  35,  994, TS,
SH, 04, 2004113000,   , MIWU, 0, 171S,  735E,  35,  994, TS,
SH, 04, 2004113006,   , MIWU, 0, 174S,  727E,  30,  997, TD,
SH, 04, 2004113012,   , MIWU, 0, 177S,  716E,  30,  997, TD,
SH, 04, 2004113018,   , MIWU, 0, 179S,  706E,  30,  996, TD,
SH, 04, 2004120100,   , MIWU, 0, 180S,  698E,  30,  996, TD,
SH, 04, 2004120106,   , MIWU, 0, 180S,  689E,  30,  996, TD,
SH, 04, 2004120112,   , MIWU, 0, 180S,  677E,  30,  997, TD,
SH, 04, 2004120118,   , MIWU, 0, 178S,  666E,  30,  997, LO,
SH, 04, 2004120200,   , MIWU, 0, 177S,  656E,  30,  997, LO,
SH, 04, 2004120206,   , MIWU, 0, 176S,  642E,  25,  999, LO,
SH, 04, 2004120212,   , MIWU, 0, 175S,  625E,  25,  999, LO,
SH, 04, 2004120218,   , MIWU, 0, 174S,  609E,  25, 1000, LO,
SH, 04, 2004120300,   , MIWU, 0, 174S,  594E,  25, 1000, LO,
SH, 04, 2004120306,   , MIWU, 0, 173S,  575E,  20, 1002, LO,
SH, 04, 2004120312,   , MIWU, 0, 170S,  560E,  15, 1004, LO,
SH, 04, 2004120318,   , MIWU, 0, 167S,  544E,  15, 1005, LO,
SH, 04, 2004120400,   , MIWU, 0, 166S,  528E,  15, 1005, LO,
