SH, 09, 2005010600,   , MIWU, 0,  84S,  982E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sally,
SH, 09, 2005010606,   , MIWU, 0,  90S,  985E,  20, 1008, DB,
SH, 09, 2005010612,   , MIWU, 0,  96S,  989E,  20, 1007, DB,
SH, 09, 2005010618,   , MIWU, 0, 102S,  994E,  25, 1005, TD,
SH, 09, 2005010700,   , MIWU, 0, 110S, 1000E,  25, 1004, TD,
SH, 09, 2005010706,   , MIWU, 0, 117S, 1006E,  30, 1002, TD,
SH, 09, 2005010712,   , MIWU, 0, 124S, 1010E,  35, 1000, TS,
SH, 09, 2005010718,   , MIWU, 0, 131S, 1010E,  40,  998, TS,
SH, 09, 2005010800,   , MIWU, 0, 136S, 1008E,  45,  996, TS,
SH, 09, 2005010806,   , MIWU, 0, 138S, 1004E,  45,  995, TS,
SH, 09, 2005010812,   , MIWU, 0, 140S, 1001E,  50,  993, TS,
SH, 09, 2005010818,   , MIWU, 0, 141S,  997E,  55,  990, TS,
SH, 09, 2005010900,   , MIWU, 0, 144S,  994E,  55,  990, TS,
SH, 09, 2005010906,   , MIWU, 0, 147S,  991E,  50,  992, TS,
SH, 09, 2005010912,   , MIWU, 0, 150S,  990E,  45,  994, TS,
SH, 09, 2005010918,   , MIWU, 0, 154S,  991E,  40,  996, TS,
SH, 09, 2005011000,   , MIWU, 0, 159S,  990E,  30, 1000, TD,
SH, 09, 2005011006,   , MIWU, 0, 165S,  987E,  15, 1006, DB,
