SH, 17, 2005020318,   , MIWU, 0, 142S, 1180E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Vivienne,
SH, 17, 2005020400,   , MIWU, 0, 145S, 1176E,  20, 1008, DB,
SH, 17, 2005020406,   , MIWU, 0, 149S, 1173E,  25, 1006, TD,
SH, 17, 2005020412,   , MIWU, 0, 152S, 1171E,  30, 1004, TD,
SH, 17, 2005020418,   , MIWU, 0, 155S, 1172E,  35, 1002, TS,
SH, 17, 2005020500,   , MIWU, 0, 156S, 1175E,  35, 1001, TS,
SH, 17, 2005020506,   , MIWU, 0, 157S, 1174E,  40,  999, TS,
SH, 17, 2005020512,   , MIWU, 0, 158S, 1170E,  40,  998, TS,
SH, 17, 2005020518,   , MIWU, 0, 159S, 1166E,  45,  996, TS,
SH, 17, 2005020600,   , MIWU, 0, 160S, 1164E,  45,  995, TS,
SH, 17, 2005020606,   , MIWU, 0, 161S, 1164E,  40,  997, TS,
SH, 17, 2005020612,   , MIWU, 0, 162S, 1163E,  40,  997, TS,
SH, 17, 2005020618,   , MIWU, 0, 163S, 1162E,  40,  996, TS,
SH, 17, 2005020700,   , MIWU, 0, 164S, 1161E,  45,  994, TS,
SH, 17, 2005020706,   , MIWU, 0, 164S, 1160E,  45,  993, TS,
SH, 17, 2005020712,   , MIWU, 0, 164S, 1159E,  40,  995, TS,
SH, 17, 2005020718,   , MIWU, 0, 162S, 1158E,  40,  994, TS,
SH, 17, 2005020800,   , MIWU, 0, 159S, 1156E,  40,  994, TS,
SH, 17, 2005020806,   , MIWU, 0, 156S, 1157E,  40,  995, TS,
SH, 17, 2005020812,   , MIWU, 0, 154S, 1158E,  35,  997, TS,
SH, 17, 2005020818,   , MIWU, 0, 154S, 1161E,  35,  998, TS,
SH, 17, 2005020900,   , MIWU, 0, 156S, 1165E,  30, 1000, TD,
SH, 17, 2005020906,   , MIWU, 0, 160S, 1169E,  25, 1002, LO,
SH, 17, 2005020912,   , MIWU, 0, 163S, 1171E,  20, 1004, LO,
SH, 17, 2005020918,   , MIWU, 0, 166S, 1170E,  20, 1005, LO,
SH, 17, 2005021000,   , MIWU, 0, 168S, 1168E,  15, 1007, LO,
SH, 17, 2005021006,   , MIWU, 0, 167S, 1165E,  15, 1008, LO,
