SH, 18, 2005021018,   , MIWU, 0, 120S, 1701W,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nancy,
SH, 18, 2005021100,   , MIWU, 0, 122S, 1700W,  20, 1005, DB,
SH, 18, 2005021106,   , MIWU, 0, 125S, 1696W,  20, 1005, DB,
SH, 18, 2005021112,   , MIWU, 0, 129S, 1691W,  25, 1003, TD,
SH, 18, 2005021118,   , MIWU, 0, 134S, 1682W,  30, 1001, TD,
SH, 18, 2005021200,   , MIWU, 0, 136S, 1674W,  35,  999, TS,
SH, 18, 2005021206,   , MIWU, 0, 135S, 1668W,  40,  997, TS,
SH, 18, 2005021212,   , MIWU, 0, 132S, 1663W,  45,  994, TS,
SH, 18, 2005021218,   , MIWU, 0, 128S, 1659W,  40,  996, TS,
SH, 18, 2005021300,   , MIWU, 0, 128S, 1653W,  45,  993, TS,
SH, 18, 2005021306,   , MIWU, 0, 130S, 1646W,  50,  990, TS,
SH, 18, 2005021312,   , MIWU, 0, 133S, 1643W,  65,  981, TY,
SH, 18, 2005021318,   , MIWU, 0, 136S, 1641W,  85,  966, TY,
SH, 18, 2005021321,   , MIWU, 0, 138S, 1640W, 105,  954, TY,
SH, 18, 2005021400,   , MIWU, 0, 139S, 1640W, 125,  934, TY,
SH, 18, 2005021402,   , MIWU, 0, 139S, 1638W, 145,  922, ST,
SH, 18, 2005021406,   , MIWU, 0, 140S, 1633W, 145,  920, ST,
SH, 18, 2005021412,   , MIWU, 0, 144S, 1622W, 135,  922, ST,
SH, 18, 2005021418,   , MIWU, 0, 153S, 1610W, 120,  932, TY,
SH, 18, 2005021500,   , MIWU, 0, 165S, 1598W, 105,  944, TY,
SH, 18, 2005021506,   , MIWU, 0, 179S, 1590W,  95,  952, TY,
SH, 18, 2005021512,   , MIWU, 0, 193S, 1589W,  85,  960, TY,
SH, 18, 2005021518,   , MIWU, 0, 205S, 1589W,  75,  968, TY,
SH, 18, 2005021600,   , MIWU, 0, 216S, 1592W,  60,  977, TS,
SH, 18, 2005021606,   , MIWU, 0, 225S, 1596W,  55,  980, TS,
SH, 18, 2005021612,   , MIWU, 0, 233S, 1604W,  50,  983, TS,
SH, 18, 2005021618,   , MIWU, 0, 242S, 1616W,  45,  986, LO,
SH, 18, 2005021700,   , MIWU, 0, 246S, 1629W,  40,  989, LO,
SH, 18, 2005021706,   , MIWU, 0, 250S, 1637W,  35,  992, LO,
SH, 18, 2005021712,   , MIWU, 0, 255S, 1643W,  30,  995, LO,
SH, 18, 2005021718,   , MIWU, 0, 259S, 1648W,  25,  998, LO,
SH, 18, 2005021800,   , MIWU, 0, 258S, 1653W,  25,  999, LO,
SH, 18, 2005021806,   , MIWU, 0, 255S, 1659W,  20, 1002, LO,
SH, 18, 2005021812,   , MIWU, 0, 249S, 1657W,  20, 1003, LO, 
