SH, 22, 2005030400,   , MIWU, 0, 111S, 1404E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ingrid,
SH, 22, 2005030406,   , MIWU, 0, 114S, 1410E,  20, 1007, DB,
SH, 22, 2005030412,   , MIWU, 0, 118S, 1419E,  20, 1007, DB,
SH, 22, 2005030418,   , MIWU, 0, 118S, 1431E,  25, 1005, TD,
SH, 22, 2005030500,   , MIWU, 0, 119S, 1443E,  35, 1001, TS,
SH, 22, 2005030506,   , MIWU, 0, 120S, 1453E,  45,  997, TS,
SH, 22, 2005030512,   , MIWU, 0, 122S, 1462E,  45,  997, TS,
SH, 22, 2005030518,   , MIWU, 0, 124S, 1469E,  50,  995, TS,
SH, 22, 2005030600,   , MIWU, 0, 129S, 1475E,  60,  989, TS,
SH, 22, 2005030606,   , MIWU, 0, 132S, 1482E,  70,  983, TY,
SH, 22, 2005030609,   , MIWU, 0, 134S, 1485E,  90,  968, TY,
SH, 22, 2005030612,   , MIWU, 0, 136S, 1487E, 105,  958, TY,
SH, 22, 2005030618,   , MIWU, 0, 139S, 1488E,  95,  962, TY,
SH, 22, 2005030700,   , MIWU, 0, 141S, 1487E, 105,  956, TY,
SH, 22, 2005030706,   , MIWU, 0, 142S, 1485E, 125,  942, TY,
SH, 22, 2005030712,   , MIWU, 0, 141S, 1482E, 130,  938, ST,
SH, 22, 2005030718,   , MIWU, 0, 140S, 1479E, 130,  937, ST,
SH, 22, 2005030800,   , MIWU, 0, 139S, 1474E, 135,  933, ST,
SH, 22, 2005030806,   , MIWU, 0, 139S, 1469E, 140,  929, ST,
SH, 22, 2005030812,   , MIWU, 0, 138S, 1464E, 130,  933, ST,
SH, 22, 2005030818,   , MIWU, 0, 137S, 1460E, 115,  942, TY,
SH, 22, 2005030900,   , MIWU, 0, 136S, 1455E, 105,  948, TY,
SH, 22, 2005030906,   , MIWU, 0, 135S, 1448E, 100,  951, TY,
SH, 22, 2005030912,   , MIWU, 0, 134S, 1442E,  95,  954, TY,
SH, 22, 2005030918,   , MIWU, 0, 134S, 1437E, 100,  952, TY,
SH, 22, 2005030920,   , MIWU, 0, 135S, 1435E, 105,  950, TY,
SH, 22, 2005031000,   , MIWU, 0, 135S, 1428E,  80,  964, TY,
SH, 22, 2005031006,   , MIWU, 0, 134S, 1419E,  50,  988, TS,
SH, 22, 2005031012,   , MIWU, 0, 131S, 1411E,  45,  991, TS,
SH, 22, 2005031018,   , MIWU, 0, 129S, 1402E,  60,  979, TS,
SH, 22, 2005031100,   , MIWU, 0, 125S, 1394E,  70,  971, TY,
SH, 22, 2005031102,   , MIWU, 0, 123S, 1390E,  85,  962, TY,
SH, 22, 2005031106,   , MIWU, 0, 123S, 1386E, 100,  950, TY,
SH, 22, 2005031109,   , MIWU, 0, 121S, 1382E, 120,  930, TY,
SH, 22, 2005031112,   , MIWU, 0, 120S, 1378E, 145,  910, ST,
SH, 22, 2005031118,   , MIWU, 0, 120S, 1367E, 155,  902, ST,
SH, 22, 2005031200,   , MIWU, 0, 118S, 1357E, 160,  898, ST,
SH, 22, 2005031203,   , MIWU, 0, 116S, 1352E, 165,  895, ST,
SH, 22, 2005031206,   , MIWU, 0, 116S, 1348E, 150,  901, ST,
SH, 22, 2005031212,   , MIWU, 0, 115S, 1339E, 130,  910, ST,
SH, 22, 2005031218,   , MIWU, 0, 114S, 1327E, 115,  925, TY,
SH, 22, 2005031300,   , MIWU, 0, 113S, 1318E, 105,  936, TY,
SH, 22, 2005031306,   , MIWU, 0, 113S, 1311E,  95,  950, TY,
SH, 22, 2005031312,   , MIWU, 0, 113S, 1306E,  95,  953, TY,
SH, 22, 2005031318,   , MIWU, 0, 115S, 1301E,  90,  958, TY,
SH, 22, 2005031400,   , MIWU, 0, 117S, 1296E,  95,  955, TY,
SH, 22, 2005031406,   , MIWU, 0, 119S, 1291E, 100,  952, TY,
SH, 22, 2005031412,   , MIWU, 0, 121S, 1286E, 110,  946, TY,
SH, 22, 2005031418,   , MIWU, 0, 123S, 1282E, 120,  939, TY,
SH, 22, 2005031500,   , MIWU, 0, 127S, 1279E, 130,  933, ST,
SH, 22, 2005031502,   , MIWU, 0, 129S, 1277E, 140,  928, ST,
SH, 22, 2005031506,   , MIWU, 0, 132S, 1275E, 135,  931, ST,
SH, 22, 2005031512,   , MIWU, 0, 137S, 1273E, 115,  950, TY,
SH, 22, 2005031518,   , MIWU, 0, 141S, 1270E, 100,  962, TY,
SH, 22, 2005031600,   , MIWU, 0, 145S, 1267E,  90,  969, TY,
SH, 22, 2005031606,   , MIWU, 0, 148S, 1269E,  75,  978, TY,
SH, 22, 2005031612,   , MIWU, 0, 152S, 1273E,  50,  989, TS,
SH, 22, 2005031618,   , MIWU, 0, 157S, 1281E,  45,  991, TS,
SH, 22, 2005031700,   , MIWU, 0, 165S, 1289E,  40,  993, TS,
SH, 22, 2005031706,   , MIWU, 0, 171S, 1301E,  35,  995, TS,
SH, 22, 2005031712,   , MIWU, 0, 175S, 1313E,  30,  997, LO,
SH, 22, 2005031718,   , MIWU, 0, 175S, 1325E,  20, 1001, LO,
