SH, 70, 2004120912,   , MIWU, 0, 118S, 1770E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-01,
SH, 70, 2004120918,   , MIWU, 0, 122S, 1769E,  20, 1008, DB,
SH, 70, 2004121000,   , MIWU, 0, 125S, 1766E,  20, 1007, DB,
SH, 70, 2004121006,   , MIWU, 0, 127S, 1762E,  20, 1007, DB,
SH, 70, 2004121012,   , MIWU, 0, 127S, 1756E,  25, 1005, TD,
SH, 70, 2004121018,   , MIWU, 0, 128S, 1748E,  30, 1003, TD,
SH, 70, 2004121100,   , MIWU, 0, 127S, 1739E,  30, 1003, TD,
SH, 70, 2004121106,   , MIWU, 0, 129S, 1734E,  30, 1002, TD,
SH, 70, 2004121112,   , MIWU, 0, 134S, 1731E,  30, 1002, TD,
SH, 70, 2004121118,   , MIWU, 0, 138S, 1730E,  35, 1000, TS,
SH, 70, 2004121200,   , MIWU, 0, 141S, 1730E,  35,  999, TS,
SH, 70, 2004121206,   , MIWU, 0, 144S, 1729E,  35,  999, TS,
SH, 70, 2004121212,   , MIWU, 0, 144S, 1725E,  40,  997, TS,
SH, 70, 2004121218,   , MIWU, 0, 143S, 1722E,  40,  996, TS,
SH, 70, 2004121300,   , MIWU, 0, 143S, 1719E,  40,  996, TS,
SH, 70, 2004121306,   , MIWU, 0, 145S, 1717E,  40,  996, TS,
SH, 70, 2004121312,   , MIWU, 0, 149S, 1715E,  40,  996, TS,
SH, 70, 2004121318,   , MIWU, 0, 155S, 1714E,  35,  998, TS,
SH, 70, 2004121400,   , MIWU, 0, 166S, 1712E,  35,  999, TS,
SH, 70, 2004121406,   , MIWU, 0, 178S, 1712E,  30, 1001, TD,
SH, 70, 2004121412,   , MIWU, 0, 191S, 1715E,  30, 1001, TD,
SH, 70, 2004121418,   , MIWU, 0, 205S, 1719E,  30, 1001, LO,
SH, 70, 2004121500,   , MIWU, 0, 219S, 1723E,  30, 1002, LO,
SH, 70, 2004121506,   , MIWU, 0, 230S, 1728E,  25, 1004, EX,
SH, 70, 2004121512,   , MIWU, 0, 240S, 1735E,  25, 1004, EX,
SH, 70, 2004121518,   , MIWU, 0, 250S, 1749E,  25, 1004, EX,
SH, 70, 2004121600,   , MIWU, 0, 262S, 1773E,  25, 1005, EX,
SH, 70, 2004121606,   , MIWU, 0, 275S, 1798W,  25, 1005, EX,
SH, 70, 2004121612,   , MIWU, 0, 290S, 1756W,  25, 1005, EX,
