SH, 74, 2005012700,   , MIWU, 0, 187S, 1690E,  20, 1001, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Lola,
SH, 74, 2005012706,   , MIWU, 0, 191S, 1695E,  20, 1000, LO,
SH, 74, 2005012712,   , MIWU, 0, 192S, 1699E,  20, 1000, LO,
SH, 74, 2005012718,   , MIWU, 0, 190S, 1702E,  25,  998, LO,
SH, 74, 2005012800,   , MIWU, 0, 188S, 1707E,  25,  997, LO,
SH, 74, 2005012806,   , MIWU, 0, 185S, 1712E,  30,  995, TD,
SH, 74, 2005012812,   , MIWU, 0, 181S, 1717E,  30,  996, TD,
SH, 74, 2005012818,   , MIWU, 0, 176S, 1721E,  25,  998, TD,
SH, 74, 2005012900,   , MIWU, 0, 172S, 1726E,  25,  998, TD,
SH, 74, 2005012906,   , MIWU, 0, 169S, 1732E,  25,  997, TD,
SH, 74, 2005012912,   , MIWU, 0, 167S, 1740E,  30,  995, TD,
SH, 74, 2005012918,   , MIWU, 0, 165S, 1749E,  30,  994, TD,
SH, 74, 2005013000,   , MIWU, 0, 165S, 1764E,  30,  994, TD,
SH, 74, 2005013006,   , MIWU, 0, 167S, 1780E,  35,  992, TS,
SH, 74, 2005013012,   , MIWU, 0, 172S, 1797E,  40,  990, TS,
SH, 74, 2005013018,   , MIWU, 0, 184S, 1793W,  40,  989, TS,
SH, 74, 2005013100,   , MIWU, 0, 198S, 1786W,  40,  988, TS,
SH, 74, 2005013106,   , MIWU, 0, 206S, 1775W,  40,  988, TS,
SH, 74, 2005013112,   , MIWU, 0, 214S, 1768W,  45,  985, TS,
SH, 74, 2005013118,   , MIWU, 0, 225S, 1763W,  50,  982, TS,
SH, 74, 2005020100,   , MIWU, 0, 236S, 1755W,  45,  984, TS,
SH, 74, 2005020106,   , MIWU, 0, 244S, 1752W,  45,  985, TS,
SH, 74, 2005020112,   , MIWU, 0, 249S, 1750W,  40,  987, TS,
SH, 74, 2005020118,   , MIWU, 0, 252S, 1749W,  40,  988, LO,
SH, 74, 2005020200,   , MIWU, 0, 253S, 1751W,  35,  990, LO,
SH, 74, 2005020206,   , MIWU, 0, 251S, 1756W,  30,  992, LO,
SH, 74, 2005020212,   , MIWU, 0, 246S, 1764W,  30,  993, LO,
SH, 74, 2005020218,   , MIWU, 0, 237S, 1771W,  25,  995, LO,
SH, 74, 2005020300,   , MIWU, 0, 228S, 1778W,  20,  997, LO,
SH, 74, 2005020306,   , MIWU, 0, 226S, 1787W,  20,  998, LO,
SH, 74, 2005020312,   , MIWU, 0, 225S, 1795W,  15, 1000, LO,
SH, 74, 2005020318,   , MIWU, 0, 224S, 1799E,  15, 1001, LO,
SH, 74, 2005020400,   , MIWU, 0, 224S, 1794E,  15, 1001, LO,
SH, 74, 2005020406,   , MIWU, 0, 225S, 1790E,  20,  999, LO,
SH, 74, 2005020412,   , MIWU, 0, 227S, 1787E,  20,  999, LO,
SH, 74, 2005020418,   , MIWU, 0, 230S, 1787E,  15, 1001, LO,
SH, 74, 2005020500,   , MIWU, 0, 235S, 1788E,  15, 1001, LO,
SH, 74, 2005020506,   , MIWU, 0, 243S, 1789E,  15, 1002, LO,
SH, 74, 2005020512,   , MIWU, 0, 250S, 1792E,  15, 1002, LO,
