WP, 05, 2005070918,   , MIWU, 0, 227N, 1565E,  20, 1011, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Haitang,
WP, 05, 2005071000,   , MIWU, 0, 223N, 1560E,  20, 1010, LO,
WP, 05, 2005071006,   , MIWU, 0, 220N, 1556E,  25, 1008, LO,
WP, 05, 2005071012,   , MIWU, 0, 218N, 1550E,  30, 1006, LO,
WP, 05, 2005071018,   , MIWU, 0, 219N, 1543E,  30, 1005, TD,
WP, 05, 2005071100,   , MIWU, 0, 220N, 1535E,  30, 1005, TD,
WP, 05, 2005071106,   , MIWU, 0, 223N, 1529E,  30, 1005, TD,
WP, 05, 2005071112,   , MIWU, 0, 226N, 1524E,  35, 1003, TS,
WP, 05, 2005071118,   , MIWU, 0, 230N, 1518E,  40, 1001, TS,
WP, 05, 2005071200,   , MIWU, 0, 235N, 1516E,  40, 1001, TS,
WP, 05, 2005071206,   , MIWU, 0, 237N, 1511E,  40, 1000, TS,
WP, 05, 2005071212,   , MIWU, 0, 237N, 1505E,  45,  998, TS,
WP, 05, 2005071218,   , MIWU, 0, 236N, 1499E,  45,  998, TS,
WP, 05, 2005071300,   , MIWU, 0, 233N, 1494E,  45,  997, TS,
WP, 05, 2005071306,   , MIWU, 0, 228N, 1484E,  55,  991, TS,
WP, 05, 2005071312,   , MIWU, 0, 220N, 1472E,  65,  985, TY,
WP, 05, 2005071318,   , MIWU, 0, 214N, 1457E,  65,  984, TY,
WP, 05, 2005071400,   , MIWU, 0, 208N, 1440E,  70,  980, TY,
WP, 05, 2005071406,   , MIWU, 0, 200N, 1420E,  75,  975, TY,
WP, 05, 2005071412,   , MIWU, 0, 198N, 1403E,  80,  970, TY,
WP, 05, 2005071418,   , MIWU, 0, 196N, 1385E,  80,  968, TY,
WP, 05, 2005071500,   , MIWU, 0, 195N, 1365E,  85,  964, TY,
WP, 05, 2005071506,   , MIWU, 0, 193N, 1348E,  95,  955, TY,
WP, 05, 2005071512,   , MIWU, 0, 194N, 1333E, 110,  940, TY,
WP, 05, 2005071518,   , MIWU, 0, 197N, 1318E, 120,  928, TY,
WP, 05, 2005071600,   , MIWU, 0, 201N, 1303E, 135,  910, ST,
WP, 05, 2005071606,   , MIWU, 0, 204N, 1289E, 140,  906, ST,
WP, 05, 2005071612,   , MIWU, 0, 207N, 1277E, 145,  904, ST,
WP, 05, 2005071618,   , MIWU, 0, 211N, 1264E, 130,  910, ST,
WP, 05, 2005071700,   , MIWU, 0, 216N, 1257E, 120,  916, TY,
WP, 05, 2005071706,   , MIWU, 0, 223N, 1248E, 110,  922, TY,
WP, 05, 2005071712,   , MIWU, 0, 231N, 1239E, 110,  924, TY,
WP, 05, 2005071718,   , MIWU, 0, 239N, 1227E, 110,  925, TY,
WP, 05, 2005071800,   , MIWU, 0, 238N, 1218E,  95,  940, TY,
WP, 05, 2005071806,   , MIWU, 0, 240N, 1217E,  70,  965, TY,
WP, 05, 2005071812,   , MIWU, 0, 244N, 1213E,  55,  980, TS,
WP, 05, 2005071818,   , MIWU, 0, 247N, 1206E,  55,  982, TS,
WP, 05, 2005071900,   , MIWU, 0, 251N, 1203E,  50,  986, TS,
WP, 05, 2005071906,   , MIWU, 0, 257N, 1200E,  45,  990, TS,
WP, 05, 2005071912,   , MIWU, 0, 263N, 1197E,  40,  993, TS,
WP, 05, 2005071918,   , MIWU, 0, 270N, 1191E,  30,  997, TD,
WP, 05, 2005072000,   , MIWU, 0, 276N, 1181E,  30,  998, LO,
WP, 05, 2005072006,   , MIWU, 0, 280N, 1174E,  30,  998, LO,
WP, 05, 2005072012,   , MIWU, 0, 283N, 1167E,  25, 1000, LO,
WP, 05, 2005072018,   , MIWU, 0, 285N, 1160E,  20, 1002, LO,
WP, 05, 2005072100,   , MIWU, 0, 287N, 1155E,  20, 1003, LO,
WP, 05, 2005072106,   , MIWU, 0, 290N, 1149E,  15, 1005, LO,
WP, 05, 2005072112,   , MIWU, 0, 294N, 1144E,  15, 1006, LO,
