WP, 06, 2005071800,   , MIWU, 0, 216N, 1670E,  20, 1011, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nalgae,
WP, 06, 2005071806,   , MIWU, 0, 220N, 1672E,  20, 1010, LO,
WP, 06, 2005071812,   , MIWU, 0, 225N, 1671E,  25, 1008, LO,
WP, 06, 2005071818,   , MIWU, 0, 228N, 1666E,  25, 1008, LO,
WP, 06, 2005071900,   , MIWU, 0, 228N, 1661E,  25, 1008, LO,
WP, 06, 2005071906,   , MIWU, 0, 229N, 1656E,  25, 1007, LO,
WP, 06, 2005071912,   , MIWU, 0, 231N, 1649E,  25, 1007, LO,
WP, 06, 2005071918,   , MIWU, 0, 236N, 1643E,  30, 1005, TD,
WP, 06, 2005072000,   , MIWU, 0, 243N, 1639E,  35, 1003, TS,
WP, 06, 2005072006,   , MIWU, 0, 250N, 1634E,  40, 1000, TS,
WP, 06, 2005072012,   , MIWU, 0, 257N, 1626E,  45,  997, TS,
WP, 06, 2005072018,   , MIWU, 0, 264N, 1619E,  55,  991, TS,
WP, 06, 2005072100,   , MIWU, 0, 272N, 1611E,  50,  992, TS,
WP, 06, 2005072106,   , MIWU, 0, 279N, 1603E,  50,  992, TS,
WP, 06, 2005072112,   , MIWU, 0, 284N, 1595E,  45,  994, TS,
WP, 06, 2005072118,   , MIWU, 0, 293N, 1589E,  45,  994, TS,
WP, 06, 2005072200,   , MIWU, 0, 301N, 1589E,  45,  993, TS,
WP, 06, 2005072206,   , MIWU, 0, 307N, 1590E,  50,  990, TS,
WP, 06, 2005072212,   , MIWU, 0, 313N, 1592E,  55,  987, TS,
WP, 06, 2005072218,   , MIWU, 0, 319N, 1595E,  55,  986, TS,
WP, 06, 2005072300,   , MIWU, 0, 324N, 1594E,  50,  988, TS,
WP, 06, 2005072306,   , MIWU, 0, 328N, 1597E,  45,  990, TS,
WP, 06, 2005072312,   , MIWU, 0, 329N, 1604E,  45,  991, TS,
WP, 06, 2005072318,   , MIWU, 0, 335N, 1615E,  45,  991, SS,
WP, 06, 2005072400,   , MIWU, 0, 341N, 1629E,  45,  990, SS,
WP, 06, 2005072406,   , MIWU, 0, 348N, 1636E,  45,  990, SS,
WP, 06, 2005072412,   , MIWU, 0, 357N, 1641E,  45,  990, SS,
WP, 06, 2005072418,   , MIWU, 0, 366N, 1644E,  45,  990, SS,
WP, 06, 2005072500,   , MIWU, 0, 370N, 1647E,  40,  992, SS,
WP, 06, 2005072506,   , MIWU, 0, 375N, 1651E,  40,  993, SS,
WP, 06, 2005072512,   , MIWU, 0, 382N, 1657E,  40,  993, SS,
WP, 06, 2005072518,   , MIWU, 0, 390N, 1665E,  35,  995, SS,
WP, 06, 2005072600,   , MIWU, 0, 395N, 1666E,  30,  997, SD,
WP, 06, 2005072606,   , MIWU, 0, 400N, 1664E,  30,  997, SD,
WP, 06, 2005072612,   , MIWU, 0, 403N, 1661E,  25, 1000, EX,
WP, 06, 2005072618,   , MIWU, 0, 405N, 1657E,  25, 1001, EX,
WP, 06, 2005072700,   , MIWU, 0, 409N, 1653E,  25, 1001, EX,
WP, 06, 2005072706,   , MIWU, 0, 415N, 1651E,  25, 1002, EX,
WP, 06, 2005072712,   , MIWU, 0, 421N, 1652E,  25, 1002, EX,
