WP, 24, 2005111200,   , MIWU, 0,  55N, 1340E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bolaven,
WP, 24, 2005111206,   , MIWU, 0,  58N, 1333E,  20, 1006, DB,
WP, 24, 2005111212,   , MIWU, 0,  61N, 1326E,  20, 1005, DB,
WP, 24, 2005111218,   , MIWU, 0,  63N, 1322E,  20, 1005, DB,
WP, 24, 2005111300,   , MIWU, 0,  65N, 1317E,  20, 1005, DB,
WP, 24, 2005111306,   , MIWU, 0,  68N, 1310E,  20, 1005, DB,
WP, 24, 2005111312,   , MIWU, 0,  72N, 1304E,  25, 1003, TD,
WP, 24, 2005111318,   , MIWU, 0,  78N, 1298E,  30, 1001, TD,
WP, 24, 2005111400,   , MIWU, 0,  88N, 1297E,  35,  998, TS,
WP, 24, 2005111406,   , MIWU, 0,  96N, 1295E,  35,  998, TS,
WP, 24, 2005111412,   , MIWU, 0, 100N, 1292E,  35,  997, TS,
WP, 24, 2005111418,   , MIWU, 0, 104N, 1293E,  35,  997, TS,
WP, 24, 2005111500,   , MIWU, 0, 109N, 1296E,  40,  994, TS,
WP, 24, 2005111506,   , MIWU, 0, 118N, 1302E,  35,  996, TS,
WP, 24, 2005111512,   , MIWU, 0, 128N, 1306E,  35,  995, TS,
WP, 24, 2005111518,   , MIWU, 0, 137N, 1308E,  40,  992, TS,
WP, 24, 2005111600,   , MIWU, 0, 141N, 1306E,  40,  991, TS,
WP, 24, 2005111606,   , MIWU, 0, 140N, 1303E,  45,  988, TS,
WP, 24, 2005111612,   , MIWU, 0, 138N, 1302E,  50,  985, TS,
WP, 24, 2005111618,   , MIWU, 0, 136N, 1300E,  60,  979, TS,
WP, 24, 2005111700,   , MIWU, 0, 134N, 1298E,  65,  976, TY,
WP, 24, 2005111706,   , MIWU, 0, 134N, 1295E,  65,  975, TY,
WP, 24, 2005111712,   , MIWU, 0, 136N, 1293E,  55,  979, TS,
WP, 24, 2005111718,   , MIWU, 0, 139N, 1291E,  50,  982, TS,
WP, 24, 2005111800,   , MIWU, 0, 141N, 1288E,  45,  985, TS,
WP, 24, 2005111806,   , MIWU, 0, 144N, 1283E,  50,  983, TS,
WP, 24, 2005111812,   , MIWU, 0, 150N, 1272E,  50,  982, TS,
WP, 24, 2005111818,   , MIWU, 0, 154N, 1261E,  45,  985, TS,
WP, 24, 2005111900,   , MIWU, 0, 156N, 1250E,  45,  986, TS,
WP, 24, 2005111906,   , MIWU, 0, 157N, 1243E,  45,  986, TS,
WP, 24, 2005111912,   , MIWU, 0, 160N, 1236E,  40,  990, TS,
WP, 24, 2005111918,   , MIWU, 0, 164N, 1230E,  35,  994, TS,
WP, 24, 2005112000,   , MIWU, 0, 171N, 1224E,  30,  998, LO,
WP, 24, 2005112006,   , MIWU, 0, 180N, 1216E,  20, 1005, LO,
WP, 24, 2005112012,   , MIWU, 0, 186N, 1207E,  20, 1006, LO,
WP, 24, 2005112018,   , MIWU, 0, 193N, 1204E,  15, 1009, LO,
WP, 24, 2005112100,   , MIWU, 0, 199N, 1208E,  15, 1010, LO,
