WP, 01, 2007033012,   , MIWU, 0,  60N, 1585E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kong-rey,
WP, 01, 2007033018,   , MIWU, 0,  65N, 1580E,  20, 1008, DB,
WP, 01, 2007033100,   , MIWU, 0,  70N, 1570E,  20, 1008, DB,
WP, 01, 2007033106,   , MIWU, 0,  74N, 1561E,  25, 1006, TD,
WP, 01, 2007033112,   , MIWU, 0,  78N, 1549E,  30, 1004, TD,
WP, 01, 2007033118,   , MIWU, 0,  85N, 1543E,  40, 1000, TS,
WP, 01, 2007040100,   , MIWU, 0,  95N, 1533E,  45,  998, TS,
WP, 01, 2007040106,   , MIWU, 0, 102N, 1522E,  50,  995, TS,
WP, 01, 2007040112,   , MIWU, 0, 106N, 1514E,  55,  992, TS,
WP, 01, 2007040118,   , MIWU, 0, 112N, 1506E,  60,  989, TS,
WP, 01, 2007040200,   , MIWU, 0, 123N, 1499E,  60,  988, TS,
WP, 01, 2007040206,   , MIWU, 0, 135N, 1490E,  65,  985, TY,
WP, 01, 2007040212,   , MIWU, 0, 145N, 1479E,  70,  982, TY,
WP, 01, 2007040218,   , MIWU, 0, 154N, 1467E,  80,  974, TY,
WP, 01, 2007040300,   , MIWU, 0, 162N, 1456E,  85,  970, TY,
WP, 01, 2007040306,   , MIWU, 0, 168N, 1445E, 100,  959, TY,
WP, 01, 2007040309,   , MIWU, 0, 173N, 1443E, 110,  953, TY,
WP, 01, 2007040312,   , MIWU, 0, 177N, 1442E, 105,  955, TY,
WP, 01, 2007040318,   , MIWU, 0, 187N, 1441E, 100,  957, TY,
WP, 01, 2007040400,   , MIWU, 0, 199N, 1443E,  90,  963, TY,
WP, 01, 2007040406,   , MIWU, 0, 210N, 1453E,  75,  972, TY,
WP, 01, 2007040412,   , MIWU, 0, 221N, 1465E,  65,  978, TY,
WP, 01, 2007040418,   , MIWU, 0, 231N, 1481E,  55,  984, TS,
WP, 01, 2007040500,   , MIWU, 0, 240N, 1503E,  45,  990, TS,
WP, 01, 2007040506,   , MIWU, 0, 250N, 1524E,  40,  992, EX,
WP, 01, 2007040512,   , MIWU, 0, 257N, 1549E,  35,  994, EX,
WP, 01, 2007040518,   , MIWU, 0, 260N, 1575E,  30,  996, EX,
WP, 01, 2007040600,   , MIWU, 0, 262N, 1600E,  30,  997, EX,
WP, 01, 2007040606,   , MIWU, 0, 263N, 1625E,  25,  999, EX,
WP, 01, 2007040612,   , MIWU, 0, 262N, 1644E,  25, 1000, EX,
WP, 01, 2007040618,   , MIWU, 0, 260N, 1661E,  20, 1002, EX,
WP, 01, 2007040700,   , MIWU, 0, 257N, 1675E,  20, 1003, EX,
WP, 01, 2007040706,   , MIWU, 0, 253N, 1686E,  20, 1003, EX,
WP, 01, 2007040712,   , MIWU, 0, 250N, 1695E,  20, 1003, EX,
