WP, 03, 2007070300,   , MIWU, 0, 160N, 1125E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Toraji,
WP, 03, 2007070306,   , MIWU, 0, 166N, 1120E,  20, 1004, DB,
WP, 03, 2007070312,   , MIWU, 0, 172N, 1115E,  25, 1002, TD,
WP, 03, 2007070318,   , MIWU, 0, 178N, 1111E,  30, 1000, TD,
WP, 03, 2007070400,   , MIWU, 0, 184N, 1106E,  35,  998, TS,
WP, 03, 2007070406,   , MIWU, 0, 186N, 1102E,  40,  996, TS,
WP, 03, 2007070412,   , MIWU, 0, 189N, 1096E,  40,  997, TS,
WP, 03, 2007070418,   , MIWU, 0, 194N, 1090E,  40,  997, TS,
WP, 03, 2007070500,   , MIWU, 0, 202N, 1086E,  40,  996, TS,
WP, 03, 2007070506,   , MIWU, 0, 210N, 1082E,  40,  996, TS,
WP, 03, 2007070512,   , MIWU, 0, 216N, 1076E,  35,  998, TS,
WP, 03, 2007070518,   , MIWU, 0, 223N, 1068E,  30, 1000, TD,
WP, 03, 2007070600,   , MIWU, 0, 229N, 1060E,  20, 1004, DB,
WP, 03, 2007070606,   , MIWU, 0, 235N, 1052E,  15, 1006, DB,
WP, 03, 2007070612,   , MIWU, 0, 241N, 1045E,  15, 1007, DB,
