WP, 06, 2007080112,   , MIWU, 0, 124N, 1140E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Six-W,
WP, 06, 2007080118,   , MIWU, 0, 124N, 1135E,  20, 1004, DB,
WP, 06, 2007080200,   , MIWU, 0, 124N, 1131E,  25, 1002, TD,
WP, 06, 2007080206,   , MIWU, 0, 124N, 1128E,  30, 1000, TD,
WP, 06, 2007080212,   , MIWU, 0, 125N, 1128E,  30, 1000, TD,
WP, 06, 2007080218,   , MIWU, 0, 127N, 1129E,  30,  999, TD,
WP, 06, 2007080300,   , MIWU, 0, 132N, 1130E,  30,  999, TD,
WP, 06, 2007080306,   , MIWU, 0, 137N, 1128E,  30,  999, TD,
WP, 06, 2007080312,   , MIWU, 0, 138N, 1126E,  35,  997, TS,
WP, 06, 2007080318,   , MIWU, 0, 139N, 1123E,  40,  995, TS,
WP, 06, 2007080400,   , MIWU, 0, 140N, 1118E,  40,  994, TS,
WP, 06, 2007080406,   , MIWU, 0, 140N, 1109E,  35,  996, TS,
WP, 06, 2007080412,   , MIWU, 0, 140N, 1101E,  35,  996, TS,
WP, 06, 2007080418,   , MIWU, 0, 141N, 1097E,  35,  996, TS,
WP, 06, 2007080500,   , MIWU, 0, 142N, 1096E,  30,  998, TD,
WP, 06, 2007080506,   , MIWU, 0, 145N, 1097E,  30,  999, TD,
WP, 06, 2007080512,   , MIWU, 0, 149N, 1096E,  30,  999, TD,
WP, 06, 2007080518,   , MIWU, 0, 155N, 1093E,  30,  999, TD,
WP, 06, 2007080600,   , MIWU, 0, 162N, 1089E,  25, 1001, TD,
WP, 06, 2007080606,   , MIWU, 0, 170N, 1086E,  25, 1002, TD,
WP, 06, 2007080612,   , MIWU, 0, 175N, 1082E,  25, 1002, TD,
WP, 06, 2007080618,   , MIWU, 0, 179N, 1078E,  25, 1001, TD,
WP, 06, 2007080700,   , MIWU, 0, 182N, 1073E,  25, 1001, TD,
WP, 06, 2007080706,   , MIWU, 0, 182N, 1066E,  25, 1002, TD,
WP, 06, 2007080712,   , MIWU, 0, 182N, 1057E,  25, 1002, TD,
WP, 06, 2007080718,   , MIWU, 0, 181N, 1046E,  20, 1004, DB,
WP, 06, 2007080800,   , MIWU, 0, 180N, 1034E,  20, 1005, DB,
WP, 06, 2007080806,   , MIWU, 0, 180N, 1021E,  15, 1007, DB,
WP, 06, 2007080812,   , MIWU, 0, 180N, 1008E,  15, 1007, DB,
WP, 06, 2007080818,   , MIWU, 0, 180N,  998E,  15, 1008, DB,
WP, 06, 2007080900,   , MIWU, 0, 180N,  992E,  15, 1008, DB,
