WP, 24, 2007111918,   , MIWU, 0, 123N, 1400E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mitag,
WP, 24, 2007112000,   , MIWU, 0, 122N, 1390E,  20, 1003, DB,
WP, 24, 2007112006,   , MIWU, 0, 125N, 1378E,  25, 1001, TD,
WP, 24, 2007112012,   , MIWU, 0, 131N, 1364E,  30,  999, TD,
WP, 24, 2007112018,   , MIWU, 0, 136N, 1348E,  35,  996, TS,
WP, 24, 2007112100,   , MIWU, 0, 139N, 1336E,  40,  993, TS,
WP, 24, 2007112106,   , MIWU, 0, 142N, 1325E,  50,  987, TS,
WP, 24, 2007112112,   , MIWU, 0, 144N, 1316E,  60,  981, TS,
WP, 24, 2007112118,   , MIWU, 0, 145N, 1305E,  65,  978, TY,
WP, 24, 2007112200,   , MIWU, 0, 143N, 1294E,  75,  970, TY,
WP, 24, 2007112206,   , MIWU, 0, 142N, 1285E,  85,  962, TY,
WP, 24, 2007112212,   , MIWU, 0, 141N, 1277E,  95,  954, TY,
WP, 24, 2007112218,   , MIWU, 0, 141N, 1272E, 105,  946, TY,
WP, 24, 2007112300,   , MIWU, 0, 139N, 1269E, 105,  944, TY,
WP, 24, 2007112306,   , MIWU, 0, 139N, 1267E, 100,  947, TY,
WP, 24, 2007112312,   , MIWU, 0, 141N, 1265E,  95,  950, TY,
WP, 24, 2007112318,   , MIWU, 0, 143N, 1264E,  95,  951, TY,
WP, 24, 2007112400,   , MIWU, 0, 145N, 1262E,  90,  954, TY,
WP, 24, 2007112406,   , MIWU, 0, 147N, 1260E,  85,  957, TY,
WP, 24, 2007112412,   , MIWU, 0, 149N, 1257E,  85,  958, TY,
WP, 24, 2007112418,   , MIWU, 0, 152N, 1253E,  80,  961, TY,
WP, 24, 2007112500,   , MIWU, 0, 157N, 1246E,  80,  961, TY,
WP, 24, 2007112506,   , MIWU, 0, 163N, 1238E,  80,  960, TY,
WP, 24, 2007112512,   , MIWU, 0, 170N, 1231E,  75,  964, TY,
WP, 24, 2007112518,   , MIWU, 0, 177N, 1221E,  65,  972, TY,
WP, 24, 2007112600,   , MIWU, 0, 183N, 1212E,  60,  976, TS,
WP, 24, 2007112606,   , MIWU, 0, 190N, 1204E,  60,  978, TS,
WP, 24, 2007112612,   , MIWU, 0, 197N, 1203E,  55,  982, TS,
WP, 24, 2007112618,   , MIWU, 0, 200N, 1208E,  50,  986, TS,
WP, 24, 2007112700,   , MIWU, 0, 198N, 1218E,  40,  993, EX,
WP, 24, 2007112706,   , MIWU, 0, 199N, 1229E,  35,  996, EX,
WP, 24, 2007112712,   , MIWU, 0, 201N, 1243E,  30,  999, EX,
WP, 24, 2007112718,   , MIWU, 0, 208N, 1258E,  25, 1002, EX,
WP, 24, 2007112800,   , MIWU, 0, 220N, 1269E,  20, 1005, EX,
WP, 24, 2007112806,   , MIWU, 0, 240N, 1277E,  20, 1006, EX,
