WP, 70, 2007082006,   , MIWU, 0, 225N, 1372E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-01,
WP, 70, 2007082012,   , MIWU, 0, 226N, 1370E,  20, 1011, DB,
WP, 70, 2007082018,   , MIWU, 0, 227N, 1367E,  20, 1010, DB,
WP, 70, 2007082100,   , MIWU, 0, 229N, 1364E,  25, 1008, TD,
WP, 70, 2007082106,   , MIWU, 0, 233N, 1360E,  25, 1007, TD,
WP, 70, 2007082112,   , MIWU, 0, 240N, 1355E,  30, 1005, TD,
WP, 70, 2007082118,   , MIWU, 0, 246N, 1350E,  35, 1003, TS,
WP, 70, 2007082200,   , MIWU, 0, 250N, 1345E,  40, 1001, TS,
WP, 70, 2007082206,   , MIWU, 0, 251N, 1339E,  40, 1000, TS,
WP, 70, 2007082212,   , MIWU, 0, 249N, 1330E,  40, 1000, TS,
WP, 70, 2007082218,   , MIWU, 0, 246N, 1322E,  30, 1004, TD,
WP, 70, 2007082300,   , MIWU, 0, 241N, 1313E,  20, 1008, DB,
WP, 70, 2007082306,   , MIWU, 0, 234N, 1302E,  10, 1012, DB,
