WP, 04, 2009062100,   , MIWU, 0, 100N, 1388E,  15, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nangka,
WP, 04, 2009062106,   , MIWU, 0, 100N, 1370E,  15, 1009, DB,
WP, 04, 2009062112,   , MIWU, 0, 100N, 1354E,  20, 1007, DB,
WP, 04, 2009062118,   , MIWU, 0, 100N, 1337E,  20, 1006, DB,
WP, 04, 2009062200,   , MIWU, 0, 102N, 1322E,  25, 1004, TD,
WP, 04, 2009062206,   , MIWU, 0, 106N, 1307E,  30, 1002, TD,
WP, 04, 2009062212,   , MIWU, 0, 109N, 1292E,  35, 1000, TS,
WP, 04, 2009062218,   , MIWU, 0, 111N, 1279E,  35,  999, TS,
WP, 04, 2009062300,   , MIWU, 0, 113N, 1267E,  40,  996, TS,
WP, 04, 2009062306,   , MIWU, 0, 117N, 1255E,  45,  993, TS,
WP, 04, 2009062312,   , MIWU, 0, 120N, 1243E,  50,  990, TS,
WP, 04, 2009062318,   , MIWU, 0, 123N, 1230E,  60,  986, TS,
WP, 04, 2009062400,   , MIWU, 0, 126N, 1220E,  60,  986, TS,
WP, 04, 2009062406,   , MIWU, 0, 131N, 1212E,  55,  988, TS,
WP, 04, 2009062412,   , MIWU, 0, 136N, 1202E,  55,  988, TS,
WP, 04, 2009062418,   , MIWU, 0, 142N, 1194E,  55,  989, TS,
WP, 04, 2009062500,   , MIWU, 0, 153N, 1186E,  50,  991, TS,
WP, 04, 2009062506,   , MIWU, 0, 163N, 1181E,  50,  992, TS,
WP, 04, 2009062512,   , MIWU, 0, 174N, 1176E,  45,  994, TS,
WP, 04, 2009062518,   , MIWU, 0, 185N, 1170E,  45,  994, TS,
WP, 04, 2009062600,   , MIWU, 0, 196N, 1164E,  45,  995, TS,
WP, 04, 2009062606,   , MIWU, 0, 207N, 1157E,  40,  997, TS,
WP, 04, 2009062612,   , MIWU, 0, 220N, 1150E,  35,  999, TS,
WP, 04, 2009062618,   , MIWU, 0, 229N, 1145E,  30, 1001, TD,
WP, 04, 2009062700,   , MIWU, 0, 235N, 1142E,  20, 1005, DB,
WP, 04, 2009062706,   , MIWU, 0, 239N, 1140E,  10, 1009, DB,
