WP, 09, 2009080112,   , MIWU, 0, 198N, 1313E,  20, 1002, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Morakot,
WP, 09, 2009080118,   , MIWU, 0, 197N, 1318E,  20, 1001, DB,
WP, 09, 2009080200,   , MIWU, 0, 197N, 1324E,  20, 1001, DB,
WP, 09, 2009080206,   , MIWU, 0, 197N, 1330E,  25,  999, TD,
WP, 09, 2009080212,   , MIWU, 0, 198N, 1335E,  25,  998, TD,
WP, 09, 2009080218,   , MIWU, 0, 200N, 1338E,  30,  996, TD,
WP, 09, 2009080300,   , MIWU, 0, 202N, 1341E,  35,  993, TS,
WP, 09, 2009080306,   , MIWU, 0, 204N, 1345E,  35,  992, TS,
WP, 09, 2009080312,   , MIWU, 0, 207N, 1350E,  35,  992, TS,
WP, 09, 2009080318,   , MIWU, 0, 212N, 1356E,  40,  989, TS,
WP, 09, 2009080400,   , MIWU, 0, 218N, 1360E,  45,  986, TS,
WP, 09, 2009080406,   , MIWU, 0, 223N, 1357E,  50,  982, TS,
WP, 09, 2009080412,   , MIWU, 0, 224N, 1349E,  55,  978, TS,
WP, 09, 2009080418,   , MIWU, 0, 225N, 1339E,  60,  974, TS,
WP, 09, 2009080500,   , MIWU, 0, 226N, 1330E,  65,  970, TY,
WP, 09, 2009080506,   , MIWU, 0, 228N, 1320E,  70,  965, TY,
WP, 09, 2009080512,   , MIWU, 0, 230N, 1308E,  75,  960, TY,
WP, 09, 2009080518,   , MIWU, 0, 232N, 1294E,  85,  950, TY,
WP, 09, 2009080600,   , MIWU, 0, 233N, 1281E,  85,  945, TY,
WP, 09, 2009080606,   , MIWU, 0, 233N, 1267E,  80,  945, TY,
WP, 09, 2009080612,   , MIWU, 0, 234N, 1253E,  80,  945, TY,
WP, 09, 2009080618,   , MIWU, 0, 235N, 1241E,  80,  946, TY,
WP, 09, 2009080700,   , MIWU, 0, 236N, 1232E,  80,  946, TY,
WP, 09, 2009080706,   , MIWU, 0, 236N, 1224E,  80,  946, TY,
WP, 09, 2009080712,   , MIWU, 0, 237N, 1218E,  80,  946, TY,
WP, 09, 2009080718,   , MIWU, 0, 239N, 1213E,  75,  950, TY,
WP, 09, 2009080800,   , MIWU, 0, 242N, 1209E,  65,  960, TY,
WP, 09, 2009080806,   , MIWU, 0, 245N, 1206E,  60,  965, TS,
WP, 09, 2009080812,   , MIWU, 0, 248N, 1204E,  55,  970, TS,
WP, 09, 2009080818,   , MIWU, 0, 252N, 1203E,  55,  973, TS,
WP, 09, 2009080900,   , MIWU, 0, 256N, 1202E,  50,  977, TS,
WP, 09, 2009080906,   , MIWU, 0, 260N, 1200E,  50,  979, TS,
WP, 09, 2009080912,   , MIWU, 0, 265N, 1197E,  45,  983, TS,
WP, 09, 2009080918,   , MIWU, 0, 271N, 1193E,  40,  987, TS,
WP, 09, 2009081000,   , MIWU, 0, 280N, 1190E,  35,  990, TS,
WP, 09, 2009081006,   , MIWU, 0, 290N, 1191E,  30,  993, LO,
WP, 09, 2009081012,   , MIWU, 0, 300N, 1195E,  30,  994, LO,
WP, 09, 2009081018,   , MIWU, 0, 310N, 1200E,  30,  994, LO,
WP, 09, 2009081100,   , MIWU, 0, 319N, 1205E,  30,  993, EX,
WP, 09, 2009081106,   , MIWU, 0, 327N, 1212E,  30,  993, EX,
WP, 09, 2009081112,   , MIWU, 0, 334N, 1225E,  25,  996, EX,
WP, 09, 2009081118,   , MIWU, 0, 340N, 1240E,  20,  999, EX,
WP, 09, 2009081200,   , MIWU, 0, 345N, 1257E,  20, 1000, EX,
