WP, 14, 2009090800,   , MIWU, 0, 168N, 1182E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mujigae,
WP, 14, 2009090806,   , MIWU, 0, 166N, 1180E,  20, 1005, DB,
WP, 14, 2009090812,   , MIWU, 0, 165N, 1182E,  20, 1004, DB,
WP, 14, 2009090818,   , MIWU, 0, 166N, 1186E,  25, 1002, TD,
WP, 14, 2009090900,   , MIWU, 0, 170N, 1189E,  30, 1000, TD,
WP, 14, 2009090906,   , MIWU, 0, 176N, 1185E,  35,  998, TS,
WP, 14, 2009090912,   , MIWU, 0, 182N, 1176E,  40,  996, TS,
WP, 14, 2009090918,   , MIWU, 0, 186N, 1163E,  40,  996, TS,
WP, 14, 2009091000,   , MIWU, 0, 189N, 1150E,  40,  995, TS,
WP, 14, 2009091006,   , MIWU, 0, 193N, 1137E,  40,  995, TS,
WP, 14, 2009091012,   , MIWU, 0, 197N, 1125E,  45,  993, TS,
WP, 14, 2009091018,   , MIWU, 0, 199N, 1114E,  50,  990, TS,
WP, 14, 2009091100,   , MIWU, 0, 199N, 1101E,  55,  987, TS,
WP, 14, 2009091106,   , MIWU, 0, 198N, 1086E,  60,  984, TS,
WP, 14, 2009091112,   , MIWU, 0, 196N, 1076E,  60,  983, TS,
WP, 14, 2009091118,   , MIWU, 0, 198N, 1068E,  55,  985, TS,
WP, 14, 2009091200,   , MIWU, 0, 201N, 1060E,  45,  991, TS,
WP, 14, 2009091206,   , MIWU, 0, 204N, 1050E,  35,  995, TS,
WP, 14, 2009091212,   , MIWU, 0, 206N, 1038E,  25, 1000, TD,
WP, 14, 2009091218,   , MIWU, 0, 205N, 1023E,  20, 1003, DB,
WP, 14, 2009091300,   , MIWU, 0, 202N, 1006E,  15, 1006, DB,
