WP, 15, 2009091100,   , MIWU, 0, 138N, 1575E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Choi-wan,
WP, 15, 2009091106,   , MIWU, 0, 140N, 1564E,  20, 1007, DB,
WP, 15, 2009091112,   , MIWU, 0, 141N, 1554E,  20, 1007, DB,
WP, 15, 2009091118,   , MIWU, 0, 140N, 1545E,  20, 1006, DB,
WP, 15, 2009091200,   , MIWU, 0, 143N, 1538E,  25, 1004, TD,
WP, 15, 2009091206,   , MIWU, 0, 149N, 1528E,  30, 1002, TD,
WP, 15, 2009091212,   , MIWU, 0, 153N, 1519E,  35, 1000, TS,
WP, 15, 2009091218,   , MIWU, 0, 155N, 1510E,  40,  998, TS,
WP, 15, 2009091300,   , MIWU, 0, 157N, 1501E,  50,  992, TS,
WP, 15, 2009091306,   , MIWU, 0, 157N, 1493E,  55,  989, TS,
WP, 15, 2009091312,   , MIWU, 0, 156N, 1487E,  65,  983, TY,
WP, 15, 2009091318,   , MIWU, 0, 156N, 1483E,  75,  976, TY,
WP, 15, 2009091400,   , MIWU, 0, 157N, 1481E,  85,  968, TY,
WP, 15, 2009091406,   , MIWU, 0, 158N, 1478E,  90,  964, TY,
WP, 15, 2009091412,   , MIWU, 0, 161N, 1475E, 110,  945, TY,
WP, 15, 2009091418,   , MIWU, 0, 165N, 1471E, 125,  930, TY,
WP, 15, 2009091500,   , MIWU, 0, 172N, 1465E, 135,  920, ST,
WP, 15, 2009091503,   , MIWU, 0, 175N, 1462E, 140,  915, ST,
WP, 15, 2009091506,   , MIWU, 0, 177N, 1458E, 140,  910, ST,
WP, 15, 2009091512,   , MIWU, 0, 179N, 1450E, 140,  910, ST,
WP, 15, 2009091518,   , MIWU, 0, 182N, 1441E, 135,  912, ST,
WP, 15, 2009091600,   , MIWU, 0, 186N, 1433E, 125,  916, TY,
WP, 15, 2009091606,   , MIWU, 0, 189N, 1425E, 140,  907, ST,
WP, 15, 2009091609,   , MIWU, 0, 191N, 1422E, 145,  905, ST,
WP, 15, 2009091612,   , MIWU, 0, 192N, 1419E, 145,  904, ST,
WP, 15, 2009091618,   , MIWU, 0, 197N, 1414E, 140,  904, ST,
WP, 15, 2009091700,   , MIWU, 0, 203N, 1409E, 130,  910, ST,
WP, 15, 2009091706,   , MIWU, 0, 209N, 1403E, 125,  914, TY,
WP, 15, 2009091712,   , MIWU, 0, 217N, 1398E, 120,  918, TY,
WP, 15, 2009091718,   , MIWU, 0, 224N, 1393E, 110,  926, TY,
WP, 15, 2009091800,   , MIWU, 0, 232N, 1388E, 105,  930, TY,
WP, 15, 2009091806,   , MIWU, 0, 240N, 1387E, 105,  935, TY,
WP, 15, 2009091812,   , MIWU, 0, 250N, 1390E, 100,  940, TY,
WP, 15, 2009091818,   , MIWU, 0, 262N, 1395E, 105,  945, TY,
WP, 15, 2009091900,   , MIWU, 0, 277N, 1402E, 100,  950, TY,
WP, 15, 2009091906,   , MIWU, 0, 290N, 1415E,  95,  954, TY,
WP, 15, 2009091912,   , MIWU, 0, 305N, 1434E,  90,  957, TY,
WP, 15, 2009091918,   , MIWU, 0, 322N, 1450E,  80,  963, TY,
WP, 15, 2009092000,   , MIWU, 0, 337N, 1470E,  70,  969, TY,
WP, 15, 2009092006,   , MIWU, 0, 351N, 1492E,  60,  975, EX,
WP, 15, 2009092012,   , MIWU, 0, 368N, 1522E,  50,  982, EX,
WP, 15, 2009092018,   , MIWU, 0, 382N, 1560E,  40,  990, EX,
WP, 15, 2009092100,   , MIWU, 0, 402N, 1608E,  30,  996, EX,
WP, 15, 2009092106,   , MIWU, 0, 434N, 1654E,  20, 1002, EX,
