WP, 17, 2009092318,   , MIWU, 0, 144N, 1302E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ketsana,
WP, 17, 2009092400,   , MIWU, 0, 143N, 1298E,  20, 1005, DB,
WP, 17, 2009092406,   , MIWU, 0, 144N, 1295E,  20, 1004, DB,
WP, 17, 2009092412,   , MIWU, 0, 144N, 1291E,  20, 1004, DB,
WP, 17, 2009092418,   , MIWU, 0, 143N, 1286E,  25, 1002, TD,
WP, 17, 2009092500,   , MIWU, 0, 143N, 1280E,  30, 1000, TD,
WP, 17, 2009092506,   , MIWU, 0, 146N, 1273E,  35,  997, TS,
WP, 17, 2009092512,   , MIWU, 0, 153N, 1260E,  40,  994, TS,
WP, 17, 2009092518,   , MIWU, 0, 156N, 1244E,  45,  991, TS,
WP, 17, 2009092600,   , MIWU, 0, 154N, 1230E,  45,  990, TS,
WP, 17, 2009092606,   , MIWU, 0, 150N, 1215E,  45,  990, TS,
WP, 17, 2009092612,   , MIWU, 0, 150N, 1198E,  50,  986, TS,
WP, 17, 2009092618,   , MIWU, 0, 152N, 1179E,  55,  982, TS,
WP, 17, 2009092700,   , MIWU, 0, 154N, 1165E,  60,  978, TS,
WP, 17, 2009092706,   , MIWU, 0, 156N, 1155E,  65,  974, TY,
WP, 17, 2009092712,   , MIWU, 0, 158N, 1146E,  70,  970, TY,
WP, 17, 2009092718,   , MIWU, 0, 159N, 1138E,  75,  966, TY,
WP, 17, 2009092800,   , MIWU, 0, 159N, 1129E,  80,  962, TY,
WP, 17, 2009092806,   , MIWU, 0, 159N, 1119E,  90,  954, TY,
WP, 17, 2009092812,   , MIWU, 0, 160N, 1110E,  90,  952, TY,
WP, 17, 2009092818,   , MIWU, 0, 160N, 1103E,  90,  952, TY,
WP, 17, 2009092900,   , MIWU, 0, 157N, 1096E,  85,  955, TY,
WP, 17, 2009092906,   , MIWU, 0, 153N, 1088E,  80,  958, TY,
WP, 17, 2009092912,   , MIWU, 0, 151N, 1078E,  60,  974, TS,
WP, 17, 2009092918,   , MIWU, 0, 150N, 1068E,  40,  990, TS,
WP, 17, 2009093000,   , MIWU, 0, 150N, 1059E,  30,  997, TD,
WP, 17, 2009093006,   , MIWU, 0, 150N, 1052E,  20, 1003, DB,
WP, 17, 2009093012,   , MIWU, 0, 150N, 1048E,  15, 1005, DB,
WP, 17, 2009093018,   , MIWU, 0, 150N, 1044E,  15, 1005, DB,
WP, 17, 2009100100,   , MIWU, 0, 151N, 1040E,  15, 1006, DB,
WP, 17, 2009100106,   , MIWU, 0, 152N, 1033E,  15, 1006, DB,
WP, 17, 2009100112,   , MIWU, 0, 154N, 1023E,  15, 1006, DB,
