WP, 19, 2009092618,   , MIWU, 0, 105N, 1490E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Parma,
WP, 19, 2009092700,   , MIWU, 0, 103N, 1478E,  20, 1007, DB,
WP, 19, 2009092706,   , MIWU, 0, 101N, 1468E,  20, 1006, DB,
WP, 19, 2009092712,   , MIWU, 0, 100N, 1461E,  25, 1004, TD,
WP, 19, 2009092718,   , MIWU, 0,  98N, 1454E,  30, 1002, TD,
WP, 19, 2009092800,   , MIWU, 0,  95N, 1447E,  35, 1000, TS,
WP, 19, 2009092806,   , MIWU, 0,  94N, 1438E,  40,  998, TS,
WP, 19, 2009092812,   , MIWU, 0,  93N, 1426E,  40,  997, TS,
WP, 19, 2009092818,   , MIWU, 0,  90N, 1413E,  45,  994, TS,
WP, 19, 2009092900,   , MIWU, 0,  83N, 1400E,  50,  991, TS,
WP, 19, 2009092906,   , MIWU, 0,  80N, 1390E,  55,  988, TS,
WP, 19, 2009092912,   , MIWU, 0,  80N, 1381E,  60,  985, TS,
WP, 19, 2009092918,   , MIWU, 0,  84N, 1374E,  75,  974, TY,
WP, 19, 2009093000,   , MIWU, 0,  90N, 1366E,  90,  960, TY,
WP, 19, 2009093006,   , MIWU, 0,  98N, 1354E, 105,  945, TY,
WP, 19, 2009093012,   , MIWU, 0, 105N, 1340E, 125,  925, TY,
WP, 19, 2009093018,   , MIWU, 0, 112N, 1324E, 145,  905, ST,
WP, 19, 2009100100,   , MIWU, 0, 118N, 1309E, 160,  892, ST,
WP, 19, 2009100106,   , MIWU, 0, 123N, 1297E, 125,  906, TY,
WP, 19, 2009100112,   , MIWU, 0, 131N, 1286E, 115,  918, TY,
WP, 19, 2009100118,   , MIWU, 0, 139N, 1274E, 100,  930, TY,
WP, 19, 2009100200,   , MIWU, 0, 145N, 1263E,  90,  940, TY,
WP, 19, 2009100206,   , MIWU, 0, 152N, 1254E,  90,  945, TY,
WP, 19, 2009100212,   , MIWU, 0, 160N, 1245E,  95,  945, TY,
WP, 19, 2009100218,   , MIWU, 0, 168N, 1238E,  95,  945, TY,
WP, 19, 2009100300,   , MIWU, 0, 173N, 1229E,  95,  950, TY,
WP, 19, 2009100306,   , MIWU, 0, 179N, 1222E,  90,  954, TY,
WP, 19, 2009100312,   , MIWU, 0, 183N, 1215E,  80,  961, TY,
WP, 19, 2009100318,   , MIWU, 0, 187N, 1208E,  70,  967, TY,
WP, 19, 2009100400,   , MIWU, 0, 190N, 1203E,  65,  970, TY,
WP, 19, 2009100406,   , MIWU, 0, 194N, 1200E,  65,  972, TY,
WP, 19, 2009100412,   , MIWU, 0, 198N, 1198E,  60,  976, TS,
WP, 19, 2009100418,   , MIWU, 0, 201N, 1196E,  60,  978, TS,
WP, 19, 2009100500,   , MIWU, 0, 200N, 1195E,  65,  978, TY,
WP, 19, 2009100506,   , MIWU, 0, 199N, 1196E,  70,  976, TY,
WP, 19, 2009100512,   , MIWU, 0, 200N, 1198E,  70,  975, TY,
WP, 19, 2009100518,   , MIWU, 0, 197N, 1200E,  70,  975, TY,
WP, 19, 2009100600,   , MIWU, 0, 193N, 1203E,  65,  978, TY,
WP, 19, 2009100606,   , MIWU, 0, 188N, 1206E,  60,  981, TS,
WP, 19, 2009100612,   , MIWU, 0, 183N, 1208E,  55,  984, TS,
WP, 19, 2009100618,   , MIWU, 0, 180N, 1211E,  40,  993, TS,
WP, 19, 2009100700,   , MIWU, 0, 180N, 1215E,  30,  999, TD,
WP, 19, 2009100706,   , MIWU, 0, 179N, 1220E,  30,  999, TD,
WP, 19, 2009100712,   , MIWU, 0, 178N, 1224E,  35,  997, TS,
