WP, 21, 2009100700,   , MIWU, 0, 134N, 1443E,  15, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nepartak,
WP, 21, 2009100706,   , MIWU, 0, 140N, 1444E,  15, 1009, DB,
WP, 21, 2009100712,   , MIWU, 0, 145N, 1443E,  20, 1007, DB,
WP, 21, 2009100718,   , MIWU, 0, 150N, 1440E,  25, 1005, TD,
WP, 21, 2009100800,   , MIWU, 0, 155N, 1437E,  30, 1003, TD,
WP, 21, 2009100806,   , MIWU, 0, 161N, 1435E,  30, 1002, TD,
WP, 21, 2009100812,   , MIWU, 0, 169N, 1433E,  35, 1000, TS,
WP, 21, 2009100818,   , MIWU, 0, 178N, 1430E,  35, 1000, TS,
WP, 21, 2009100900,   , MIWU, 0, 187N, 1426E,  35, 1000, TS,
WP, 21, 2009100906,   , MIWU, 0, 196N, 1423E,  35,  999, TS,
WP, 21, 2009100912,   , MIWU, 0, 204N, 1421E,  35,  999, TS,
WP, 21, 2009100918,   , MIWU, 0, 209N, 1420E,  35,  999, TS,
WP, 21, 2009101000,   , MIWU, 0, 212N, 1419E,  40,  997, TS,
WP, 21, 2009101006,   , MIWU, 0, 213N, 1419E,  40,  996, TS,
WP, 21, 2009101012,   , MIWU, 0, 216N, 1419E,  45,  994, TS,
WP, 21, 2009101018,   , MIWU, 0, 220N, 1420E,  50,  991, TS,
WP, 21, 2009101100,   , MIWU, 0, 223N, 1423E,  55,  988, TS,
WP, 21, 2009101106,   , MIWU, 0, 226N, 1427E,  55,  987, TS,
WP, 21, 2009101112,   , MIWU, 0, 229N, 1432E,  60,  984, TS,
WP, 21, 2009101118,   , MIWU, 0, 233N, 1438E,  60,  983, TS,
WP, 21, 2009101200,   , MIWU, 0, 238N, 1446E,  55,  985, TS,
WP, 21, 2009101206,   , MIWU, 0, 246N, 1457E,  55,  984, TS,
WP, 21, 2009101212,   , MIWU, 0, 257N, 1469E,  60,  982, TS,
WP, 21, 2009101218,   , MIWU, 0, 270N, 1484E,  65,  980, TY,
WP, 21, 2009101300,   , MIWU, 0, 286N, 1506E,  65,  980, TY,
WP, 21, 2009101306,   , MIWU, 0, 304N, 1530E,  60,  980, TS,
WP, 21, 2009101312,   , MIWU, 0, 316N, 1553E,  55,  982, EX,
WP, 21, 2009101318,   , MIWU, 0, 326N, 1577E,  50,  985, EX,
WP, 21, 2009101400,   , MIWU, 0, 337N, 1602E,  45,  988, EX,
WP, 21, 2009101406,   , MIWU, 0, 347N, 1630E,  40,  991, EX,
WP, 21, 2009101412,   , MIWU, 0, 355N, 1660E,  35,  994, EX,
WP, 21, 2009101418,   , MIWU, 0, 365N, 1690E,  30,  997, EX,
WP, 21, 2009101500,   , MIWU, 0, 378N, 1721E,  25, 1000, EX,
WP, 21, 2009101506,   , MIWU, 0, 390N, 1751E,  20, 1003, EX,
WP, 21, 2009101512,   , MIWU, 0, 400N, 1783E,  20, 1004, EX,
WP, 21, 2009101518,   , MIWU, 0, 410N, 1792W,  20, 1004, EX,
