WP, 04, 2010071706,   , MIWU, 0, 152N, 1237E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Chanthu,
WP, 04, 2010071712,   , MIWU, 0, 152N, 1235E,  20, 1010, DB,
WP, 04, 2010071718,   , MIWU, 0, 152N, 1230E,  20, 1009, DB,
WP, 04, 2010071800,   , MIWU, 0, 151N, 1221E,  25, 1007, TD,
WP, 04, 2010071806,   , MIWU, 0, 150N, 1210E,  25, 1006, TD,
WP, 04, 2010071812,   , MIWU, 0, 148N, 1198E,  30, 1004, TD,
WP, 04, 2010071818,   , MIWU, 0, 149N, 1191E,  35, 1002, TS,
WP, 04, 2010071900,   , MIWU, 0, 151N, 1182E,  35, 1002, TS,
WP, 04, 2010071906,   , MIWU, 0, 154N, 1173E,  35, 1002, TS,
WP, 04, 2010071912,   , MIWU, 0, 159N, 1166E,  40, 1000, TS,
WP, 04, 2010071918,   , MIWU, 0, 166N, 1163E,  40,  999, TS,
WP, 04, 2010072000,   , MIWU, 0, 175N, 1158E,  40,  999, TS,
WP, 04, 2010072006,   , MIWU, 0, 180N, 1151E,  45,  996, TS,
WP, 04, 2010072012,   , MIWU, 0, 181N, 1144E,  50,  992, TS,
WP, 04, 2010072018,   , MIWU, 0, 180N, 1138E,  55,  988, TS,
WP, 04, 2010072100,   , MIWU, 0, 182N, 1133E,  60,  984, TS,
WP, 04, 2010072106,   , MIWU, 0, 187N, 1129E,  65,  980, TY,
WP, 04, 2010072112,   , MIWU, 0, 192N, 1123E,  75,  972, TY,
WP, 04, 2010072118,   , MIWU, 0, 198N, 1119E,  75,  973, TY,
WP, 04, 2010072200,   , MIWU, 0, 206N, 1114E,  80,  970, TY,
WP, 04, 2010072206,   , MIWU, 0, 214N, 1107E,  80,  968, TY,
WP, 04, 2010072212,   , MIWU, 0, 219N, 1099E,  65,  983, TY,
WP, 04, 2010072218,   , MIWU, 0, 225N, 1092E,  50,  988, TS,
WP, 04, 2010072300,   , MIWU, 0, 231N, 1081E,  40,  995, TS,
WP, 04, 2010072306,   , MIWU, 0, 237N, 1068E,  30, 1001, TD,
WP, 04, 2010072312,   , MIWU, 0, 239N, 1058E,  20, 1005, DB,
WP, 04, 2010072318,   , MIWU, 0, 240N, 1050E,  15, 1007, DB,
