WP, 13, 2010091912,   , MIWU, 0, 160N, 1502E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Malakas,
WP, 13, 2010091918,   , MIWU, 0, 169N, 1490E,  20, 1006, DB,
WP, 13, 2010092000,   , MIWU, 0, 178N, 1477E,  25, 1004, TD,
WP, 13, 2010092006,   , MIWU, 0, 184N, 1466E,  30, 1002, TD,
WP, 13, 2010092012,   , MIWU, 0, 186N, 1458E,  30, 1001, TD,
WP, 13, 2010092018,   , MIWU, 0, 185N, 1453E,  35,  999, TS,
WP, 13, 2010092100,   , MIWU, 0, 185N, 1449E,  40,  997, TS,
WP, 13, 2010092106,   , MIWU, 0, 186N, 1445E,  40,  996, TS,
WP, 13, 2010092112,   , MIWU, 0, 188N, 1439E,  40,  996, TS,
WP, 13, 2010092118,   , MIWU, 0, 190N, 1434E,  40,  997, TS,
WP, 13, 2010092200,   , MIWU, 0, 193N, 1429E,  40,  997, TS,
WP, 13, 2010092206,   , MIWU, 0, 196N, 1424E,  40,  996, TS,
WP, 13, 2010092212,   , MIWU, 0, 198N, 1420E,  45,  992, TS,
WP, 13, 2010092218,   , MIWU, 0, 199N, 1418E,  50,  988, TS,
WP, 13, 2010092300,   , MIWU, 0, 203N, 1417E,  55,  984, TS,
WP, 13, 2010092306,   , MIWU, 0, 208N, 1413E,  65,  975, TY,
WP, 13, 2010092312,   , MIWU, 0, 216N, 1410E,  70,  970, TY,
WP, 13, 2010092318,   , MIWU, 0, 228N, 1406E,  80,  960, TY,
WP, 13, 2010092400,   , MIWU, 0, 242N, 1407E,  90,  950, TY,
WP, 13, 2010092406,   , MIWU, 0, 262N, 1411E, 100,  943, TY,
WP, 13, 2010092412,   , MIWU, 0, 284N, 1419E, 105,  941, TY,
WP, 13, 2010092418,   , MIWU, 0, 311N, 1428E, 105,  940, TY,
WP, 13, 2010092500,   , MIWU, 0, 342N, 1443E,  95,  945, TY,
WP, 13, 2010092506,   , MIWU, 0, 373N, 1462E,  80,  956, TY,
WP, 13, 2010092512,   , MIWU, 0, 396N, 1486E,  70,  963, EX,
WP, 13, 2010092518,   , MIWU, 0, 415N, 1509E,  60,  968, EX,
WP, 13, 2010092600,   , MIWU, 0, 439N, 1537E,  55,  970, EX,
WP, 13, 2010092606,   , MIWU, 0, 466N, 1566E,  55,  971, EX,
WP, 13, 2010092612,   , MIWU, 0, 490N, 1594E,  60,  968, EX,
WP, 13, 2010092618,   , MIWU, 0, 510N, 1626E,  60,  967, EX,
WP, 13, 2010092700,   , MIWU, 0, 520N, 1659E,  60,  967, EX,
WP, 13, 2010092706,   , MIWU, 0, 529N, 1699E,  55,  970, EX,
WP, 13, 2010092712,   , MIWU, 0, 535N, 1740E,  50,  973, EX,
WP, 13, 2010092718,   , MIWU, 0, 540N, 1790E,  45,  976, EX,
WP, 13, 2010092800,   , MIWU, 0, 545N, 1759W,  40,  980, EX,
WP, 13, 2010092806,   , MIWU, 0, 549N, 1704W,  35,  984, EX,
WP, 13, 2010092812,   , MIWU, 0, 552N, 1665W,  30,  988, EX,
WP, 13, 2010092818,   , MIWU, 0, 553N, 1640W,  25,  992, EX,
WP, 13, 2010092900,   , MIWU, 0, 552N, 1619W,  25,  994, EX,
WP, 13, 2010092906,   , MIWU, 0, 552N, 1605W,  25,  994, EX,
WP, 13, 2010092912,   , MIWU, 0, 553N, 1595W,  30,  992, EX,
WP, 13, 2010092918,   , MIWU, 0, 556N, 1585W,  35,  990, EX,
WP, 13, 2010093000,   , MIWU, 0, 562N, 1575W,  40,  988, EX,
WP, 13, 2010093006,   , MIWU, 0, 570N, 1566W,  40,  987, EX,
WP, 13, 2010093012,   , MIWU, 0, 580N, 1567W,  35,  989, EX,
WP, 13, 2010093018,   , MIWU, 0, 589N, 1569W,  35,  990, EX,
WP, 13, 2010100100,   , MIWU, 0, 593N, 1572W,  30,  992, EX,
WP, 13, 2010100106,   , MIWU, 0, 592N, 1575W,  25,  995, EX,
WP, 13, 2010100112,   , MIWU, 0, 589N, 1576W,  20,  998, EX,
WP, 13, 2010100118,   , MIWU, 0, 584N, 1574W,  20,  999, EX,
