WP, 16, 2010102006,   , MIWU, 0, 165N, 1465E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Chaba,
WP, 16, 2010102012,   , MIWU, 0, 163N, 1453E,  20, 1008, DB,
WP, 16, 2010102018,   , MIWU, 0, 164N, 1440E,  20, 1008, DB,
WP, 16, 2010102100,   , MIWU, 0, 167N, 1429E,  20, 1008, DB,
WP, 16, 2010102106,   , MIWU, 0, 170N, 1420E,  25, 1006, TD,
WP, 16, 2010102112,   , MIWU, 0, 173N, 1410E,  30, 1004, TD,
WP, 16, 2010102118,   , MIWU, 0, 175N, 1400E,  30, 1003, TD,
WP, 16, 2010102200,   , MIWU, 0, 174N, 1390E,  25, 1005, TD,
WP, 16, 2010102206,   , MIWU, 0, 171N, 1380E,  20, 1007, DB,
WP, 16, 2010102212,   , MIWU, 0, 168N, 1370E,  20, 1007, DB,
WP, 16, 2010102218,   , MIWU, 0, 164N, 1360E,  20, 1006, DB,
WP, 16, 2010102300,   , MIWU, 0, 159N, 1350E,  20, 1006, DB,
WP, 16, 2010102306,   , MIWU, 0, 155N, 1343E,  25, 1004, TD,
WP, 16, 2010102312,   , MIWU, 0, 154N, 1338E,  30, 1002, TD,
WP, 16, 2010102318,   , MIWU, 0, 154N, 1334E,  30, 1002, TD,
WP, 16, 2010102400,   , MIWU, 0, 156N, 1331E,  30, 1001, TD 
WP, 16, 2010102406,   , MIWU, 0, 158N, 1328E,  35,  999, TS,
WP, 16, 2010102412,   , MIWU, 0, 161N, 1324E,  40,  996, TS,
WP, 16, 2010102418,   , MIWU, 0, 165N, 1319E,  45,  993, TS,
WP, 16, 2010102500,   , MIWU, 0, 170N, 1312E,  50,  990, TS,
WP, 16, 2010102506,   , MIWU, 0, 176N, 1306E,  50,  989, TS,
WP, 16, 2010102512,   , MIWU, 0, 181N, 1301E,  55,  986, TS,
WP, 16, 2010102518,   , MIWU, 0, 187N, 1296E,  60,  983, TS,
WP, 16, 2010102600,   , MIWU, 0, 193N, 1292E,  65,  980, TY,
WP, 16, 2010102606,   , MIWU, 0, 197N, 1288E,  70,  976, TY,
WP, 16, 2010102612,   , MIWU, 0, 201N, 1284E,  80,  968, TY,
WP, 16, 2010102618,   , MIWU, 0, 204N, 1281E,  90,  960, TY,
WP, 16, 2010102700,   , MIWU, 0, 209N, 1279E,  90,  958, TY,
WP, 16, 2010102706,   , MIWU, 0, 215N, 1279E, 100,  950, TY,
WP, 16, 2010102712,   , MIWU, 0, 224N, 1281E, 105,  946, TY,
WP, 16, 2010102718,   , MIWU, 0, 233N, 1283E, 110,  942, TY,
WP, 16, 2010102800,   , MIWU, 0, 242N, 1287E, 125,  934, TY,
WP, 16, 2010102806,   , MIWU, 0, 248N, 1294E, 125,  933, TY,
WP, 16, 2010102812,   , MIWU, 0, 256N, 1301E, 115,  939, TY,
WP, 16, 2010102818,   , MIWU, 0, 263N, 1309E, 105,  945, TY,
WP, 16, 2010102900,   , MIWU, 0, 273N, 1318E, 100,  949, TY,
WP, 16, 2010102906,   , MIWU, 0, 283N, 1330E,  95,  953, TY,
WP, 16, 2010102912,   , MIWU, 0, 293N, 1342E,  90,  957, TY,
WP, 16, 2010102918,   , MIWU, 0, 305N, 1359E,  85,  961, TY,
WP, 16, 2010103000,   , MIWU, 0, 319N, 1377E,  75,  970, TY,
WP, 16, 2010103006,   , MIWU, 0, 333N, 1398E,  60,  985, TS,
WP, 16, 2010103012,   , MIWU, 0, 348N, 1418E,  50,  994, EX,
WP, 16, 2010103018,   , MIWU, 0, 360N, 1439E,  35, 1003, EX,
WP, 16, 2010103100,   , MIWU, 0, 368N, 1452E,  25, 1009, EX,
