EP, 02, 2013052712,   , MIWU, 0, 139N,  954W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Barbara,
EP, 02, 2013052718,   , MIWU, 0, 138N,  956W,  20, 1010, DB,
EP, 02, 2013052800,   , MIWU, 0, 138N,  959W,  20, 1010, DB,
EP, 02, 2013052806,   , MIWU, 0, 139N,  961W,  25, 1009, TD,
EP, 02, 2013052812,   , MIWU, 0, 140N,  962W,  30, 1007, TD,
EP, 02, 2013052818,   , MIWU, 0, 141N,  961W,  40, 1003, TS,
EP, 02, 2013052900,   , MIWU, 0, 143N,  958W,  50,  998, TS,
EP, 02, 2013052906,   , MIWU, 0, 146N,  953W,  55,  995, TS,
EP, 02, 2013052912,   , MIWU, 0, 150N,  947W,  65,  988, HU,
EP, 02, 2013052918,   , MIWU, 0, 157N,  942W,  70,  984, HU,
EP, 02, 2013052919, 45, MIWU, 0, 160N,  940W,  70,  983, HU,
EP, 02, 2013053000,   , MIWU, 0, 166N,  937W,  55,  992, TS,
EP, 02, 2013053006,   , MIWU, 0, 175N,  938W,  35, 1004, TS,
EP, 02, 2013053012,   , MIWU, 0, 181N,  940W,  30, 1006, TD,
EP, 02, 2013053018,   , MIWU, 0, 186N,  940W,  20, 1010, DB,
EP, 02, 2013053100,   , MIWU, 0, 190N,  939W,  20, 1010, DB,
EP, 02, 2013053106,   , MIWU, 0, 193N,  937W,  20, 1010, DB,
EP, 02, 2013053112,   , MIWU, 0, 195N,  935W,  15, 1011, DB,
EP, 02, 2013053118,   , MIWU, 0, 196N,  934W,  15, 1011, DB,
