EP, 05, 2013070400,   , MIWU, 0, 126N,  973W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Erick,
EP, 05, 2013070406,   , MIWU, 0, 128N,  977W,  20, 1010, DB,
EP, 05, 2013070412,   , MIWU, 0, 132N,  982W,  25, 1009, TD,
EP, 05, 2013070418,   , MIWU, 0, 138N,  987W,  30, 1008, TD,
EP, 05, 2013070500,   , MIWU, 0, 143N,  996W,  35, 1006, TS,
EP, 05, 2013070506,   , MIWU, 0, 148N, 1006W,  40, 1004, TS,
EP, 05, 2013070512,   , MIWU, 0, 153N, 1014W,  45, 1001, TS,
EP, 05, 2013070518,   , MIWU, 0, 158N, 1021W,  50,  998, TS,
EP, 05, 2013070600,   , MIWU, 0, 164N, 1026W,  55,  995, TS,
EP, 05, 2013070606,   , MIWU, 0, 169N, 1033W,  60,  992, TS,
EP, 05, 2013070612,   , MIWU, 0, 174N, 1040W,  65,  988, HU,
EP, 05, 2013070618,   , MIWU, 0, 180N, 1047W,  65,  986, HU,
EP, 05, 2013070700,   , MIWU, 0, 184N, 1054W,  65,  986, HU,
EP, 05, 2013070706,   , MIWU, 0, 189N, 1061W,  70,  983, HU,
EP, 05, 2013070712,   , MIWU, 0, 195N, 1068W,  60,  987, TS,
EP, 05, 2013070718,   , MIWU, 0, 200N, 1077W,  50,  993, TS,
EP, 05, 2013070800,   , MIWU, 0, 205N, 1084W,  50,  992, TS,
EP, 05, 2013070806,   , MIWU, 0, 212N, 1092W,  45,  994, TS,
EP, 05, 2013070812,   , MIWU, 0, 218N, 1098W,  45,  993, TS,
EP, 05, 2013070818,   , MIWU, 0, 224N, 1105W,  40,  996, TS,
EP, 05, 2013070900,   , MIWU, 0, 233N, 1113W,  35,  999, TS,
EP, 05, 2013070906,   , MIWU, 0, 242N, 1119W,  30, 1002, TD,
EP, 05, 2013070912,   , MIWU, 0, 246N, 1125W,  25, 1005, TD,
EP, 05, 2013070918,   , MIWU, 0, 247N, 1134W,  20, 1007, DB,
EP, 05, 2013071000,   , MIWU, 0, 248N, 1144W,  15, 1009, DB,
