EP, 14, 2013100512,   , MIWU, 0, 130N, 1110W,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Narda,
EP, 14, 2013100518,   , MIWU, 0, 129N, 1127W,  20, 1011, DB,
EP, 14, 2013100600,   , MIWU, 0, 128N, 1143W,  20, 1010, DB,
EP, 14, 2013100606,   , MIWU, 0, 129N, 1157W,  25, 1009, TD,
EP, 14, 2013100612,   , MIWU, 0, 130N, 1170W,  30, 1008, TD,
EP, 14, 2013100618,   , MIWU, 0, 130N, 1181W,  35, 1006, TS,
EP, 14, 2013100700,   , MIWU, 0, 130N, 1193W,  40, 1004, TS,
EP, 14, 2013100706,   , MIWU, 0, 132N, 1206W,  50, 1000, TS,
EP, 14, 2013100712,   , MIWU, 0, 137N, 1219W,  60,  996, TS,
EP, 14, 2013100718,   , MIWU, 0, 142N, 1229W,  60,  997, TS,
EP, 14, 2013100800,   , MIWU, 0, 146N, 1240W,  55,  999, TS,
EP, 14, 2013100806,   , MIWU, 0, 150N, 1250W,  50, 1001, TS,
EP, 14, 2013100812,   , MIWU, 0, 155N, 1261W,  45, 1003, TS,
EP, 14, 2013100818,   , MIWU, 0, 161N, 1271W,  35, 1007, TS,
EP, 14, 2013100900,   , MIWU, 0, 166N, 1279W,  30, 1008, TD,
EP, 14, 2013100906,   , MIWU, 0, 170N, 1283W,  30, 1008, TD,
EP, 14, 2013100912,   , MIWU, 0, 171N, 1285W,  30, 1007, TD,
EP, 14, 2013100918,   , MIWU, 0, 170N, 1286W,  30, 1007, TD,
EP, 14, 2013101000,   , MIWU, 0, 167N, 1287W,  30, 1008, TD,
EP, 14, 2013101006,   , MIWU, 0, 164N, 1288W,  25, 1009, TD,
EP, 14, 2013101012,   , MIWU, 0, 162N, 1290W,  25, 1009, TD,
EP, 14, 2013101018,   , MIWU, 0, 161N, 1293W,  25, 1009, TD,
EP, 14, 2013101100,   , MIWU, 0, 160N, 1297W,  25, 1009, TD,
EP, 14, 2013101106,   , MIWU, 0, 159N, 1301W,  25, 1009, LO,
EP, 14, 2013101112,   , MIWU, 0, 158N, 1307W,  25, 1010, LO,
EP, 14, 2013101118,   , MIWU, 0, 156N, 1314W,  25, 1010, LO,
EP, 14, 2013101200,   , MIWU, 0, 152N, 1321W,  25, 1010, LO,
EP, 14, 2013101206,   , MIWU, 0, 146N, 1325W,  20, 1011, LO,
EP, 14, 2013101212,   , MIWU, 0, 142N, 1333W,  20, 1011, LO,
EP, 14, 2013101218,   , MIWU, 0, 138N, 1343W,  15, 1012, LO,
EP, 14, 2013101300,   , MIWU, 0, 134N, 1352W,  15, 1012, LO,
EP, 14, 2013101306,   , MIWU, 0, 131N, 1360W,  15, 1012, LO,
