EP, 16, 2013101206,   , MIWU, 0, 123N, 1167W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Priscilla,
EP, 16, 2013101212,   , MIWU, 0, 123N, 1169W,  20, 1010, DB,
EP, 16, 2013101218,   , MIWU, 0, 123N, 1170W,  20, 1009, DB,
EP, 16, 2013101300,   , MIWU, 0, 124N, 1171W,  20, 1009, DB,
EP, 16, 2013101306,   , MIWU, 0, 125N, 1170W,  25, 1008, TD,
EP, 16, 2013101312,   , MIWU, 0, 125N, 1169W,  25, 1008, TD,
EP, 16, 2013101318,   , MIWU, 0, 124N, 1167W,  30, 1006, TD,
EP, 16, 2013101400,   , MIWU, 0, 127N, 1163W,  35, 1004, TS,
EP, 16, 2013101406,   , MIWU, 0, 135N, 1159W,  40, 1002, TS,
EP, 16, 2013101412,   , MIWU, 0, 145N, 1156W,  45, 1000, TS,
EP, 16, 2013101418,   , MIWU, 0, 154N, 1157W,  45, 1000, TS,
EP, 16, 2013101500,   , MIWU, 0, 161N, 1158W,  45,  999, TS,
EP, 16, 2013101506,   , MIWU, 0, 167N, 1160W,  40, 1001, TS,
EP, 16, 2013101512,   , MIWU, 0, 174N, 1164W,  40, 1001, TS,
EP, 16, 2013101518,   , MIWU, 0, 176N, 1171W,  35, 1003, TS,
EP, 16, 2013101600,   , MIWU, 0, 177N, 1177W,  35, 1003, TS,
EP, 16, 2013101606,   , MIWU, 0, 179N, 1185W,  35, 1004, TS,
EP, 16, 2013101612,   , MIWU, 0, 182N, 1193W,  35, 1004, TS,
EP, 16, 2013101618,   , MIWU, 0, 186N, 1200W,  30, 1006, TD,
EP, 16, 2013101700,   , MIWU, 0, 189N, 1208W,  25, 1008, LO,
EP, 16, 2013101706,   , MIWU, 0, 191N, 1217W,  25, 1009, LO,
EP, 16, 2013101712,   , MIWU, 0, 191N, 1227W,  25, 1009, LO,
EP, 16, 2013101718,   , MIWU, 0, 190N, 1236W,  20, 1010, LO,
EP, 16, 2013101800,   , MIWU, 0, 189N, 1242W,  20, 1010, LO,
EP, 16, 2013101806,   , MIWU, 0, 188N, 1249W,  20, 1010, LO,
EP, 16, 2013101812,   , MIWU, 0, 186N, 1255W,  15, 1011, LO,
EP, 16, 2013101818,   , MIWU, 0, 182N, 1263W,  15, 1011, LO,
EP, 16, 2013101900,   , MIWU, 0, 177N, 1271W,  15, 1011, LO,
EP, 16, 2013101906,   , MIWU, 0, 175N, 1280W,  15, 1011, LO,
EP, 16, 2013101912,   , MIWU, 0, 174N, 1290W,  15, 1011, LO,
EP, 16, 2013101918,   , MIWU, 0, 173N, 1300W,  15, 1012, LO,
EP, 16, 2013102000,   , MIWU, 0, 174N, 1311W,  15, 1012, LO,
EP, 16, 2013102006,   , MIWU, 0, 176N, 1321W,  15, 1012, LO,
