EP, 18, 2013103106,   , MIWU, 0, 142N, 1068W,  15, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sonia,
EP, 18, 2013103112,   , MIWU, 0, 148N, 1070W,  15, 1011, DB,
EP, 18, 2013103118,   , MIWU, 0, 153N, 1073W,  20, 1010, DB,
EP, 18, 2013110100,   , MIWU, 0, 157N, 1077W,  25, 1009, TD,
EP, 18, 2013110106,   , MIWU, 0, 160N, 1080W,  30, 1008, TD,
EP, 18, 2013110112,   , MIWU, 0, 163N, 1081W,  30, 1007, TD,
EP, 18, 2013110118,   , MIWU, 0, 167N, 1082W,  35, 1005, TS,
EP, 18, 2013110200,   , MIWU, 0, 170N, 1084W,  35, 1005, TS,
EP, 18, 2013110206,   , MIWU, 0, 172N, 1087W,  35, 1005, TS,
EP, 18, 2013110212,   , MIWU, 0, 174N, 1091W,  35, 1004, TS,
EP, 18, 2013110218,   , MIWU, 0, 177N, 1096W,  40, 1002, TS,
EP, 18, 2013110300,   , MIWU, 0, 181N, 1101W,  40, 1002, TS,
EP, 18, 2013110306,   , MIWU, 0, 188N, 1104W,  40, 1001, TS,
EP, 18, 2013110312,   , MIWU, 0, 198N, 1102W,  45,  999, TS,
EP, 18, 2013110318,   , MIWU, 0, 212N, 1095W,  45, 1000, TS,
EP, 18, 2013110400,   , MIWU, 0, 227N, 1083W,  40, 1002, TS,
EP, 18, 2013110406,   , MIWU, 0, 242N, 1069W,  30, 1006, TD,
EP, 18, 2013110412,   , MIWU, 0, 255N, 1060W,  15, 1012, DB,
