IO, 01, 2013050800,   , MIWU, 0,  25N,  943E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Viyaru,
IO, 01, 2013050806,   , MIWU, 0,  28N,  948E,  20, 1010, DB,
IO, 01, 2013050812,   , MIWU, 0,  31N,  951E,  20, 1009, DB,
IO, 01, 2013050818,   , MIWU, 0,  33N,  952E,  20, 1009, DB,
IO, 01, 2013050900,   , MIWU, 0,  34N,  951E,  25, 1007, TD,
IO, 01, 2013050906,   , MIWU, 0,  35N,  949E,  25, 1006, TD,
IO, 01, 2013050912,   , MIWU, 0,  37N,  945E,  30, 1004, TD,
IO, 01, 2013050918,   , MIWU, 0,  41N,  940E,  35, 1002, TS,
IO, 01, 2013051000,   , MIWU, 0,  45N,  935E,  45,  997, TS,
IO, 01, 2013051006,   , MIWU, 0,  51N,  930E,  60,  989, TS,
IO, 01, 2013051012,   , MIWU, 0,  56N,  924E,  55,  991, TS,
IO, 01, 2013051018,   , MIWU, 0,  63N,  917E,  55,  990, TS,
IO, 01, 2013051100,   , MIWU, 0,  71N,  908E,  60,  988, TS,
IO, 01, 2013051106,   , MIWU, 0,  80N,  899E,  60,  987, TS,
IO, 01, 2013051112,   , MIWU, 0,  87N,  890E,  60,  987, TS,
IO, 01, 2013051118,   , MIWU, 0,  92N,  882E,  55,  989, TS,
IO, 01, 2013051200,   , MIWU, 0,  96N,  877E,  50,  991, TS,
IO, 01, 2013051206,   , MIWU, 0, 100N,  873E,  50,  990, TS,
IO, 01, 2013051212,   , MIWU, 0, 103N,  870E,  55,  988, TS,
IO, 01, 2013051218,   , MIWU, 0, 108N,  867E,  55,  988, TS,
IO, 01, 2013051300,   , MIWU, 0, 115N,  864E,  50,  990, TS,
IO, 01, 2013051306,   , MIWU, 0, 120N,  862E,  50,  990, TS,
IO, 01, 2013051312,   , MIWU, 0, 125N,  858E,  50,  991, TS,
IO, 01, 2013051318,   , MIWU, 0, 131N,  855E,  50,  991, TS,
IO, 01, 2013051400,   , MIWU, 0, 136N,  857E,  45,  993, TS,
IO, 01, 2013051406,   , MIWU, 0, 142N,  859E,  45,  993, TS,
IO, 01, 2013051412,   , MIWU, 0, 148N,  863E,  45,  994, TS,
IO, 01, 2013051418,   , MIWU, 0, 155N,  868E,  45,  994, TS,
IO, 01, 2013051500,   , MIWU, 0, 164N,  873E,  45,  993, TS,
IO, 01, 2013051506,   , MIWU, 0, 174N,  878E,  45,  993, TS,
IO, 01, 2013051512,   , MIWU, 0, 185N,  885E,  45,  993, TS,
IO, 01, 2013051518,   , MIWU, 0, 198N,  892E,  45,  993, TS,
IO, 01, 2013051600,   , MIWU, 0, 210N,  900E,  45,  993, TS,
IO, 01, 2013051606,   , MIWU, 0, 226N,  911E,  45,  993, TS,
IO, 01, 2013051612,   , MIWU, 0, 243N,  923E,  35,  997, TS,
IO, 01, 2013051618,   , MIWU, 0, 257N,  934E,  25, 1001, TD,
IO, 01, 2013051700,   , MIWU, 0, 270N,  944E,  15, 1005, DB,
