IO, 03, 2013110600,   , MIWU, 0,  57N,  669E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Three-A,
IO, 03, 2013110606,   , MIWU, 0,  62N,  660E,  20, 1011, DB,
IO, 03, 2013110612,   , MIWU, 0,  68N,  650E,  20, 1010, DB,
IO, 03, 2013110618,   , MIWU, 0,  74N,  637E,  20, 1010, DB,
IO, 03, 2013110700,   , MIWU, 0,  78N,  623E,  20, 1010, DB,
IO, 03, 2013110706,   , MIWU, 0,  81N,  606E,  25, 1008, TD,
IO, 03, 2013110712,   , MIWU, 0,  84N,  592E,  30, 1006, TD,
IO, 03, 2013110718,   , MIWU, 0,  85N,  580E,  30, 1006, TD,
IO, 03, 2013110800,   , MIWU, 0,  83N,  570E,  35, 1004, TS,
IO, 03, 2013110806,   , MIWU, 0,  82N,  560E,  40, 1002, TS,
IO, 03, 2013110812,   , MIWU, 0,  81N,  550E,  40, 1001, TS,
IO, 03, 2013110818,   , MIWU, 0,  81N,  542E,  45,  999, TS,
IO, 03, 2013110900,   , MIWU, 0,  82N,  535E,  45,  999, TS,
IO, 03, 2013110906,   , MIWU, 0,  82N,  529E,  45,  998, TS,
IO, 03, 2013110912,   , MIWU, 0,  81N,  525E,  45,  998, TS,
IO, 03, 2013110918,   , MIWU, 0,  81N,  523E,  50,  996, TS,
IO, 03, 2013111000,   , MIWU, 0,  81N,  520E,  55,  994, TS,
IO, 03, 2013111006,   , MIWU, 0,  82N,  517E,  55,  995, TS,
IO, 03, 2013111012,   , MIWU, 0,  84N,  513E,  50,  997, TS,
IO, 03, 2013111018,   , MIWU, 0,  88N,  506E,  50,  997, TS,
IO, 03, 2013111100,   , MIWU, 0,  92N,  500E,  45,  999, TS,
IO, 03, 2013111106,   , MIWU, 0,  95N,  491E,  35, 1003, TS,
IO, 03, 2013111112,   , MIWU, 0,  98N,  479E,  25, 1007, TD,
IO, 03, 2013111118,   , MIWU, 0, 100N,  467E,  20, 1009, DB,
IO, 03, 2013111200,   , MIWU, 0, 101N,  456E,  20, 1010, DB,
IO, 03, 2013111206,   , MIWU, 0, 101N,  446E,  15, 1011, DB,
