IO, 70, 2013052706,   , MIWU, 0, 198N,  902E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed,
IO, 70, 2013052712,   , MIWU, 0, 201N,  900E,  20, 1010, DB,
IO, 70, 2013052718,   , MIWU, 0, 202N,  899E,  20, 1010, DB,
IO, 70, 2013052800,   , MIWU, 0, 202N,  899E,  25, 1008, TD,
IO, 70, 2013052806,   , MIWU, 0, 201N,  898E,  30, 1006, TD,
IO, 70, 2013052812,   , MIWU, 0, 203N,  896E,  35, 1004, TS,
IO, 70, 2013052818,   , MIWU, 0, 206N,  894E,  35, 1003, TS,
IO, 70, 2013052900,   , MIWU, 0, 208N,  894E,  40, 1001, TS,
IO, 70, 2013052906,   , MIWU, 0, 211N,  894E,  40, 1000, TS,
IO, 70, 2013052912,   , MIWU, 0, 213N,  892E,  40, 1000, TS,
IO, 70, 2013052918,   , MIWU, 0, 216N,  888E,  35, 1002, TS,
IO, 70, 2013053000,   , MIWU, 0, 220N,  883E,  30, 1004, TD,
IO, 70, 2013053006,   , MIWU, 0, 226N,  876E,  30, 1004, TD,
IO, 70, 2013053012,   , MIWU, 0, 234N,  870E,  30, 1005, TD,
IO, 70, 2013053018,   , MIWU, 0, 239N,  865E,  25, 1007, TD,
IO, 70, 2013053100,   , MIWU, 0, 244N,  867E,  25, 1008, TD,
IO, 70, 2013053106,   , MIWU, 0, 247N,  870E,  20, 1010, DB,
IO, 70, 2013053112,   , MIWU, 0, 250N,  872E,  20, 1010, DB,
IO, 70, 2013053118,   , MIWU, 0, 252N,  875E,  15, 1011, DB,
IO, 70, 2013060100,   , MIWU, 0, 254N,  879E,  15, 1011, DB,
IO, 70, 2013060106,   , MIWU, 0, 257N,  884E,  15, 1012, DB,
