WP, 06, 2013062700,   , MIWU, 0,  74N, 1331E,  15, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rumbia,
WP, 06, 2013062706,   , MIWU, 0,  80N, 1326E,  20, 1008, DB,
WP, 06, 2013062712,   , MIWU, 0,  85N, 1319E,  20, 1007, DB,
WP, 06, 2013062718,   , MIWU, 0,  88N, 1310E,  20, 1007, DB,
WP, 06, 2013062800,   , MIWU, 0,  92N, 1298E,  25, 1005, TD,
WP, 06, 2013062806,   , MIWU, 0,  99N, 1286E,  30, 1003, TD,
WP, 06, 2013062812,   , MIWU, 0, 106N, 1277E,  35, 1001, TS,
WP, 06, 2013062818,   , MIWU, 0, 113N, 1266E,  40,  999, TS,
WP, 06, 2013062900,   , MIWU, 0, 118N, 1253E,  45,  997, TS,
WP, 06, 2013062906,   , MIWU, 0, 124N, 1241E,  40,  998, TS,
WP, 06, 2013062912,   , MIWU, 0, 132N, 1228E,  40,  998, TS,
WP, 06, 2013062918,   , MIWU, 0, 140N, 1214E,  40,  997, TS,
WP, 06, 2013063000,   , MIWU, 0, 147N, 1199E,  45,  995, TS,
WP, 06, 2013063006,   , MIWU, 0, 156N, 1187E,  50,  992, TS,
WP, 06, 2013063012,   , MIWU, 0, 166N, 1173E,  55,  989, TS,
WP, 06, 2013063018,   , MIWU, 0, 176N, 1158E,  60,  986, TS,
WP, 06, 2013070100,   , MIWU, 0, 183N, 1140E,  65,  983, TY,
WP, 06, 2013070106,   , MIWU, 0, 190N, 1127E,  70,  980, TY,
WP, 06, 2013070112,   , MIWU, 0, 198N, 1116E,  70,  981, TY,
WP, 06, 2013070118,   , MIWU, 0, 206N, 1106E,  65,  983, TY,
WP, 06, 2013070200,   , MIWU, 0, 215N, 1098E,  55,  989, TS,
WP, 06, 2013070206,   , MIWU, 0, 225N, 1091E,  45,  993, TS,
WP, 06, 2013070212,   , MIWU, 0, 237N, 1085E,  35,  999, TS,
WP, 06, 2013070218,   , MIWU, 0, 244N, 1079E,  25, 1003, TD,
WP, 06, 2013070300,   , MIWU, 0, 247N, 1073E,  20, 1005, DB,
WP, 06, 2013070306,   , MIWU, 0, 248N, 1066E,  15, 1007, DB,
WP, 06, 2013070312,   , MIWU, 0, 248N, 1057E,  15, 1008, DB,
