WP, 07, 2013070600,   , MIWU, 0, 200N, 1563E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Soulik,
WP, 07, 2013070606,   , MIWU, 0, 200N, 1550E,  20, 1010, DB,
WP, 07, 2013070612,   , MIWU, 0, 199N, 1536E,  20, 1009, DB,
WP, 07, 2013070618,   , MIWU, 0, 199N, 1521E,  20, 1009, DB,
WP, 07, 2013070700,   , MIWU, 0, 200N, 1506E,  20, 1009, DB,
WP, 07, 2013070706,   , MIWU, 0, 201N, 1493E,  25, 1007, TD,
WP, 07, 2013070712,   , MIWU, 0, 199N, 1481E,  30, 1005, TD,
WP, 07, 2013070718,   , MIWU, 0, 195N, 1468E,  35, 1002, TS,
WP, 07, 2013070800,   , MIWU, 0, 191N, 1455E,  40,  999, TS,
WP, 07, 2013070806,   , MIWU, 0, 192N, 1440E,  60,  987, TS,
WP, 07, 2013070812,   , MIWU, 0, 195N, 1426E,  70,  984, TY,
WP, 07, 2013070818,   , MIWU, 0, 197N, 1416E,  80,  976, TY,
WP, 07, 2013070900,   , MIWU, 0, 198N, 1404E,  90,  968, TY,
WP, 07, 2013070906,   , MIWU, 0, 200N, 1394E, 100,  958, TY,
WP, 07, 2013070912,   , MIWU, 0, 202N, 1382E, 120,  938, TY,
WP, 07, 2013070918,   , MIWU, 0, 206N, 1371E, 125,  932, TY,
WP, 07, 2013071000,   , MIWU, 0, 210N, 1359E, 130,  926, ST,
WP, 07, 2013071006,   , MIWU, 0, 215N, 1348E, 125,  928, TY,
WP, 07, 2013071012,   , MIWU, 0, 218N, 1337E, 120,  931, TY,
WP, 07, 2013071018,   , MIWU, 0, 220N, 1323E, 110,  937, TY,
WP, 07, 2013071100,   , MIWU, 0, 221N, 1309E, 100,  943, TY,
WP, 07, 2013071106,   , MIWU, 0, 223N, 1298E,  95,  946, TY,
WP, 07, 2013071112,   , MIWU, 0, 224N, 1285E,  95,  946, TY,
WP, 07, 2013071118,   , MIWU, 0, 225N, 1272E,  95,  949, TY,
WP, 07, 2013071200,   , MIWU, 0, 226N, 1259E,  90,  951, TY,
WP, 07, 2013071206,   , MIWU, 0, 232N, 1249E,  90,  951, TY,
WP, 07, 2013071212,   , MIWU, 0, 239N, 1238E,  90,  952, TY,
WP, 07, 2013071218,   , MIWU, 0, 246N, 1224E,  85,  956, TY,
WP, 07, 2013071219,   , MIWU, 0, 249N, 1219E,  80,  960, TY,
WP, 07, 2013071300,   , MIWU, 0, 247N, 1207E,  70,  967, TY,
WP, 07, 2013071306,   , MIWU, 0, 253N, 1195E,  55,  979, TS,
WP, 07, 2013071312,   , MIWU, 0, 262N, 1183E,  40,  991, TS,
WP, 07, 2013071318,   , MIWU, 0, 270N, 1174E,  30,  997, TD,
WP, 07, 2013071400,   , MIWU, 0, 276N, 1166E,  20, 1002, DB,
WP, 07, 2013071406,   , MIWU, 0, 284N, 1160E,  20, 1003, DB,
WP, 07, 2013071412,   , MIWU, 0, 292N, 1160E,  15, 1005, DB,
WP, 07, 2013071418,   , MIWU, 0, 301N, 1161E,  15, 1006, DB,
