WP, 17, 2013091506,   , MIWU, 0, 174N, 1340E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Usagi,
WP, 17, 2013091512,   , MIWU, 0, 177N, 1338E,  20, 1004, DB,
WP, 17, 2013091518,   , MIWU, 0, 176N, 1335E,  25, 1002, TD,
WP, 17, 2013091600,   , MIWU, 0, 175N, 1330E,  30, 1000, TD,
WP, 17, 2013091606,   , MIWU, 0, 174N, 1327E,  35,  998, TS,
WP, 17, 2013091612,   , MIWU, 0, 172N, 1323E,  40,  995, TS,
WP, 17, 2013091618,   , MIWU, 0, 173N, 1320E,  45,  992, TS,
WP, 17, 2013091700,   , MIWU, 0, 174N, 1318E,  50,  989, TS,
WP, 17, 2013091706,   , MIWU, 0, 175N, 1315E,  50,  988, TS,
WP, 17, 2013091712,   , MIWU, 0, 177N, 1311E,  55,  985, TS,
WP, 17, 2013091718,   , MIWU, 0, 178N, 1307E,  60,  982, TS,
WP, 17, 2013091800,   , MIWU, 0, 176N, 1303E,  65,  979, TY,
WP, 17, 2013091806,   , MIWU, 0, 174N, 1300E,  70,  971, TY,
WP, 17, 2013091812,   , MIWU, 0, 175N, 1295E,  85,  959, TY,
WP, 17, 2013091818,   , MIWU, 0, 173N, 1288E, 100,  945, TY,
WP, 17, 2013091900,   , MIWU, 0, 170N, 1284E, 120,  925, TY,
WP, 17, 2013091906,   , MIWU, 0, 175N, 1280E, 150,  900, ST,
WP, 17, 2013091912,   , MIWU, 0, 181N, 1273E, 155,  895, ST,
WP, 17, 2013091918,   , MIWU, 0, 187N, 1263E, 145,  894, ST,
WP, 17, 2013092000,   , MIWU, 0, 193N, 1254E, 140,  897, ST,
WP, 17, 2013092006,   , MIWU, 0, 198N, 1245E, 130,  903, ST,
WP, 17, 2013092012,   , MIWU, 0, 202N, 1236E, 120,  909, TY,
WP, 17, 2013092018,   , MIWU, 0, 204N, 1226E, 115,  914, TY,
WP, 17, 2013092100,   , MIWU, 0, 206N, 1217E, 110,  919, TY,
WP, 17, 2013092106,   , MIWU, 0, 208N, 1207E, 100,  931, TY,
WP, 17, 2013092112,   , MIWU, 0, 212N, 1198E,  95,  938, TY,
WP, 17, 2013092118,   , MIWU, 0, 215N, 1188E,  90,  943, TY,
WP, 17, 2013092200,   , MIWU, 0, 218N, 1178E, 105,  937, TY,
WP, 17, 2013092206,   , MIWU, 0, 223N, 1167E, 110,  935, TY,
WP, 17, 2013092212,   , MIWU, 0, 228N, 1152E, 100,  939, TY,
WP, 17, 2013092218,   , MIWU, 0, 234N, 1137E,  60,  980, TS,
WP, 17, 2013092300,   , MIWU, 0, 240N, 1126E,  40,  994, TS,
WP, 17, 2013092306,   , MIWU, 0, 247N, 1114E,  30, 1000, TD,
WP, 17, 2013092312,   , MIWU, 0, 254N, 1102E,  25, 1002, TD,
WP, 17, 2013092318,   , MIWU, 0, 261N, 1089E,  20, 1004, DB,
WP, 17, 2013092400,   , MIWU, 0, 268N, 1075E,  20, 1005, DB,
WP, 17, 2013092406,   , MIWU, 0, 273N, 1062E,  20, 1005, DB,
WP, 17, 2013092412,   , MIWU, 0, 276N, 1052E,  15, 1007, DB,
