WP, 19, 2013091700,   , MIWU, 0, 128N, 1517E,  15, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pabuk,
WP, 19, 2013091706,   , MIWU, 0, 135N, 1514E,  15, 1006, DB,
WP, 19, 2013091712,   , MIWU, 0, 142N, 1510E,  15, 1006, DB,
WP, 19, 2013091718,   , MIWU, 0, 150N, 1503E,  20, 1004, DB,
WP, 19, 2013091800,   , MIWU, 0, 152N, 1496E,  20, 1003, DB,
WP, 19, 2013091806,   , MIWU, 0, 152N, 1491E,  25, 1001, TD,
WP, 19, 2013091812,   , MIWU, 0, 151N, 1487E,  25, 1000, TD,
WP, 19, 2013091818,   , MIWU, 0, 149N, 1485E,  30,  998, TD,
WP, 19, 2013091900,   , MIWU, 0, 145N, 1484E,  30,  997, TD,
WP, 19, 2013091906,   , MIWU, 0, 144N, 1483E,  35,  995, TS,
WP, 19, 2013091912,   , MIWU, 0, 147N, 1482E,  35,  994, TS,
WP, 19, 2013091918,   , MIWU, 0, 152N, 1483E,  40,  992, TS,
WP, 19, 2013092000,   , MIWU, 0, 159N, 1483E,  40,  991, TS,
WP, 19, 2013092006,   , MIWU, 0, 171N, 1481E,  45,  989, TS,
WP, 19, 2013092012,   , MIWU, 0, 183N, 1477E,  45,  988, TS,
WP, 19, 2013092018,   , MIWU, 0, 194N, 1467E,  45,  987, TS,
WP, 19, 2013092100,   , MIWU, 0, 198N, 1458E,  50,  984, TS,
WP, 19, 2013092106,   , MIWU, 0, 200N, 1451E,  55,  980, TS,
WP, 19, 2013092112,   , MIWU, 0, 203N, 1445E,  55,  978, TS,
WP, 19, 2013092118,   , MIWU, 0, 208N, 1440E,  55,  978, TS,
WP, 19, 2013092200,   , MIWU, 0, 215N, 1434E,  60,  974, TS,
WP, 19, 2013092206,   , MIWU, 0, 222N, 1427E,  60,  972, TS,
WP, 19, 2013092212,   , MIWU, 0, 227N, 1423E,  60,  972, TS,
WP, 19, 2013092218,   , MIWU, 0, 233N, 1419E,  60,  971, TS,
WP, 19, 2013092300,   , MIWU, 0, 239N, 1415E,  65,  968, TY,
WP, 19, 2013092306,   , MIWU, 0, 246N, 1411E,  70,  965, TY,
WP, 19, 2013092312,   , MIWU, 0, 252N, 1406E,  75,  962, TY,
WP, 19, 2013092318,   , MIWU, 0, 257N, 1402E,  75,  962, TY,
WP, 19, 2013092400,   , MIWU, 0, 259N, 1398E,  75,  961, TY,
WP, 19, 2013092406,   , MIWU, 0, 262N, 1393E,  80,  958, TY,
WP, 19, 2013092412,   , MIWU, 0, 267N, 1388E,  80,  957, TY,
WP, 19, 2013092418,   , MIWU, 0, 275N, 1386E,  85,  954, TY,
WP, 19, 2013092500,   , MIWU, 0, 285N, 1385E,  90,  952, TY,
WP, 19, 2013092506,   , MIWU, 0, 295N, 1389E,  95,  950, TY,
WP, 19, 2013092512,   , MIWU, 0, 303N, 1402E, 100,  948, TY,
WP, 19, 2013092518,   , MIWU, 0, 313N, 1419E, 100,  949, TY,
WP, 19, 2013092600,   , MIWU, 0, 324N, 1435E,  95,  951, TY,
WP, 19, 2013092606,   , MIWU, 0, 337N, 1451E,  90,  953, TY,
WP, 19, 2013092612,   , MIWU, 0, 350N, 1473E,  90,  954, TY,
WP, 19, 2013092618,   , MIWU, 0, 369N, 1498E,  80,  960, TY,
WP, 19, 2013092700,   , MIWU, 0, 398N, 1526E,  70,  966, EX,
WP, 19, 2013092706,   , MIWU, 0, 424N, 1563E,  70,  967, EX,
WP, 19, 2013092712,   , MIWU, 0, 452N, 1600E,  70,  968, EX,
WP, 19, 2013092718,   , MIWU, 0, 468N, 1628E,  65,  972, EX,
WP, 19, 2013092800,   , MIWU, 0, 475N, 1647E,  55,  980, EX,
WP, 19, 2013092806,   , MIWU, 0, 482N, 1668E,  45,  988, EX,
WP, 19, 2013092812,   , MIWU, 0, 491N, 1694E,  40,  991, EX,
WP, 19, 2013092818,   , MIWU, 0, 495N, 1732E,  35,  994, EX,
WP, 19, 2013092900,   , MIWU, 0, 494N, 1775E,  30,  997, EX,
WP, 19, 2013092906,   , MIWU, 0, 491N, 1782W,  25, 1000, EX,
