WP, 23, 2013100100,   , MIWU, 0, 182N, 1514E,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Danas,
WP, 23, 2013100106,   , MIWU, 0, 183N, 1513E,  20, 1012, DB,
WP, 23, 2013100112,   , MIWU, 0, 181N, 1512E,  20, 1012, DB,
WP, 23, 2013100118,   , MIWU, 0, 177N, 1510E,  20, 1011, DB,
WP, 23, 2013100200,   , MIWU, 0, 173N, 1506E,  20, 1011, DB,
WP, 23, 2013100206,   , MIWU, 0, 170N, 1502E,  25, 1009, TD,
WP, 23, 2013100212,   , MIWU, 0, 168N, 1499E,  30, 1007, TD,
WP, 23, 2013100218,   , MIWU, 0, 166N, 1496E,  30, 1006, TD,
WP, 23, 2013100300,   , MIWU, 0, 165N, 1493E,  35, 1004, TS,
WP, 23, 2013100306,   , MIWU, 0, 163N, 1489E,  35, 1003, TS,
WP, 23, 2013100312,   , MIWU, 0, 162N, 1484E,  40, 1001, TS,
WP, 23, 2013100318,   , MIWU, 0, 160N, 1477E,  40, 1000, TS,
WP, 23, 2013100400,   , MIWU, 0, 161N, 1468E,  40, 1000, TS,
WP, 23, 2013100406,   , MIWU, 0, 165N, 1458E,  45,  998, TS,
WP, 23, 2013100412,   , MIWU, 0, 171N, 1448E,  50,  996, TS,
WP, 23, 2013100418,   , MIWU, 0, 177N, 1438E,  55,  994, TS,
WP, 23, 2013100500,   , MIWU, 0, 183N, 1426E,  65,  990, TY,
WP, 23, 2013100506,   , MIWU, 0, 188N, 1412E,  70,  987, TY,
WP, 23, 2013100512,   , MIWU, 0, 196N, 1398E,  80,  981, TY,
WP, 23, 2013100518,   , MIWU, 0, 204N, 1382E,  90,  974, TY,
WP, 23, 2013100600,   , MIWU, 0, 212N, 1366E, 100,  965, TY,
WP, 23, 2013100606,   , MIWU, 0, 219N, 1348E, 105,  960, TY,
WP, 23, 2013100612,   , MIWU, 0, 229N, 1332E, 115,  950, TY,
WP, 23, 2013100618,   , MIWU, 0, 240N, 1318E, 130,  935, ST,
WP, 23, 2013100621,   , MIWU, 0, 247N, 1309E, 135,  930, ST,
WP, 23, 2013100700,   , MIWU, 0, 253N, 1302E, 130,  929, ST,
WP, 23, 2013100706,   , MIWU, 0, 266N, 1287E, 125,  932, TY,
WP, 23, 2013100712,   , MIWU, 0, 281N, 1276E, 115,  937, TY,
WP, 23, 2013100718,   , MIWU, 0, 297N, 1270E, 105,  944, TY,
WP, 23, 2013100800,   , MIWU, 0, 313N, 1271E,  95,  952, TY,
WP, 23, 2013100806,   , MIWU, 0, 328N, 1277E,  75,  968, TY,
WP, 23, 2013100812,   , MIWU, 0, 343N, 1293E,  60,  980, TS,
WP, 23, 2013100818,   , MIWU, 0, 356N, 1314E,  50,  988, TS,
WP, 23, 2013100900,   , MIWU, 0, 370N, 1343E,  40,  995, EX,
WP, 23, 2013100906,   , MIWU, 0, 379N, 1372E,  30, 1001, EX,
WP, 23, 2013100912,   , MIWU, 0, 385N, 1402E,  20, 1007, EX,
