WP, 24, 2013100712,   , MIWU, 0, 135N, 1340E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nari,
WP, 24, 2013100718,   , MIWU, 0, 137N, 1335E,  20, 1006, DB,
WP, 24, 2013100800,   , MIWU, 0, 140N, 1329E,  25, 1004, TD,
WP, 24, 2013100806,   , MIWU, 0, 142N, 1323E,  30, 1002, TD,
WP, 24, 2013100812,   , MIWU, 0, 141N, 1316E,  35, 1000, TS,
WP, 24, 2013100818,   , MIWU, 0, 140N, 1310E,  35,  999, TS,
WP, 24, 2013100900,   , MIWU, 0, 141N, 1303E,  40,  997, TS,
WP, 24, 2013100906,   , MIWU, 0, 143N, 1296E,  40,  996, TS,
WP, 24, 2013100912,   , MIWU, 0, 145N, 1290E,  45,  994, TS,
WP, 24, 2013100918,   , MIWU, 0, 149N, 1285E,  55,  990, TS,
WP, 24, 2013101000,   , MIWU, 0, 152N, 1278E,  65,  984, TY,
WP, 24, 2013101006,   , MIWU, 0, 154N, 1269E,  75,  978, TY,
WP, 24, 2013101012,   , MIWU, 0, 154N, 1259E,  75,  976, TY,
WP, 24, 2013101018,   , MIWU, 0, 154N, 1251E,  80,  972, TY,
WP, 24, 2013101100,   , MIWU, 0, 155N, 1243E,  85,  968, TY,
WP, 24, 2013101106,   , MIWU, 0, 156N, 1232E,  85,  965, TY,
WP, 24, 2013101112,   , MIWU, 0, 157N, 1220E,  80,  967, TY,
WP, 24, 2013101118,   , MIWU, 0, 155N, 1206E,  70,  971, TY,
WP, 24, 2013101200,   , MIWU, 0, 154N, 1192E,  65,  973, TY,
WP, 24, 2013101206,   , MIWU, 0, 153N, 1180E,  70,  971, TY,
WP, 24, 2013101212,   , MIWU, 0, 153N, 1169E,  75,  969, TY,
WP, 24, 2013101218,   , MIWU, 0, 154N, 1157E,  80,  967, TY,
WP, 24, 2013101300,   , MIWU, 0, 154N, 1145E,  85,  964, TY,
WP, 24, 2013101306,   , MIWU, 0, 155N, 1136E,  90,  961, TY,
WP, 24, 2013101312,   , MIWU, 0, 156N, 1127E,  90,  962, TY,
WP, 24, 2013101318,   , MIWU, 0, 158N, 1119E,  90,  962, TY,
WP, 24, 2013101400,   , MIWU, 0, 159N, 1112E,  85,  964, TY,
WP, 24, 2013101406,   , MIWU, 0, 162N, 1105E,  80,  967, TY,
WP, 24, 2013101412,   , MIWU, 0, 164N, 1099E,  75,  971, TY,
WP, 24, 2013101418,   , MIWU, 0, 163N, 1091E,  70,  975, TY,
WP, 24, 2013101500,   , MIWU, 0, 160N, 1082E,  65,  979, TY,
WP, 24, 2013101506,   , MIWU, 0, 156N, 1073E,  50,  991, TS,
WP, 24, 2013101512,   , MIWU, 0, 156N, 1063E,  40,  997, TS,
WP, 24, 2013101518,   , MIWU, 0, 155N, 1051E,  30, 1002, TD,
WP, 24, 2013101600,   , MIWU, 0, 155N, 1036E,  20, 1006, DB,
WP, 24, 2013101606,   , MIWU, 0, 155N, 1022E,  15, 1008, DB,
